name,lat,lon,notes
Ukraine,50.45,30.52,Russia-Ukraine war
Gaza,31.50,34.47,Israel-Gaza conflict
Syria,33.51,36.29,Civil war aftermath
Yemen,15.37,44.19,Civil war
Sudan,15.50,32.56,Civil war (2023-)
Myanmar,16.87,96.20,Civil war
Haiti,18.59,-72.31,Gang violence / state collapse
Somalia,2.04,45.34,Insurgency
Afghanistan,34.53,69.17,Post-withdrawal instability
Taiwan Strait,24.00,120.00,Potential flashpoint
South China Sea,15.00,115.00,Maritime disputes
Korean DMZ,38.00,127.00,Inter-Korean tension
Kashmir,34.08,74.80,India-Pakistan border
Ethiopia Tigray,14.00,38.30,Post-war tensions
