iso3,country,epi_score,status,notes
USA,United States,100,native,
GBR,United Kingdom,100,native,
CAN,Canada,100,native,
AUS,Australia,100,native,
NZL,New Zealand,100,native,
IRL,Ireland,100,native,
SGP,Singapore,95,official,Very high proficiency
NLD,Netherlands,93,very_high,EF EPI #1 non-native 2024
NOR,Norway,89,very_high,
SWE,Sweden,89,very_high,
DNK,Denmark,88,very_high,
FIN,Finland,85,very_high,
AUT,Austria,82,very_high,
DEU,Germany,80,very_high,
PRT,Portugal,78,very_high,
BEL,Belgium,78,very_high,
HRV,Croatia,77,very_high,
ZAF,South Africa,75,official,
POL,Poland,72,high,
PHL,Philippines,72,official,
CHE,Switzerland,72,high,
GRC,Greece,70,high,
HUN,Hungary,70,high,
MYS,Malaysia,70,official,
ROU,Romania,69,high,
ARG,Argentina,65,moderate,
IND,India,65,official,
KOR,South Korea,60,moderate,
FRA,France,58,moderate,
CZE,Czechia,68,high,
ESP,Spain,60,moderate,
ITA,Italy,57,moderate,
CHL,Chile,58,moderate,
URY,Uruguay,55,moderate,
CRI,Costa Rica,58,moderate,
BRA,Brazil,52,moderate,
JPN,Japan,48,low,
MEX,Mexico,50,moderate,
PER,Peru,52,moderate,
RUS,Russia,50,low,
VNM,Vietnam,50,moderate,
CHN,China,45,low,
TUR,Turkey,48,low,
IDN,Indonesia,50,low,
EGY,Egypt,45,low,
THA,Thailand,42,low,
SAU,Saudi Arabia,42,low,
KAZ,Kazakhstan,45,low,
TWN,Taiwan,53,moderate,
ARE,United Arab Emirates,55,moderate,
ISR,Israel,60,moderate,
COL,Colombia,50,moderate,
ISL,Iceland,85,very_high,
LUX,Luxembourg,82,very_high,
EST,Estonia,75,very_high,
LVA,Latvia,70,high,
LTU,Lithuania,72,high,
SVN,Slovenia,72,high,
SVK,Slovakia,65,moderate,
BGR,Bulgaria,63,moderate,
UKR,Ukraine,55,moderate,
GEO,Georgia,50,low,
NGA,Nigeria,72,official,
KEN,Kenya,70,official,
PAK,Pakistan,55,official,
BGD,Bangladesh,50,official,
LKA,Sri Lanka,55,official,
HKG,Hong Kong,60,official,
