iso3,country,region,political_stability,energy_self_sufficiency,healthcare_quality,immigration_friendliness,english_prevalence,conflict_distance,data_completeness,safe_haven_score,rank
AUS,Australia,Oceania,70.4,100.0,93.39,68.8,100.0,91.54,1.0,87.35,1
CAN,Canada,North America,69.6,89.0,91.37,73.6,100.0,83.26,1.0,84.47,2
NZL,New Zealand,Oceania,78.4,56.33,89.73,63.6,100.0,94.41,1.0,80.41,3
NOR,Norway,Europe,74.0,100.0,95.38,50.0,84.29,76.9,1.0,80.09,4
IRL,Ireland,Europe,71.0,45.0,92.28,76.0,100.0,81.43,1.0,77.62,5
LUX,Luxembourg,Europe,74.0,35.0,93.4,98.4,74.29,77.58,1.0,75.44,6
ISL,Iceland,Europe,76.0,62.0,93.34,58.0,78.57,84.48,1.0,75.4,7
DNK,Denmark,Europe,71.6,76.67,90.2,50.0,82.86,74.79,1.0,74.35,8
ARE,United Arab Emirates,Asia,64.4,100.0,78.55,83.6,35.71,75.83,1.0,73.01,9
SGP,Singapore,Asia,79.0,34.33,91.33,57.2,92.86,78.61,1.0,72.22,10
USA,United States,North America,51.4,62.0,84.8,52.8,100.0,80.52,1.0,71.92,11
GBR,United Kingdom,Europe,57.0,54.67,88.11,51.2,100.0,79.72,1.0,71.78,12
SWE,Sweden,Europe,69.0,58.33,93.46,47.2,84.29,74.28,1.0,71.09,13
NLD,Netherlands,Europe,68.4,48.0,90.44,51.2,90.0,77.84,1.0,70.98,14
CHE,Switzerland,Europe,74.0,50.0,97.83,64.8,60.0,77.54,1.0,70.69,15
FIN,Finland,Europe,71.6,52.67,89.59,49.6,78.57,73.17,1.0,69.2,16
AUT,Austria,Europe,71.0,46.67,90.01,58.4,74.29,72.39,1.0,68.79,17
EST,Estonia,Europe,66.4,66.67,79.27,52.4,64.29,72.5,1.0,66.92,18
PRT,Portugal,Europe,66.0,42.67,80.23,55.6,68.57,84.42,1.0,66.25,19
BEL,Belgium,Europe,58.4,43.0,90.23,57.2,68.57,78.16,1.0,65.93,20
DEU,Germany,Europe,60.2,45.33,89.3,55.2,71.43,73.78,1.0,65.87,21
SVN,Slovenia,Europe,69.6,50.0,85.11,46.4,60.0,74.41,1.0,64.25,22
CZE,Czechia,Europe,68.4,55.67,80.05,51.2,54.29,73.23,1.0,63.81,23
HRV,Croatia,Europe,66.4,49.0,77.86,32.8,67.14,73.68,1.0,61.15,24
MYS,Malaysia,Asia,53.6,70.0,64.45,42.4,57.14,76.99,1.0,60.76,25
ESP,Spain,Europe,59.6,42.0,90.84,46.0,42.86,82.78,1.0,60.68,26
CHL,Chile,Latin America,53.0,45.0,77.77,56.4,40.0,90.1,1.0,60.38,27
ARG,Argentina,Latin America,49.0,62.67,69.36,39.6,50.0,90.64,1.0,60.21,28
SAU,Saudi Arabia,Asia,43.0,100.0,76.03,50.0,17.14,72.56,1.0,59.79,29
FRA,France,Europe,53.0,52.0,91.31,42.4,40.0,79.17,1.0,59.65,30
HUN,Hungary,Europe,61.0,47.33,72.89,48.4,57.14,70.74,1.0,59.58,31
ITA,Italy,Europe,59.6,42.33,90.62,46.4,38.57,77.22,1.0,59.12,32
URY,Uruguay,Latin America,70.4,48.33,71.28,38.0,35.71,90.79,1.0,59.08,33
GRC,Greece,Europe,51.6,42.0,81.65,42.0,57.14,73.88,1.0,58.04,34
POL,Poland,Europe,58.6,52.67,75.06,31.6,60.0,67.98,1.0,57.65,35
CRI,Costa Rica,Latin America,63.4,51.67,72.44,41.6,40.0,76.67,1.0,57.63,36
ZAF,South Africa,Africa,39.0,67.0,39.84,49.6,64.29,85.16,1.0,57.48,37
JPN,Japan,Asia,71.0,37.33,93.4,38.4,25.71,73.37,1.0,56.54,38
COL,Colombia,Latin America,36.0,80.0,69.52,39.6,28.57,76.44,1.0,55.02,39
BRA,Brazil,Latin America,44.4,61.33,63.02,41.2,31.43,87.85,1.0,54.87,40
HKG,Hong Kong,Asia,60.0,33.67,93.52,32.0,42.86,66.97,1.0,54.84,41
KOR,South Korea,Asia,61.6,39.33,91.27,52.4,42.86,40.44,1.0,54.65,42
PER,Peru,Latin America,43.0,66.67,59.5,38.8,31.43,84.71,1.0,54.02,43
VNM,Vietnam,Asia,53.6,68.67,59.66,39.2,28.57,72.98,1.0,53.78,44
RUS,Russia,Europe,26.0,95.0,59.86,40.4,28.57,68.94,1.0,53.13,45
CHN,China,Asia,44.0,59.33,80.56,38.8,21.43,71.21,1.0,52.55,46
TWN,Taiwan,Asia,66.0,34.33,82.26,41.2,32.86,54.93,1.0,51.93,47
MEX,Mexico,Latin America,36.0,64.0,56.27,38.4,28.57,82.62,1.0,50.98,48
IDN,Indonesia,Asia,39.0,74.67,43.93,38.0,28.57,81.47,1.0,50.94,49
ISR,Israel,Asia,24.0,51.67,89.67,49.6,42.86,45.2,1.0,50.5,50
LKA,Sri Lanka,Asia,39.0,52.0,62.34,34.0,35.71,79.51,1.0,50.43,51
PHL,Philippines,Asia,38.0,50.67,48.45,37.6,60.0,67.28,1.0,50.33,52
TUR,Turkey,Europe,30.0,44.0,66.1,58.0,25.71,69.21,1.0,48.84,53
THA,Thailand,Asia,42.0,53.33,71.26,40.8,17.14,66.12,1.0,48.44,54
KEN,Kenya,Africa,28.0,61.67,29.62,39.2,57.14,72.02,1.0,47.94,55
IND,India,Asia,36.0,53.0,41.41,38.8,50.0,67.37,1.0,47.76,56
NGA,Nigeria,Africa,8.0,82.33,11.15,38.8,60.0,82.63,1.0,47.15,57
BGD,Bangladesh,Asia,33.0,59.67,49.08,29.6,28.57,71.63,1.0,45.26,58
EGY,Egypt,Africa,31.0,65.67,49.87,37.2,21.43,60.91,1.0,44.35,59
PAK,Pakistan,Asia,8.0,57.67,35.73,28.4,35.71,53.32,1.0,36.47,60
UKR,Ukraine,Europe,2.0,56.67,54.94,0.0,35.71,0.0,1.0,24.89,61
