iso3,country,region,capital_lat,capital_lon,political_stability,energy_imports_pct,life_expectancy,health_exp_per_capita_usd,net_migration_per_1k
USA,United States,North America,38.90,-77.04,0.07,14,77.4,12555,3.2
CAN,Canada,North America,45.42,-75.69,0.98,-67,82.2,6319,8.4
MEX,Mexico,Latin America,19.43,-99.13,-0.70,8,70.2,603,-0.4
BRA,Brazil,Latin America,-15.78,-47.93,-0.28,16,72.8,838,0.3
ARG,Argentina,Latin America,-34.61,-58.38,-0.05,12,75.4,1065,-0.1
CHL,Chile,Latin America,-33.45,-70.67,0.15,65,78.8,1498,4.1
URY,Uruguay,Latin America,-34.90,-56.19,1.02,55,75.3,1669,-0.5
CRI,Costa Rica,Latin America,9.93,-84.08,0.67,45,77.0,1040,0.4
COL,Colombia,Latin America,4.71,-74.07,-0.70,-40,77.3,493,-0.1
PER,Peru,Latin America,-12.05,-77.04,-0.35,0,72.4,470,-0.3
GBR,United Kingdom,Europe,51.51,-0.13,0.35,36,81.0,5268,2.8
IRL,Ireland,Europe,53.35,-6.26,1.05,65,82.4,7036,9.0
FRA,France,Europe,48.86,2.35,0.15,44,82.5,5492,0.6
DEU,Germany,Europe,52.52,13.40,0.51,64,80.8,7381,3.8
NLD,Netherlands,Europe,52.37,4.90,0.92,56,81.7,6416,2.8
BEL,Belgium,Europe,50.85,4.35,0.42,71,82.0,5400,4.3
LUX,Luxembourg,Europe,49.61,6.13,1.20,95,82.9,7225,14.6
CHE,Switzerland,Europe,46.95,7.45,1.20,50,84.0,11583,6.2
AUT,Austria,Europe,48.21,16.37,1.05,60,81.6,6103,4.6
ITA,Italy,Europe,41.89,12.48,0.48,73,83.2,3533,1.6
ESP,Spain,Europe,40.42,-3.70,0.48,74,83.6,3125,1.5
PRT,Portugal,Europe,38.72,-9.14,0.80,72,78.9,2418,3.9
DNK,Denmark,Europe,55.68,12.57,1.08,-30,81.4,6921,2.5
SWE,Sweden,Europe,59.33,18.07,0.95,25,83.2,6438,1.8
NOR,Norway,Europe,59.91,10.75,1.20,-580,83.2,9674,2.5
FIN,Finland,Europe,60.17,24.94,1.08,42,82.0,4720,2.4
ISL,Iceland,Europe,64.15,-21.94,1.30,14,83.2,6274,4.5
POL,Poland,Europe,52.23,21.01,0.43,42,78.1,1133,-2.1
CZE,Czechia,Europe,50.09,14.42,0.92,33,79.1,2139,2.8
HUN,Hungary,Europe,47.50,19.04,0.55,58,76.9,1192,2.1
GRC,Greece,Europe,37.98,23.73,0.08,74,80.7,1524,0.5
EST,Estonia,Europe,59.44,24.75,0.82,0,78.8,2056,3.1
SVN,Slovenia,Europe,46.05,14.51,0.98,50,81.3,2459,1.6
HRV,Croatia,Europe,45.81,15.98,0.82,53,78.8,1527,-1.8
UKR,Ukraine,Europe,50.45,30.52,-2.40,30,71.6,251,-50.0
RUS,Russia,Europe,55.75,37.62,-1.20,-85,72.0,601,0.1
TUR,Turkey,Europe,39.93,32.87,-1.00,68,76.0,414,4.5
JPN,Japan,Asia,35.68,139.69,1.05,88,84.1,4347,-0.4
KOR,South Korea,Asia,37.57,126.98,0.58,82,83.5,3570,3.1
CHN,China,Asia,39.91,116.40,-0.30,22,82.1,669,-0.3
TWN,Taiwan,Asia,25.03,121.57,0.80,97,80.8,1662,0.3
SGP,Singapore,Asia,1.35,103.82,1.45,97,83.2,4104,4.3
HKG,Hong Kong,Asia,22.30,114.17,0.50,99,85.4,3046,-2.0
MYS,Malaysia,Asia,3.14,101.69,0.18,-10,74.9,465,0.6
IDN,Indonesia,Asia,-6.21,106.85,-0.55,-24,67.6,132,-0.5
THA,Thailand,Asia,13.76,100.50,-0.40,40,79.3,305,0.2
VNM,Vietnam,Asia,21.03,105.85,0.18,-6,74.6,191,-0.2
PHL,Philippines,Asia,14.60,120.98,-0.60,48,69.3,168,-0.6
IND,India,Asia,28.61,77.21,-0.70,41,67.7,74,-0.3
PAK,Pakistan,Asia,33.68,73.05,-2.10,27,66.4,38,-2.9
BGD,Bangladesh,Asia,23.81,90.41,-0.85,21,72.4,51,-2.6
LKA,Sri Lanka,Asia,6.93,79.86,-0.55,44,76.4,157,-1.5
ARE,United Arab Emirates,Asia,24.47,54.37,0.72,-176,78.7,1843,10.9
SAU,Saudi Arabia,Asia,24.71,46.68,-0.35,-204,77.9,1517,2.5
ISR,Israel,Asia,31.77,35.21,-1.30,45,82.7,3571,2.4
AUS,Australia,Oceania,-35.28,149.13,1.02,-107,83.2,6341,7.2
NZL,New Zealand,Oceania,-41.29,174.78,1.42,31,82.0,4856,5.9
ZAF,South Africa,Africa,-25.75,28.19,-0.55,-1,62.3,528,2.4
EGY,Egypt,Africa,30.04,31.24,-0.95,3,70.2,155,-0.7
NGA,Nigeria,Africa,9.08,7.40,-2.10,-47,52.7,70,-0.3
KEN,Kenya,Africa,-1.29,36.82,-1.10,15,61.4,88,-0.2
