prdno,revenue,qty_sold,cum_revenue,cum_share,abc_class,prdnm,classno,qty,pcost
Z1010H2YGVTRXF,288366.0,45.0,288366.0,0.032039493665204144,A,Z10吋電子後視行車紀錄器                                               ,A01,4.0,2500.0
NB1040,228200.0,438.0,516566.0,0.057394120959682646,A,NB 10/40機油                                                  ,A01,71.0,200.0
EY,201776.0,272.0,718342.0,0.07981285574044816,A,工資                                                          ,A01,-668.0,0.0
CARDIOCA700.1A,163340.0,15.0,881682.0,0.0979610802026748,A,CADIO 7吋 2+32安卓主機                                           ,A01,-1.0,7000.0
LD9VTRXF,147800.0,22.0,1029482.0,0.11438270121110566,A,LD-9電子式行車記錄器                                                ,A01,-1.0,3000.0
V81VTRXF,140750.0,47.0,1170232.0,0.13002101756385698,A,V81行車記錄器雙眼(V37)                                             ,A01,6.0,1200.0
MISSIONCVT,122800.0,207.0,1293032.0,0.14366496248831778,A,MISSION CVT-F自排油X+++                                        ,A01,-70.0,230.0
SAXO1040,120200.0,303.0,1413232.0,0.15702002910004573,A,SAXO 10W/40機油                                               ,A01,-31.0,120.0
055MVTRXF,115000.0,17.0,1528232.0,0.1697973390863079,A,安卓專用雙眼行車紀錄器                                                 ,A01,0.0,2000.0
RSEN02F,93700.0,89.0,1621932.0,0.18020806904902759,A,RSEN安定器                                                     ,A01,-7.0,400.0
ZV5G539HNF,83450.0,27.0,1705382.0,0.18947995181731958,A,發現者F-539測速器                                                 ,A01,0.0,1900.0
Z1212H2YVTRXF,81500.0,8.0,1786882.0,0.1985351758510619,A,Z12電子後視行車紀錄器                                                ,A01,1.0,4200.0
2TVUJE,74050.0,34.0,1860932.0,0.20676265241178116,A,倒車顯影(蝴蝶外掛)                                                  ,A01,4.0,450.0
2TXWSDXU,72200.0,58.0,1933132.0,0.2147845809422866,A,倒車雷達內崁兩眼-禾麟                                                 ,A01,0.0,380.0
LD7GVVTRXF,71200.0,15.0,2004332.0,0.22269540242943328,A,LD-7雙眼行車記錄器                                                 ,A01,4.0,2000.0
