cusno,billed,last_sale,orders,received,last_recv,outstanding,days_since_last_sale,cusnm,area,settle
CUS_00066,88200.0,2024-07-31,11,0.0,,88200.0,619,[已隱蔽],,31.0
CUS_00674,76750.0,2024-12-17,6,0.0,,76750.0,480,[已隱蔽],,25.0
CUS_00026,76650.0,2023-06-28,6,0.0,,76650.0,1018,[已隱蔽],,31.0
CUS_00197,47050.0,2023-05-19,11,0.0,,47050.0,1058,[已隱蔽],,31.0
CUS_00054,39750.0,2024-06-15,5,0.0,,39750.0,665,[已隱蔽],,31.0
CUS_00665,39000.0,2022-07-05,2,0.0,,39000.0,1376,[已隱蔽],,31.0
CUS_00622,38710.0,2024-08-27,6,0.0,,38710.0,592,[已隱蔽],,31.0
CUS_00021,38250.0,2022-01-23,9,0.0,,38250.0,1539,[已隱蔽],,31.0
CUS_00471,36500.0,2024-08-02,5,0.0,,36500.0,617,[已隱蔽],,31.0
CUS_00189,35300.0,2021-08-11,3,0.0,,35300.0,1704,[已隱蔽],,31.0
CUS_00731,34950.0,2023-08-02,5,0.0,,34950.0,983,[已隱蔽],,31.0
CUS_00107,33250.0,2023-06-26,1,0.0,,33250.0,1020,[已隱蔽],,31.0
CUS_00231,33250.0,2023-12-16,10,0.0,,33250.0,847,[已隱蔽],,31.0
CUS_00047,32700.0,2024-07-31,3,0.0,,32700.0,619,[已隱蔽],,31.0
CUS_00478,32700.0,2022-11-08,5,0.0,,32700.0,1250,[已隱蔽],,31.0
CUS_00308,31820.0,2023-10-10,2,0.0,,31820.0,914,[已隱蔽],,31.0
CUS_00557,31300.0,2024-03-15,9,0.0,,31300.0,757,[已隱蔽],,31.0
CUS_00181,30850.0,2024-12-25,5,0.0,,30850.0,472,[已隱蔽],,31.0
CUS_00283,30700.0,2024-08-22,3,0.0,,30700.0,597,[已隱蔽],,31.0
CUS_00079,30250.0,2022-04-02,2,0.0,,30250.0,1470,[已隱蔽],,31.0
CUS_00503,29900.0,2023-08-01,2,0.0,,29900.0,984,[已隱蔽],,31.0
CUS_00430,29000.0,2024-08-16,2,0.0,,29000.0,603,[已隱蔽],,31.0
CUS_00158,28450.0,2022-11-25,4,0.0,,28450.0,1233,[已隱蔽],,31.0
CUS_00340,26300.0,2024-03-13,2,0.0,,26300.0,759,[已隱蔽],,31.0
CUS_00272,26300.0,2024-01-13,3,0.0,,26300.0,819,[已隱蔽],,31.0
CUS_00085,26150.0,2024-06-28,6,0.0,,26150.0,652,[已隱蔽],,31.0
CUS_00159,26050.0,2022-07-29,3,0.0,,26050.0,1352,[已隱蔽],,31.0
CUS_00321,26000.0,2023-12-29,3,0.0,,26000.0,834,[已隱蔽],,31.0
CUS_00148,26000.0,2023-07-22,2,0.0,,26000.0,994,[已隱蔽],,31.0
