cusno,cusnm,revenue,margin,orders,margin_rate
CUS_00694,[已隱蔽],953244.5,576857.25,186,0.6051514065908589
CUS_00091,[已隱蔽],230550.0,140580.0,24,0.6097592713077423
CUS_00086,[已隱蔽],210750.0,123907.9,34,0.5879378410438908
CUS_00076,[已隱蔽],212750.0,101488.8,86,0.4770331374853114
CUS_00019,[已隱蔽],166600.0,84579.0,16,0.5076770708283314
CUS_00472,[已隱蔽],135950.0,72826.0,16,0.5356822361162192
CUS_00615,[已隱蔽],120250.0,72021.2,22,0.5989288981288982
CUS_00199,[已隱蔽],101450.0,60924.0,12,0.600532281912272
CUS_00558,[已隱蔽],99900.0,57785.8,16,0.5784364364364365
CUS_00733,[已隱蔽],86300.0,52187.0,36,0.6047161066048667
CUS_00333,[已隱蔽],116750.0,51498.5,11,0.44110064239828695
CUS_00026,[已隱蔽],76650.0,50405.2,6,0.6576020874103066
CUS_00674,[已隱蔽],76750.0,49970.0,6,0.6510749185667752
CUS_00254,[已隱蔽],82350.0,43897.5,17,0.5330601092896174
CUS_00682,[已隱蔽],97660.0,43853.6,97,0.4490436207249641
CUS_00561,[已隱蔽],76100.0,43207.0,16,0.5677660972404731
CUS_00555,[已隱蔽],86200.0,40446.4,23,0.469215777262181
CUS_00031,[已隱蔽],74150.0,39553.9,12,0.5334308833445718
CUS_00066,[已隱蔽],88200.0,38594.8,11,0.43758276643990934
CUS_00630,[已隱蔽],84960.0,37055.0,39,0.4361464218455744
CUS_00365,[已隱蔽],49350.0,31595.5,15,0.6402330293819656
CUS_00171,[已隱蔽],61150.0,31460.0,7,0.5144726083401472
CUS_00656,[已隱蔽],61100.0,31072.0,45,0.508543371522095
CUS_00197,[已隱蔽],47050.0,29431.6,11,0.625538788522848
CUS_00622,[已隱蔽],38710.0,23938.0,6,0.6183931800568329
CUS_00032,[已隱蔽],54450.0,23347.0,7,0.4287786960514233
CUS_00471,[已隱蔽],36500.0,23320.0,5,0.6389041095890411
CUS_00533,[已隱蔽],47035.0,23315.0,37,0.4956946954395663
CUS_00132,[已隱蔽],43330.0,22077.0,18,0.5095084237249019
CUS_00231,[已隱蔽],33250.0,21869.0,10,0.6577142857142857
CUS_00021,[已隱蔽],38250.0,20581.6,9,0.538081045751634
CUS_00731,[已隱蔽],34950.0,20376.0,5,0.5830042918454935
CUS_00158,[已隱蔽],28450.0,19003.0,4,0.6679437609841827
CUS_00058,[已隱蔽],28700.0,18978.0,6,0.6612543554006969
CUS_00177,[已隱蔽],28950.0,18927.0,2,0.6537823834196891
CUS_00494,[已隱蔽],31000.0,17500.0,1,0.5645161290322581
CUS_00283,[已隱蔽],30700.0,17260.0,3,0.5622149837133551
CUS_00085,[已隱蔽],26150.0,17210.0,6,0.6581261950286806
CUS_00478,[已隱蔽],32700.0,17207.0,5,0.5262079510703364
CUS_00054,[已隱蔽],39750.0,17200.0,5,0.4327044025157233
CUS_00396,[已隱蔽],34500.0,16800.0,6,0.48695652173913045
CUS_00189,[已隱蔽],35300.0,16664.5,3,0.47208215297450423
CUS_00262,[已隱蔽],29500.0,16250.0,2,0.5508474576271186
CUS_00389,[已隱蔽],23570.0,16185.0,10,0.6866779804836657
CUS_00308,[已隱蔽],31820.0,15536.0,2,0.48824638592080455
CUS_00047,[已隱蔽],32700.0,15520.0,3,0.4746177370030581
CUS_00020,[已隱蔽],27800.0,15164.0,3,0.5454676258992806
CUS_00495,[已隱蔽],23700.0,15070.0,5,0.6358649789029536
CUS_00107,[已隱蔽],33250.0,15035.0,1,0.45218045112781957
CUS_00557,[已隱蔽],31300.0,14830.0,9,0.47380191693290735
CUS_00079,[已隱蔽],30250.0,14704.4,2,0.48609586776859504
CUS_00503,[已隱蔽],29900.0,14699.2,2,0.4916120401337793
CUS_00691,[已隱蔽],28300.0,14545.0,6,0.5139575971731449
CUS_00340,[已隱蔽],26300.0,14450.0,2,0.5494296577946768
CUS_00217,[已隱蔽],23450.0,14412.0,3,0.6145842217484009
CUS_00442,[已隱蔽],27600.0,14260.0,5,0.5166666666666667
CUS_00321,[已隱蔽],26000.0,14200.0,3,0.5461538461538461
CUS_00181,[已隱蔽],30850.0,13975.0,5,0.4529983792544571
CUS_00159,[已隱蔽],26050.0,13959.0,3,0.5358541266794625
CUS_00133,[已隱蔽],33400.0,13845.0,5,0.4145209580838323
CUS_00074,[已隱蔽],28190.0,13710.4,42,0.4863568641362185
CUS_00044,[已隱蔽],22100.0,13677.0,6,0.618868778280543
CUS_00006,[已隱蔽],24000.0,13620.0,3,0.5675
CUS_00236,[已隱蔽],18550.0,13619.800000000001,8,0.7342210242587601
CUS_00334,[已隱蔽],19000.0,13528.6,4,0.7120315789473685
CUS_00636,[已隱蔽],21900.0,13430.0,4,0.6132420091324201
CUS_00678,[已隱蔽],18000.0,13380.0,6,0.7433333333333333
CUS_00665,[已隱蔽],39000.0,13360.0,2,0.3425641025641026
CUS_00444,[已隱蔽],20600.0,13010.0,2,0.6315533980582524
CUS_00272,[已隱蔽],26300.0,12820.0,3,0.4874524714828897
CUS_00430,[已隱蔽],29000.0,12700.0,2,0.4379310344827586
CUS_00443,[已隱蔽],22200.0,12646.4,3,0.5696576576576576
CUS_00450,[已隱蔽],21150.0,12604.0,3,0.5959338061465721
CUS_00116,[已隱蔽],24300.0,12325.0,1,0.507201646090535
CUS_00161,[已隱蔽],22650.0,12208.0,5,0.5389845474613687
CUS_00683,[已隱蔽],23550.0,12040.0,3,0.5112526539278132
CUS_00148,[已隱蔽],26000.0,12000.0,2,0.46153846153846156
CUS_00499,[已隱蔽],23500.0,11971.0,5,0.5094042553191489
CUS_00479,[已隱蔽],22300.0,11760.0,1,0.5273542600896861
CUS_00598,[已隱蔽],23650.0,11670.0,25,0.493446088794926
CUS_00013,[已隱蔽],17300.0,11653.7,5,0.6736242774566474
CUS_00556,[已隱蔽],28600.0,11500.0,7,0.4020979020979021
CUS_00532,[已隱蔽],28000.0,11481.0,3,0.4100357142857143
