cusno,last_purchase,first_purchase,frequency,monetary,margin,recency_days,cusnm,area,kind,R_score,F_score,M_score,RFM_sum,segment
CUS_00001,2025-02-08,2025-02-08,1,2950.0,2138.5,427.0,[已隱蔽],,一般,4,2,2,8,New 新客
CUS_00002,2024-08-10,2024-08-10,1,12700.0,7690.0,609.0,[已隱蔽],,一般,4,2,4,10,New 新客
CUS_00003,2022-08-24,2022-08-24,1,1400.0,1290.0,1326.0,[已隱蔽],,一般,2,2,1,5,Lost 已流失
CUS_00004,2020-10-27,2020-10-27,1,2350.0,1370.0,1992.0,[已隱蔽],,一般,1,2,1,4,Lost 已流失
CUS_00007,2023-01-09,2023-01-09,1,2000.0,1690.0,1188.0,[已隱蔽],,一般,2,2,1,5,Lost 已流失
CUS_00008,2021-11-14,2021-11-13,2,7800.0,4220.0,1609.0,[已隱蔽],,一般,1,4,4,9,At Risk 流失中
CUS_00009,2024-05-18,2021-07-05,7,16450.0,11042.0,693.0,[已隱蔽],,一般,3,5,5,13,Others
CUS_00010,2020-12-24,2020-12-24,1,8800.0,2630.0,1934.0,[已隱蔽],,一般,1,2,4,7,Lost 已流失
CUS_00011,2021-01-25,2021-01-25,1,4250.0,1320.0,1902.0,[已隱蔽],,一般,1,2,3,6,Lost 已流失
CUS_00015,2020-12-29,2020-12-29,1,6850.0,5100.0,1929.0,[已隱蔽],,一般,1,2,3,6,Lost 已流失
CUS_00016,2024-06-28,2023-06-19,2,14650.0,8200.0,652.0,[已隱蔽],,一般,3,4,4,11,Others
CUS_00017,2023-03-27,2023-03-27,1,8500.0,4150.0,1111.0,[已隱蔽],,一般,2,2,4,8,Lost 已流失
CUS_00021,2022-01-23,2020-10-26,9,38250.0,20581.6,1539.0,[已隱蔽],,一般,1,5,5,11,At Risk 流失中
CUS_00022,2023-01-04,2022-12-31,2,21100.0,8270.0,1193.0,[已隱蔽],,一般,2,4,5,11,At Risk 流失中
CUS_00023,2023-02-16,2023-02-16,1,1500.0,1100.0,1150.0,[已隱蔽],,一般,2,2,1,5,Lost 已流失
CUS_00024,2021-12-06,2021-12-06,1,5400.0,1650.0,1587.0,[已隱蔽],,一般,1,2,3,6,Lost 已流失
CUS_00026,2023-06-28,2023-02-23,6,76650.0,50405.2,1018.0,[已隱蔽],,一般,3,5,5,13,Others
CUS_00028,2022-03-22,2022-01-19,3,23800.0,10016.0,1481.0,[已隱蔽],,一般,2,4,5,11,At Risk 流失中
CUS_00029,2024-05-11,2024-05-11,1,1500.0,1000.0,700.0,[已隱蔽],,一般,3,2,1,6,Others
CUS_00030,2025-01-25,2023-11-01,2,10800.0,5201.8,441.0,[已隱蔽],,一般,4,4,4,12,Champions 黃金客
CUS_00033,2022-02-25,2022-02-25,1,2500.0,1200.0,1506.0,[已隱蔽],,一般,2,2,1,5,Lost 已流失
CUS_00034,2024-03-16,2024-03-16,1,3000.0,1900.0,756.0,[已隱蔽],,一般,3,2,2,7,Others
CUS_00036,2022-01-05,2022-01-05,1,5000.0,1900.0,1557.0,[已隱蔽],,一般,1,2,3,6,Lost 已流失
CUS_00037,2022-12-14,2022-12-14,1,3800.0,3090.0,1214.0,[已隱蔽],,一般,2,2,2,6,Lost 已流失
