month,in,out,net
2020-08,94220.0,4620432.0,-4526212.0
2020-09,94220.0,4620432.0,-4526212.0
2020-10,188440.0,3080288.0,-2891848.0
2020-11,94220.0,4235396.0,-4141176.0
2020-12,188440.0,5390504.0,-5202064.0
2021-01,1259760.0,23591664.0,-22331904.0
2021-02,209960.0,17693748.0,-17483788.0
2021-03,839840.0,29489580.0,-28649740.0
2021-04,1469720.0,22117185.0,-20647465.0
2021-05,629880.0,22117185.0,-21487305.0
2021-06,839840.0,19168227.0,-18328387.0
2021-07,419920.0,17693748.0,-17273828.0
2021-08,419920.0,17693748.0,-17273828.0
2021-09,0.0,20642706.0,-20642706.0
2021-10,1679680.0,22117185.0,-20437505.0
2021-11,1049800.0,17693748.0,-16643948.0
2021-12,1049800.0,23591664.0,-22541864.0
2022-01,1230675.0,17764962.0,-16534287.0
2022-02,0.0,10284978.0,-10284978.0
2022-03,984540.0,9349980.0,-8365440.0
2022-04,738405.0,13089972.0,-12351567.0
2022-05,1230675.0,9349980.0,-8119305.0
2022-06,0.0,2804994.0,-2804994.0
2022-07,984540.0,13089972.0,-12105432.0
2022-08,246135.0,11219976.0,-10973841.0
2022-09,984540.0,12154974.0,-11170434.0
2022-10,1230675.0,9349980.0,-8119305.0
2022-11,246135.0,10284978.0,-10038843.0
2022-12,492270.0,13089972.0,-12597702.0
2023-01,1958040.0,12099100.0,-10141060.0
2023-02,979020.0,12099100.0,-11120080.0
2023-03,979020.0,15728830.0,-14749810.0
2023-04,1958040.0,8469370.0,-6511330.0
2023-05,489510.0,21778380.0,-21288870.0
2023-06,1468530.0,14518920.0,-13050390.0
2023-07,979020.0,14518920.0,-13539900.0
2023-08,4405590.0,9679280.0,-5273690.0
2023-09,979020.0,9679280.0,-8700260.0
2023-10,979020.0,8469370.0,-7490350.0
2023-11,2447550.0,12099100.0,-9651550.0
2023-12,489510.0,12099100.0,-11609590.0
2024-01,741630.0,8204368.0,-7462738.0
2024-02,988840.0,12306552.0,-11317712.0
2024-03,1236050.0,12306552.0,-11070502.0
2024-04,741630.0,10255460.0,-9513830.0
2024-05,494420.0,10255460.0,-9761040.0
2024-06,0.0,11281006.0,-11281006.0
2024-07,247210.0,13332098.0,-13084888.0
2024-08,1236050.0,13332098.0,-12096048.0
2024-09,741630.0,9229914.0,-8488284.0
2024-10,247210.0,12306552.0,-12059342.0
2024-11,247210.0,7178822.0,-6931612.0
2024-12,1236050.0,14357644.0,-13121594.0
2025-01,828130.0,6229359.0,-5401229.0
2025-02,1656260.0,2768604.0,-1112344.0
2025-03,2484390.0,8997963.0,-6513573.0
2025-04,4140650.0,4845057.0,-704407.0
2025-05,1656260.0,6229359.0,-4573099.0
2025-06,1656260.0,8997963.0,-7341703.0
2025-07,1656260.0,6921510.0,-5265250.0
2025-08,4140650.0,6229359.0,-2088709.0
2025-09,0.0,4152906.0,-4152906.0
2025-10,828130.0,5537208.0,-4709078.0
2025-11,828130.0,3460755.0,-2632625.0
2025-12,1656260.0,8305812.0,-6649552.0
2026-01,0.0,2899666.0,-2899666.0
2026-02,30000.0,2108848.0,-2078848.0
2026-03,15000.0,2899666.0,-2884666.0
2026-04,0.0,1845242.0,-1845242.0
