月份,營收
2019-12,5400.0
2020-01,0.0
2020-02,0.0
2020-03,0.0
2020-04,0.0
2020-05,0.0
2020-06,0.0
2020-07,39000.0
2020-08,95299.0
2020-09,44400.0
2020-10,81900.0
2020-11,109160.0
2020-12,184448.0
2021-01,251225.0
2021-02,121574.0
2021-03,154049.0
2021-04,97320.0
2021-05,92250.0
2021-06,92690.0
2021-07,106600.0
2021-08,115690.0
2021-09,131892.0
2021-10,159709.0
2021-11,88719.0
2021-12,134930.0
2022-01,230800.0
2022-02,92630.0
2022-03,162790.0
2022-04,147175.0
2022-05,140259.0
2022-06,117920.0
2022-07,123730.0
2022-08,150040.0
2022-09,100950.0
2022-10,81950.0
2022-11,188190.0
2022-12,207450.0
2023-01,159415.0
2023-02,135200.0
2023-03,179110.0
2023-04,156910.0
2023-05,232240.0
2023-06,174050.0
2023-07,120099.0
2023-08,170759.0
2023-09,173150.0
2023-10,134374.0
2023-11,126970.0
2023-12,137500.0
2024-01,152050.0
2024-02,128824.0
2024-03,148217.0
2024-04,167800.0
2024-05,127026.0
2024-06,133740.0
2024-07,169270.0
2024-08,172750.0
2024-09,114390.0
2024-10,99500.0
2024-11,86600.0
2024-12,121500.0
2025-01,161185.0
2025-02,84160.0
2025-03,77949.0
2025-04,99250.0
2025-05,80300.0
2025-06,121050.0
2025-07,128175.0
2025-08,125069.0
2025-09,47699.0
2025-10,66850.0
2025-11,104999.0
2025-12,153221.5
2026-01,70674.0
2026-02,135207.0
2026-03,115538.0
2026-04,57420.0
