prdno,prdnm,classno,qty,safeqty,pcost,qty_sold_1y
EY,工資                                                          ,A01,-668.0,0.0,0.0,49.0
SAXO1040,SAXO 10W/40機油                                               ,A01,-31.0,0.0,120.0,36.0
UJGY,英文數字                                                        ,A01,-66.0,0.0,35.0,36.0
G18.52Q,G18.5燈泡                                                     ,A01,-48.0,0.0,5.0,31.0
2VY,單芯座                                                         ,A01,-9.0,0.0,16.0,30.0
MISSIONCVT,MISSION CVT-F自排油X+++                                        ,A01,-70.0,0.0,230.0,22.0
832YW,8#端子頭                                                       ,A01,-20.0,0.0,15.0,20.0
16322T,1632電池                                                      ,A01,-49.0,0.0,45.0,20.0
SAXOC35W30FHU,SAXO C3 5W30柴油共用遊                                           ,A01,-28.0,0.0,220.0,19.0
RSEN02F,RSEN安定器                                                     ,A01,-7.0,0.0,400.0,12.0
2TXWSDXU,倒車雷達內崁兩眼-禾麟                                                 ,A01,0.0,0.0,380.0,10.0
12FVRU5XR,八大全效機油精                                                     ,A01,-31.0,0.0,120.0,9.0
SAXOQUYFRR,SAXO噴油嘴清潔劑                                                  ,A01,-10.0,0.0,80.0,7.0
ZEROFV1UUR,ZERO全效保養汽車精[車牌]                                            ,A01,-9.0,0.0,180.0,7.0
UTEY,驗車工資                                                        ,A01,-8.0,0.0,0.0,6.0
2QG,電瓶水                                                         ,A01,-30.0,0.0,15.0,6.0
CHEERS1540RU,CHEERS 15/40機油                                              ,A01,-9.0,0.0,104.2,5.0
ZV5G539HNF,發現者F-539測速器                                                 ,A01,0.0,0.0,1900.0,5.0
NOIDNRMG24,NOID三節雨刷 24吋                                                ,A01,-4.0,0.0,100.0,5.0
2055516BSNH100,205/55-16 BS NH100輪胎                                        ,A01,0.0,0.0,2700.0,4.0
BCF-16162CVF,[車牌]點火線圈                                                ,A01,0.0,0.0,1800.0,4.0
BCF-1616CVN,[車牌]火星塞                                                 ,A01,0.0,0.0,450.0,4.0
RSENT1018RMU,RSEN T10 魚眼 18晶CANBUS                                       ,A01,-1.0,0.0,150.0,4.0
ZWUV,豐田油芯                                                        ,A01,-31.0,0.0,80.0,4.0
VTRXFV,行車記錄器線                                                      ,A01,-49.0,0.0,150.0,4.0
WISHUV,WISH油芯                                                      ,A01,-23.0,0.0,65.0,4.0
5SR,助黏劑                                                         ,A01,-2.0,0.0,100.0,4.0
RSEND48000K,RSEN D4 8000K燈泡                                             ,A01,-6.0,0.0,500.0,4.0
FCOUSUV,FCOUS油芯                                                     ,A01,-17.0,0.0,250.0,4.0
K00374,彩繪貼紙/火貼紙                                                    ,A01,0.0,0.0,50.0,3.0
ZEROVRMG20,ZERO矽膠雨刷20吋                                                 ,A01,-3.0,0.0,350.0,3.0
NXUR,三菱油芯                                                        ,A01,-12.0,0.0,45.0,3.0
H00861,鶴/一對 立體 貼紙                                                  ,A01,-1.0,0.0,30.0,3.0
CLA2500UV,CLA-250專用油芯                                                 ,A01,-4.0,0.0,300.0,3.0
1VNV,保險絲(小)                                                      ,A01,-22.0,1.0,2.0,3.0
AXZ7328EY,工資                                                          ,A01,-4.0,0.0,0.0,3.0
RSEND46000K,RSEN D4 6000K燈泡                                             ,A01,0.0,0.0,500.0,3.0
PF154QGW,PF-154噴水頭                                                   ,A01,-4.0,0.0,63.0,3.0
CLA250XFXJ,CLA-250冷氣濾網(W17)                                            ,A01,-5.0,0.0,500.0,3.0
SENFINECOFURFFVR,西德SENFINECO汽油進氣系統清洗劑9921                                    ,A01,-1.0,0.0,400.0,3.0
ZEROVRMG24,ZERO矽膠雨刷24吋                                                 ,A01,-5.0,0.0,415.0,3.0
