prdno,purchased_qty,sold_qty,diff,sell_through,prdnm
GV2Q,280.0,9.0,271.0,0.03214285714285714,雙芯燈泡                                                        
T10552,280.0,30.0,250.0,0.10714285714285714,T10中炸彈                                                      
3D1F1,263.0,17.0,246.0,0.06463878326996197,3D補漆筆                                                       
2V2Q,230.0,5.0,225.0,0.021739130434782608,單芯燈泡                                                        
PNSHG01,212.0,0.0,212.0,0.0,車用萬用掛勾 後枕頭 360度旋轉                                           
1ERV,201.0,0.0,201.0,0.0,扁公母夾線頭                                                      
1VNV,200.0,7.0,193.0,0.035,保險絲(小)                                                      
ZJTUA,150.0,21.0,129.0,0.14,防霧除油膜                                                       
V52,100.0,0.0,100.0,0.0,小炸彈                                                         
TVR,100.0,0.0,100.0,0.0,2分叉線夾10#/100只                                               
X1V,100.0,0.0,100.0,0.0,SPK-105喇叭線                                                  
24VGV2Q,80.0,0.0,80.0,0.0,24V雙芯燈泡                                                     
AFL283578,140.0,68.0,72.0,0.4857142857142857,軟條燈2835-78LED                                               
2VCQ2Q,80.0,8.0,72.0,0.1,單芯琥珀燈泡                                                      
NOIDNRMG16,80.0,13.0,67.0,0.1625,NOID三節雨刷 16吋                                                
RSENT105630,96.0,30.0,66.0,0.3125,RSEN T10 5630 10燈                                           
NOIDNRMG14,75.0,11.0,64.0,0.14666666666666667,NOID三節雨刷 14吋                                                
T20GV2Q,70.0,6.0,64.0,0.08571428571428572,T20雙芯燈泡                                                     
AS1VN,60.0,0.0,60.0,0.0,迷你保險絲                                                       
NOIDNRMG24,80.0,20.0,60.0,0.25,NOID三節雨刷 24吋                                                
NOIDNRMG18,70.0,11.0,59.0,0.15714285714285714,NOID三節雨刷 18吋                                                
VBDVATX-2,70.0,13.0,57.0,0.18571428571428572,向日葵細目粗蠟二代                                                   
VBDXEX,102.0,47.0,55.0,0.46078431372549017,向日葵橘油亮光蠟  [車牌]                                             
2QG,72.0,18.0,54.0,0.25,電瓶水                                                         
ZEROVRMG26,80.0,27.0,53.0,0.3375,ZERO 26吋矽膠雨刷                                                
CV,50.0,0.0,50.0,0.0,花線                                                          
VH,50.0,0.0,50.0,0.0,線材1米                                                        
GE50CM,50.0,0.0,50.0,0.0,10MM蛇管(滾管)50m                                               
H4OSRAM2Q,50.0,1.0,49.0,0.02,H4 OSRAM燈泡                                                  
G18.52Q,80.0,32.0,48.0,0.4,G18.5燈泡                                                     
NOIDNRMG22,50.0,3.0,47.0,0.06,NOID三節雨刷 22吋                                                
NOIDNRMG20,60.0,13.0,47.0,0.21666666666666667,NOID三節雨刷 20吋                                                
LASTS2DVG,52.0,7.0,45.0,0.1346153846153846,LASTS吊卡香水                                                   
S27CTYZ1VNY,69.0,25.0,44.0,0.36231884057971014,S27圓形保險絲母頭座                                                 
