prdno,prdnm,revenue,cost,margin,qty,margin_rate
EY,工資                                                          ,201776.0,500.0,201276.0,272.0,0.9975220045991595
NB1040,NB 10/40機油                                                  ,228200.0,87600.0,140600.0,438.0,0.6161262050832603
Z1010H2YGVTRXF,10吋電子後視行車紀錄器                                                ,203867.0,69419.0,134448.0,31.0,0.6594887843545056
SAXO1040,SAXO 10W/40機油                                               ,120200.0,35650.0,84550.0,303.0,0.7034109816971714
LD9VTRXF,LD-9電子式行車記錄器                                                ,147800.0,65000.0,82800.0,22.0,0.5602165087956699
MISSIONCVT,MISSION CVT-F自排油X+++                                        ,115200.0,44620.0,70580.0,194.0,0.6126736111111111
055MVTRXF,安卓專用雙眼行車紀錄器                                                 ,115000.0,50000.0,65000.0,17.0,0.5652173913043478
RSEN02F,RSEN安定器                                                     ,93700.0,35600.0,58100.0,89.0,0.6200640341515475
Z1010H2YGVTRXF,Z10吋電子後視行車紀錄器                                               ,84499.0,32800.0,51699.0,14.0,0.6118297257955716
2TXWSDXU,倒車雷達內崁兩眼-禾麟                                                 ,72200.0,22040.0,50160.0,58.0,0.6947368421052632
WUSWU5TF,太陽能胎壓偵測器                                                    ,70975.0,23700.0,47275.0,26.0,0.6660796054948925
V81VTRXF,V81行車記錄器雙眼(V37)                                             ,75200.0,28800.0,46400.0,24.0,0.6170212765957447
SAXOC35W30FHU,SAXO C3 5W30柴油共用遊                                           ,61350.0,18480.0,42870.0,84.0,0.6987775061124695
LD7GVVTRXF,LD-7雙眼行車記錄器                                                 ,71200.0,30500.0,40700.0,15.0,0.5716292134831461
V81VTRXF,V81行車記錄器雙眼                                                  ,65550.0,26401.0,39149.0,23.0,0.5972387490465294
OBT2FHWWVGF,OBT抬頭顯示器(七彩)                                                ,58200.0,21000.0,37200.0,21.0,0.6391752577319587
ZV5G539HNF,發現者F-539測速器                                                 ,83450.0,47700.0,35750.0,27.0,0.4284002396644697
SENFINECOFURFFVR,西德SENFINECO汽油進氣系統清洗劑9921                                    ,43350.0,9600.0,33750.0,24.0,0.7785467128027682
LD72UVTRXF,LD-7單眼行車記錄器                                                 ,54500.0,24000.0,30500.0,16.0,0.5596330275229358
CARDIOCA700.1A,CARDIO CA-700.1A安卓主機                                        ,84850.0,54400.0,30450.0,8.0,0.3588685916322923
Z1212H2YVTRXF,12吋電子後視行車紀錄器                                                ,48500.0,18600.0,29900.0,5.0,0.6164948453608248
7003J25R,[車牌]無碟主機                                                 ,37800.0,9600.0,28200.0,16.0,0.746031746031746
