prdno,prdnm,classno,qty,pcost,dead_value,lastin,lastout,last_activity,idle_days,isstock
ID300K5252U,ID-300K主動重低音                                                ,A01,4.0,5500.0,22000.0,2023-05-03,2023-03-15,2023-05-03,1074.0,Y
V15XCRVTRXF,V15鋁合金行車紀錄器                                                 ,A01,14.0,1500.0,21000.0,2022-03-15,2022-10-14,2022-10-14,1275.0,Y
WISH4+64055R,WISH 4+64安卓主機                                               ,A01,1.0,9500.0,9500.0,2024-02-04,,2024-02-04,797.0,Y
2015EAX84+64055R,2015冠美麗8核4+64安卓主機                                           ,A01,1.0,9500.0,9500.0,2022-12-05,,2022-12-05,1223.0,Y
LD7GVVTRXF,LD-7雙眼行車記錄器                                                 ,A01,4.0,2000.0,8000.0,2024-05-27,2024-05-21,2024-05-27,684.0,Y
08ALTIS1C2+32055R,08-13ALTIS 八核2+32安卓主機                                       ,A01,1.0,7500.0,7500.0,2022-10-05,,2022-10-05,1284.0,Y
COLTPOLS2+32055R,COLT POLS2+32安卓主機                                           ,A01,1.0,7500.0,7500.0,2024-03-27,2022-09-24,2024-03-27,745.0,Y
V81VTRXF,V81行車記錄器雙眼(V37)                                             ,A01,6.0,1200.0,7200.0,2021-11-03,2022-10-14,2022-10-14,1275.0,Y
ZV5T8RTVTRXF,發現者T8行車記錄器+GPS                                              ,A01,1.0,6000.0,6000.0,2022-11-24,,2022-11-24,1234.0,Y
ID6.5TZUX1,ID 6.5T喇叭                                                   ,A01,2.0,2800.0,5600.0,2023-04-27,2023-08-08,2023-08-08,977.0,Y
2280-MRZ2R,[車牌]冠美麗發電機(士電)                                           ,A01,1.0,5500.0,5500.0,2024-06-15,2024-06-15,2024-06-15,665.0,Y
PNSHG01,車用萬用掛勾 後枕頭 360度旋轉                                           ,A01,211.0,25.0,5275.0,2021-12-29,,2021-12-29,1564.0,Y
ID5*7X1,ID5*7喇叭                                                     ,A01,5.0,900.0,4500.0,2025-03-13,2023-07-11,2025-03-13,394.0,Y
GARMIN532C,GARMIN 53導航                                                 ,A01,1.0,4500.0,4500.0,2025-01-18,2025-01-16,2025-01-18,448.0,Y
05AYW3XW,05馬自達3輪胎                                                    ,A01,2.0,2200.0,4400.0,2020-12-16,2020-12-16,2020-12-16,1942.0,Y
ZV5Q5VTRXF,發現者Q5行車記錄器                                                  ,A01,3.0,1400.0,4200.0,2021-12-26,2022-03-07,2022-03-07,1496.0,Y
Z16GUVTRXF,Z16機車雙眼行車紀錄器                                                ,A01,1.0,4000.0,4000.0,2022-12-26,,2022-12-26,1202.0,Y
ABTD002,大吸力直立旋風無限吸塵器                                                ,A01,3.0,1250.0,3750.0,2025-01-03,,2025-01-03,463.0,Y
WFJA,導氣碳纖維膜(黑1.52*30)                                            ,A01,26.0,143.3,3725.8,2021-06-26,2022-01-14,2022-01-14,1548.0,Y
ID300KUV,ID300K音箱                                                    ,A01,1.0,3500.0,3500.0,2024-02-20,,2024-02-20,781.0,Y
