facno,facnm,purchase,orders,items,share,cum_share
FAC_00066,[已隱蔽],874007.0,175,408,0.15058309909148293,0.15058309909148293
FAC_00047,[已隱蔽],731550.0,85,74,0.12603911197550402,0.2766222110669869
FAC_00036,[已隱蔽],389270.0,130,31,0.06706752117928295,0.34368973224626986
FAC_00044,[已隱蔽],344813.0,60,163,0.059408002621296516,0.4030977348675664
FAC_00024,[已隱蔽],280355.0,70,59,0.0483025018630202,0.4514002367305866
FAC_00023,[已隱蔽],261008.0,107,113,0.044969197646780604,0.4963694343773672
FAC_00064,[已隱蔽],244776.5,45,254,0.04217266446923923,0.5385420988466064
FAC_00035,[已隱蔽],208550.0,34,39,0.03593118283438092,0.5744732816809873
FAC_00014,[已隱蔽],207280.0,51,24,0.03571237390510897,0.6101856555860963
FAC_00038,[已隱蔽],204310.0,25,46,0.03520067113350451,0.6453863267196008
FAC_00043,[已隱蔽],198308.2,148,206,0.03416661803767432,0.6795529447572751
FAC_00019,[已隱蔽],186645.0,164,211,0.032157159530678624,0.7117101042879538
FAC_00010,[已隱蔽],177771.2,51,90,0.030628288131801955,0.7423383924197557
FAC_00050,[已隱蔽],159201.0,29,7,0.02742881917245877,0.7697672115922145
FAC_00018,[已隱蔽],121255.0,14,11,0.02089108403060589,0.7906582956228204
FAC_00004,[已隱蔽],108000.0,9,1,0.018607373512889665,0.8092656691357101
FAC_00060,[已隱蔽],83692.0,19,102,0.014419336148525572,0.8236850052842356
FAC_00025,[已隱蔽],80390.0,13,5,0.013850432932418518,0.8375354382166541
FAC_00033,[已隱蔽],75000.0,7,13,0.012921787161728933,0.8504572253783831
FAC_00040,[已隱蔽],66842.0,19,76,0.011516241299523805,0.8619734666779069
FAC_00030,[已隱蔽],66200.0,10,12,0.011405630801419405,0.8733790974793263
FAC_00054,[已隱蔽],66000.0,13,16,0.01137117270232146,0.8847502701816478
FAC_00003,[已隱蔽],56440.0,32,55,0.009724075565439746,0.8944743457470875
FAC_00006,[已隱蔽],55228.8,7,4,0.0095153973173026,0.9039897430643901
FAC_00029,[已隱蔽],53049.0,41,87,0.009139838495234108,0.9131295815596242
FAC_00053,[已隱蔽],52900.0,81,85,0.00911416721140614,0.9222437487710303
FAC_00026,[已隱蔽],46310.0,22,22,0.007978772846128891,0.9302225216171592
FAC_00032,[已隱蔽],44243.0,14,17,0.007622648391951642,0.9378451700091108
FAC_00037,[已隱蔽],38154.0,34,34,0.006573571564914743,0.9444187415740256
FAC_00027,[已隱蔽],33939.0,8,9,0.005847367126425577,0.9502661087004511
FAC_00063,[已隱蔽],32848.0,15,159,0.005659398195846293,0.9559255068962974
FAC_00031,[已隱蔽],29950.0,8,4,0.0051601003399170875,0.9610856072362145
FAC_00045,[已隱蔽],23830.0,41,48,0.004105682507520006,0.9651912897437345
FAC_00005,[已隱蔽],23600.0,2,5,0.004066055693557371,0.9692573454372918
FAC_00061,[已隱蔽],22600.0,7,6,0.0038937651980676517,0.9731511106353594
FAC_00001,[已隱蔽],17280.0,1,3,0.002977179762062346,0.9761282903974218
FAC_00052,[已隱蔽],17000.0,7,7,0.0029289384233252246,0.979057228820747
FAC_00022,[已隱蔽],13766.0,5,4,0.002371750960911473,0.9814289797816584
FAC_00021,[已隱蔽],13188.0,5,2,0.0022721670545184157,0.9837011468361768
FAC_00015,[已隱蔽],12550.0,20,23,0.002162245718395975,0.9858633925545728
FAC_00013,[已隱蔽],11570.0,2,7,0.00199340103281605,0.9878567935873889
FAC_00056,[已隱蔽],10090.0,1,3,0.0017384110994912657,0.9895952046868801
FAC_00059,[已隱蔽],8300.0,4,5,0.0014300111125646687,0.9910252157994448
FAC_00051,[已隱蔽],7650.0,3,8,0.0013180222904963512,0.9923432380899412
FAC_00049,[已隱蔽],6700.0,2,3,0.001154346319781118,0.9934975844097222
FAC_00017,[已隱蔽],6000.0,1,2,0.0010337429729383146,0.9945313273826606
FAC_00057,[已隱蔽],5490.0,3,10,0.0009458748202385578,0.9954772022028991
FAC_00062,[已隱蔽],3400.0,5,2,0.000585787684665045,0.9960629898875641
FAC_00065,[已隱蔽],3400.0,2,4,0.000585787684665045,0.9966487775722291
FAC_00055,[已隱蔽],3150.0,3,1,0.0005427150607926151,0.9971914926330218
FAC_00058,[已隱蔽],2500.0,1,1,0.00043072623872429774,0.9976222188717461
FAC_00007,[已隱蔽],2415.0,1,1,0.0004160815466076716,0.9980383004183537
FAC_00048,[已隱蔽],2300.0,1,1,0.00039626813962635396,0.9984345685579801
FAC_00011,[已隱蔽],2000.0,1,1,0.0003445809909794382,0.9987791495489595
FAC_00012,[已隱蔽],1900.0,1,1,0.0003273519414304663,0.99910650149039
FAC_00039,[已隱蔽],1700.0,3,2,0.0002928938423325225,0.9993993953327226
FAC_00046,[已隱蔽],1050.0,1,1,0.00018090502026420506,0.9995803003529868
FAC_00009,[已隱蔽],820.0,2,3,0.00014127820630156966,0.9997215785592884
FAC_00042,[已隱蔽],656.0,1,2,0.00011302256504125573,0.9998346011243298
FAC_00016,[已隱蔽],600.0,1,1,0.00010337429729383146,0.9999379754216235
FAC_00034,[已隱蔽],200.0,1,1,3.445809909794382e-05,0.9999724335207215
FAC_00041,[已隱蔽],160.0,1,1,2.7566479278355057e-05,0.9999999999999999
