prdno,purchased_qty,sold_qty,diff,sell_through,prdnm
EY,1.0,272.0,-271.0,272.0,工資                                                          
MISSIONCVT,144.0,207.0,-63.0,1.4375,MISSION CVT-F自排油X+++                                        
UJGY,16.0,62.0,-46.0,3.875,英文數字                                                        
4#2MW,0.0,30.0,-30.0,,4#電源頭                                                       
16322T,60.0,87.0,-27.0,1.45,1632電池                                                      
ZWUV,33.0,58.0,-25.0,1.7575757575757576,豐田油芯                                                        
12FVRU5XR,40.0,64.0,-24.0,1.6,八大全效機油精                                                     
SAXOC35W30FHU,60.0,84.0,-24.0,1.4,SAXO C3 5W30柴油共用遊                                           
832YW,0.0,20.0,-20.0,,8#端子頭                                                       
XGRUV,1.0,19.0,-18.0,19.0,菱帥機油芯                                                       
WISHUV,0.0,17.0,-17.0,,WISH油芯                                                      
XFXJALTIS,22.0,38.0,-16.0,1.7272727272727273,冷氣濾01-07ALTIS                                               
FTZQWZEQ,39.0,55.0,-16.0,1.4102564102564104,汽車防碰反光片                                                     
VTRXFV,7.0,21.0,-14.0,3.0,行車記錄器線                                                      
2MT,0.0,13.0,-13.0,,電源夾 (JK-40-S27)小                                            
FCOUSUV,1.0,12.0,-11.0,12.0,FCOUS油芯                                                     
FTA11CW,19.0,29.0,-10.0,1.5263157894736843,汽車門把保護貼                                                     
16G,0.0,9.0,-9.0,,16G                                                         
SAXOQUYFRR,28.0,37.0,-9.0,1.3214285714285714,SAXO噴油嘴清潔劑                                                  
UTEY,0.0,8.0,-8.0,,驗車工資                                                        
82VAUV,0.0,8.0,-8.0,,8代喜美油芯                                                      
ZINGERDFV,6.0,14.0,-8.0,2.3333333333333335,ZINGER空氣芯                                                   
CLA250DFV,2.0,10.0,-8.0,5.0,CLA-250空氣芯                                                  
1G5MYQU,5.0,12.0,-7.0,2.4,賓士專用自排油                                                     
YARISDFV,0.0,7.0,-7.0,,YARIS空氣芯                                                    
RWFVR,0.0,7.0,-7.0,,泡沫事積碳清洗劑                                                    
APPUD5D,0.0,6.0,-6.0,,APP遙控中控                                                     
VR1RUV,2.0,8.0,-6.0,4.0,新尖兵機油芯                                                      
V37TDGUVTRXF,1.0,7.0,-6.0,7.0,V37觸控雙眼行車紀錄器                                                
