casno,cdate,ctime,stockno,tot,tot1,apcost,note1,cusno,busno,rtax,mtax,repno,tot2,type,cardno,kind,smoney,mon1,cas,yn,timea,toacc,busno1
1090731GF0000001,2020-07-31 00:00:00,2[電話] 17:51:02      ,GF ,4600.0,4600.0,2910.0,                                                  ,CUS_00587,1,0.0,0.0,                ,0.0,現金  ,,一般  ,0.0,4600.0,0.0,否 ,[已隱蔽],,2.0
1090804GF0000001,2020-08-04 00:00:00,2[電話] 13:19:25      ,GF ,4350.0,4350.0,2530.0,,CUS_00587,1,0.0,0.0,                ,0.0,現金  ,,一般  ,0.0,4350.0,0.0,否 ,[已隱蔽],,2.0
1090805GF0000001,2020-08-05 00:00:00,2[電話] 09:45:06      ,GF ,7770.0,7770.0,4480.0,,CUS_00587,1,0.0,0.0,                ,0.0,現金  ,,一般  ,0.0,7770.0,0.0,否 ,[已隱蔽],,
1090807GF0000001,2020-08-07 00:00:00,2[電話] 09:33:40      ,GF ,1750.0,1750.0,685.0,,CUS_00587,1,0.0,0.0,                ,0.0,現金  ,,一般  ,0.0,1750.0,0.0,否 ,[已隱蔽],,
1090808GF0000001,2020-08-08 00:00:00,2[電話] 16:39:33      ,GF ,7500.0,7500.0,3050.0,,CUS_00587,1,0.0,0.0,                ,0.0,現金  ,,一般  ,0.0,7500.0,0.0,否 ,[已隱蔽],,1.0
1090811GF0000001,2020-08-11 00:00:00,2[電話] 09:31:32      ,GF ,4400.0,4400.0,1370.0,,CUS_00587,1,0.0,0.0,                ,0.0,現金  ,,一般  ,0.0,4400.0,0.0,否 ,[已隱蔽],,
1090812GF0000001,2020-08-12 00:00:00,2[電話] 12:22:05      ,GF ,2800.0,2800.0,1400.0,,CUS_00587,1,0.0,0.0,                ,0.0,現金  ,,一般  ,0.0,2800.0,0.0,否 ,[已隱蔽],,
1090814GF0000001,2020-08-14 00:00:00,2[電話] 12:02:02      ,GF ,5350.0,5350.0,1100.0,,CUS_00587,1,0.0,0.0,                ,0.0,現金  ,,一般  ,0.0,5350.0,0.0,否 ,[已隱蔽],,
1090814GF0000002,2020-08-14 00:00:00,2[電話] 12:03:40      ,GF ,6050.0,6050.0,4585.0,,CUS_00587,1,0.0,0.0,                ,0.0,現金  ,,一般  ,0.0,6050.0,0.0,否 ,[已隱蔽],,1.0
1090815GF0000001,2020-08-15 00:00:00,2[電話] 10:50:23      ,GF ,5300.0,5300.0,3200.0,,CUS_00587,1,0.0,0.0,                ,0.0,現金  ,,一般  ,0.0,5300.0,0.0,否 ,[已隱蔽],,1.0
1090817GF0000001,2020-08-17 00:00:00,2[電話] 10:10:35      ,GF ,7600.0,7600.0,4450.0,,CUS_00587,1,0.0,0.0,                ,0.0,現金  ,,一般  ,0.0,7600.0,0.0,否 ,[已隱蔽],,1.0
1090818GF0000001,2020-08-18 00:00:00,2[電話] 14:42:21      ,GF ,5100.0,5100.0,1910.0,,CUS_00587,1,0.0,0.0,                ,0.0,現金  ,,一般  ,0.0,5100.0,0.0,否 ,[已隱蔽],,1.0
1090820GF0000001,2020-08-20 00:00:00,2[電話] 10:03:53      ,GF ,2750.0,2750.0,913.0,,CUS_00587,1,0.0,0.0,                ,0.0,現金  ,,一般  ,0.0,2750.0,0.0,否 ,[已隱蔽],,
1090824GF0000001,2020-08-24 00:00:00,2[電話] 09:52:36      ,GF ,5700.0,5700.0,2251.0,,CUS_00587,1,0.0,0.0,                ,0.0,現金  ,,一般  ,0.0,5700.0,0.0,否 ,[已隱蔽],,
1090824GF0000002,2020-08-24 00:00:00,2[電話] 10:02:00      ,GF ,7739.0,7739.0,2487.3,,CUS_00587,1,0.0,0.0,                ,0.0,現金  ,,一般  ,0.0,7739.0,0.0,否 ,[已隱蔽],,
1090824GF0000003,2020-08-24 00:00:00,2[電話] 15:40:26      ,GF ,1600.0,1600.0,700.0,,CUS_00587,1,0.0,0.0,                ,0.0,現金  ,,一般  ,0.0,1600.0,0.0,否 ,[已隱蔽],,
1090825GF0000001,2020-08-25 00:00:00,2[電話] 09:43:53      ,GF ,1000.0,1000.0,400.0,,CUS_00587,1,0.0,0.0,                ,0.0,現金  ,,一般  ,0.0,1000.0,0.0,否 ,[已隱蔽],,
1090826GF0000001,2020-08-26 00:00:00,2[電話] 15:53:11      ,GF ,3350.0,3350.0,1046.0,,CUS_00587,1,0.0,0.0,                ,0.0,現金  ,,一般  ,0.0,3350.0,0.0,否 ,[已隱蔽],,
1090827GF0000001,2020-08-27 00:00:00,2[電話] 09:43:15      ,GF ,3580.0,3580.0,1140.0,,CUS_00587,1,0.0,0.0,                ,0.0,現金  ,,一般  ,0.0,3580.0,0.0,否 ,[已隱蔽],,1.0
1090828GF0000001,2020-08-28 00:00:00,2[電話] 11:44:53      ,GF ,2780.0,2780.0,1451.0,,CUS_00587,1,0.0,0.0,                ,0.0,現金  ,,一般  ,0.0,2780.0,0.0,否 ,[已隱蔽],,
1090829GF0000001,2020-08-29 00:00:00,2[電話] 10:29:11      ,GF ,3850.0,3850.0,720.0,,CUS_00587,1,0.0,0.0,                ,0.0,現金  ,,一般  ,0.0,3850.0,0.0,否 ,[已隱蔽],,
1090831GF0000001,2020-08-31 00:00:00,2[電話] 10:26:31      ,GF ,1430.0,1430.0,503.0,,CUS_00587,1,0.0,0.0,                ,0.0,現金  ,,一般  ,0.0,1430.0,0.0,否 ,[已隱蔽],,
1090902GF0000001,2020-09-02 00:00:00,2[電話] 10:13:30      ,GF ,6800.0,6800.0,2194.0,,CUS_00587,1,0.0,0.0,                ,0.0,現金  ,,一般  ,0.0,6800.0,0.0,否 ,[已隱蔽],,
1090903GF0000002,2020-09-03 00:00:00,2[電話] 11:42:35      ,GF ,2300.0,2300.0,920.0,,CUS_00587,1,0.0,0.0,                ,0.0,現金  ,,一般  ,0.0,2300.0,0.0,否 ,[已隱蔽],,
1090904GF0000001,2020-09-04 00:00:00,2[電話] 10:03:00      ,GF ,1550.0,1550.0,605.0,,CUS_00587,1,0.0,0.0,                ,0.0,現金  ,,一般  ,0.0,1550.0,0.0,否 ,[已隱蔽],,
1090907GF0000001,2020-09-07 00:00:00,2[電話] 10:18:09      ,GF ,6700.0,6700.0,1950.0,,CUS_00587,1,0.0,0.0,                ,0.0,現金  ,,一般  ,0.0,6700.0,0.0,否 ,[已隱蔽],,
1090917GF0000001,2020-09-17 00:00:00,2[電話] 09:46:32      ,GF ,1985.0,1985.0,675.0,,CUS_00587,1,0.0,0.0,                ,0.0,現金  ,,一般  ,0.0,1985.0,0.0,否 ,[已隱蔽],,
1090908GF0000001,2020-09-08 00:00:00,2[電話] 11:41:02      ,GF ,950.0,950.0,350.0,,CUS_00587,1,0.0,0.0,                ,0.0,現金  ,,一般  ,0.0,950.0,0.0,否 ,[已隱蔽],,
1090909GF0000001,2020-09-09 00:00:00,2[電話] 10:00:17      ,GF ,2638.0,2638.0,1026.0,,CUS_00587,1,0.0,0.0,                ,0.0,現金  ,,一般  ,0.0,2638.0,0.0,否 ,[已隱蔽],,
1090910GF0000001,2020-09-10 00:00:00,2[電話] 15:05:57      ,GF ,800.0,800.0,170.0,,CUS_00587,1,0.0,0.0,                ,0.0,現金  ,,一般  ,0.0,800.0,0.0,否 ,[已隱蔽],,
