casno,prdno,prqty,price,unit,pcost,price2,per,indexs,prdnm
1090811GF0000001,TURBOH11            ,1.0,3000.0,組   ,1200.0,3000.0,100.0,4.0,TURBO H11 LED燈泡                                             
1090811GF0000001,RSENH72HY           ,1.0,500.0,組   ,70.0,500.0,100.0,5.0,RSEN H7陶瓷座                                                  
1090811GF0000001,SAAXR2              ,1.0,300.0,組   ,0.0,300.0,100.0,1.0,奈米魔力膠帶                                                      
1090811GF0000001,EY                  ,1.0,300.0,次   ,0.0,300.0,100.0,6.0,工資                                                          
1090812GF0000001,TST120EUX1          ,1.0,1000.0,組   ,450.0,1000.0,100.0,1.0,TS-T120高音喇叭                                                 
1090812GF0000001,1MT5D               ,1.0,1800.0,組   ,950.0,1800.0,100.0,4.0,白雲防水車罩-D                                                    
1090814GF0000001,UX0GVR              ,1.0,200.0,罐   ,80.0,200.0,100.0,1.0,亞力安水箱精                                                      
1090814GF0000001,ZN5RJV              ,1.0,3600.0,次   ,600.0,3600.0,100.0,2.0,福斯主機維修                                                      
1090814GF0000001,PNSBKF40B           ,1.0,450.0,組   ,0.0,450.0,100.0,3.0,PNS-F404風扇                                                  
1090814GF0000001,KNOSR               ,1.0,600.0,片   ,350.0,600.0,100.0,5.0,KNOS鏡                                                       
1090814GF0000001,HY898               ,1.0,150.0,組   ,70.0,150.0,100.0,6.0,HY-898手煞車護套                                                 
1090814GF0000002,GARMINDRIVE52       ,1.0,4000.0,組   ,3450.0,4000.0,100.0,4.0,GARMIN DRIVE 52導航                                           
1090814GF0000002,GARMIN57JV          ,1.0,1500.0,次   ,940.0,1500.0,100.0,5.0,GARMIN 57維修                                                 
1090814GF0000001,WF0306TW            ,1.0,350.0,組   ,0.0,350.0,100.0,7.0,WF-0306三孔插頭                                                 
1090814GF0000002,PNSTPC001           ,1.0,250.0,組   ,70.0,250.0,100.0,1.0,PNS-TPC001夜光停車牌                                             
1090731GF0000001,17CRV1E2            ,1.0,700.0,組   ,210.0,700.0,100.0,1.0,17CRV長毛避光墊                                                  
1090731GF0000001,SAXO5W50            ,1.0,600.0,罐   ,280.0,600.0,100.0,3.0,SAXO 5W/50機油                                                
1090731GF0000001,VTRXFV              ,1.0,300.0,組   ,120.0,300.0,100.0,4.0,行車記錄器線                                                      
1090731GF0000001,ERJGNTWISTN         ,1.0,3000.0,組   ,2300.0,3000.0,100.0,5.0,鋼甲午士鎖TWIST鎖                                                 
1090804GF0000001,PNSS12              ,1.0,250.0,組   ,120.0,250.0,100.0,9.0,PNS-s12 2合一點煙煙器插孔+2USB3.1A車充                                
1090805GF0000001,ZEROVRMG22G         ,1.0,950.0,支   ,350.0,950.0,100.0,3.0,ZERO矽膠雨刷22吋                                                 
1090805GF0000001,ZEROVRMG24          ,1.0,1130.0,支   ,415.0,1130.0,100.0,4.0,ZERO矽膠雨刷24吋                                                 
1090805GF0000001,J00346              ,1.0,450.0,支   ,130.0,450.0,100.0,5.0,J00346後雨刷 WISH                                              
1090805GF0000001,ERQ602Q             ,2.0,2300.0,各   ,1750.0,2300.0,100.0,6.0,國際牌60電瓶                                                     
1090805GF0000001,ZJTUA               ,1.0,300.0,罐   ,85.0,300.0,100.0,1.0,防霧除油膜                                                       
1090805GF0000001,EY                  ,1.0,300.0,次   ,0.0,300.0,100.0,7.0,工資                                                          
1090805GF0000001,1VNV                ,2.0,20.0,各   ,0.0,20.0,100.0,8.0,保險絲(小)                                                      
1090807GF0000001,AL5003TY-CU         ,2.0,300.0,組   ,150.0,300.0,100.0,6.0,AL-5003車載二合一                                                
1090827GF0000001,C13.12UTY           ,1.0,350.0,組   ,0.0,350.0,100.0,1.0,C-1 3.1USB電壓插頭                                              
1090827GF0000001,KMWTV               ,1.0,200.0,各   ,40.0,200.0,100.0,2.0,鱷魚頭出線                                                       
1090804GF0000001,FY2T2R              ,1.0,2200.0,組   ,1800.0,2200.0,100.0,3.0,全自動電瓶充電器                                                    
1090804GF0000001,17CRV1E2            ,1.0,700.0,組   ,210.0,700.0,100.0,4.0,17CRV長毛避光墊                                                  
1090804GF0000001,SAXO5W50            ,1.0,600.0,罐   ,280.0,600.0,100.0,5.0,SAXO 5W/50機油                                                
1090804GF0000001,VTRXFV              ,1.0,600.0,組   ,120.0,600.0,100.0,6.0,行車記錄器線                                                      
1090807GF0000001,H75RY               ,1.0,250.0,各   ,0.0,250.0,100.0,7.0,H7轉接座                                                       
1090807GF0000001,2QG                 ,1.0,50.0,罐   ,15.0,50.0,100.0,4.0,電瓶水                                                         
1090807GF0000001,SAXO1040            ,1.0,350.0,罐   ,110.0,350.0,100.0,2.0,SAXO 10W/40機油                                               
1090807GF0000001,3D1F1               ,1.0,200.0,支   ,110.0,200.0,100.0,8.0,3D補漆筆                                                       
1090807GF0000001,9212Q               ,1.0,20.0,各   ,0.0,20.0,100.0,9.0,921燈泡                                                       
1090807GF0000001,12VA2-              ,1.0,280.0,各   ,150.0,280.0,100.0,10.0,八大喜美吊耳                                                      
1090808GF0000001,2TVUJE              ,1.0,2500.0,組   ,450.0,2500.0,100.0,1.0,倒車顯影(外掛)                                                    
1090808GF0000001,EXXQUW20            ,1.0,5000.0,組   ,2600.0,5000.0,100.0,2.0,20冠樂拉皮椅套                                                    
1090811GF0000001,GN007J2WV           ,1.0,300.0,隻   ,100.0,300.0,100.0,3.0,GN-007屋頂天線                                                  
1090827GF0000001,2MT                 ,2.0,15.0,各   ,0.0,15.0,100.0,3.0,電源夾(小)                                                      
1090828GF0000001,V81VTRXF            ,1.0,2000.0,組   ,1091.0,2000.0,100.0,3.0,V81行車記錄器雙眼                                                  
1090814GF0000002,3D5U1               ,1.0,300.0,組   ,125.0,300.0,100.0,2.0,3D遮陽板                                                       
1090815GF0000001,TUBRO9005LED        ,1.0,2500.0,組   ,1200.0,2500.0,100.0,3.0,TU[車牌] LED大燈                                            
1090815GF0000001,32G                 ,1.0,500.0,各   ,250.0,500.0,100.0,4.0,32G卡片                                                       
1090815GF0000001,ERQ602Q             ,1.0,2300.0,各   ,1750.0,2300.0,100.0,1.0,國際牌60電瓶                                                     
1090817GF0000001,PNSHXT03            ,1.0,500.0,組   ,250.0,500.0,100.0,1.0,雙風扇儀錶板用12V                                                  
1090817GF0000001,UX0GVR              ,1.0,200.0,罐   ,80.0,200.0,100.0,2.0,亞力安水箱精                                                      
1090817GF0000001,Z2FX1               ,2.0,300.0,組   ,120.0,300.0,100.0,3.0,防盜器喇叭                                                       
1090817GF0000001,PNSHG03             ,1.0,500.0,組   ,20.0,500.0,100.0,4.0,萬用掛勾 後頭枕 無私角                                                
1090817GF0000001,ERQ55D23L2Q         ,1.0,2800.0,各   ,2100.0,2800.0,100.0,5.0,國際牌55D23L電瓶                                                 
1090817GF0000001,WF602Q              ,1.0,2000.0,各   ,1500.0,2000.0,100.0,6.0,湯淺60電瓶                                                      
1090817GF0000001,S28DE               ,1.0,300.0,組   ,0.0,300.0,100.0,7.0,S-28開關                                                      
1090817GF0000001,NOID15GS2           ,2.0,350.0,卡   ,130.0,350.0,100.0,8.0,NOID-01 15 SMD室內燈                                           
1090818GF0000001,PNSS27              ,1.0,450.0,組   ,150.0,450.0,100.0,7.0,PNS-S27QC3.0A*2USB車充                                        
1090818GF0000001,NB5W50TU            ,4.0,600.0,罐   ,280.0,600.0,100.0,8.0,NB 5W/50機油                                                  
1090818GF0000001,SENFINECORU5X       ,1.0,450.0,罐   ,160.0,450.0,100.0,9.0,西德SENFINECO機油止漏劑                                            
1090820GF0000001,ZJTUA               ,1.0,300.0,罐   ,85.0,300.0,100.0,9.0,防霧除油膜                                                       
1090824GF0000001,SF0025              ,1.0,100.0,卡   ,36.0,100.0,100.0,1.0,SF-0025豐田保桿固定扣                                              
1090824GF0000001,RSEB18BEMG          ,1.0,250.0,支   ,90.0,250.0,100.0,2.0,RSEN 軟骨雨刷 18                                                
1090824GF0000001,RSENBEMG20          ,1.0,350.0,支   ,90.0,350.0,100.0,3.0,"RSEN軟骨雨刷 20""                                                "
1090824GF0000001,ZJTUA               ,1.0,300.0,罐   ,85.0,300.0,100.0,4.0,防霧除油膜                                                       
1090824GF0000001,RSEN02F             ,2.0,1000.0,各   ,400.0,1000.0,100.0,5.0,RSEN安定器                                                     
1090824GF0000001,RSENH78000K         ,2.0,500.0,各   ,150.0,500.0,100.0,6.0,RSEN h7 8000K 燈泡                                            
1090824GF0000001,15AY24QFMT          ,1.0,1200.0,組   ,600.0,1200.0,100.0,7.0,15馬自達3(四)晴雨窗                                                
1090824GF0000001,GVXJ                ,1.0,500.0,組   ,250.0,500.0,100.0,8.0,水箱鋁網                                                        
1090824GF0000002,ZV5Q5VTRXF          ,1.0,3400.0,組   ,1400.0,3400.0,100.0,13.0,發現者Q5行車記錄器                                                  
1090824GF0000002,929TX               ,1.0,80.0,罐   ,40.0,80.0,100.0,14.0,929粗蠟                                                       
1090824GF0000002,UX0GVR              ,1.0,200.0,罐   ,80.0,200.0,100.0,15.0,亞力安水箱精                                                      
1090824GF0000002,PS253F25U           ,1.0,200.0,組   ,0.0,200.0,100.0,7.0,PS-253前檔遮陽                                                  
1090824GF0000002,DA0FCW              ,1.0,200.0,組   ,0.0,200.0,100.0,8.0,卡夢安全護套                                                      
1090824GF0000002,HA40VMT             ,1.0,450.0,組   ,0.0,450.0,100.0,9.0,HA-40小魚叉插頭                                                  
1090824GF0000002,GV2Q                ,6.0,10.0,各   ,1.0,10.0,100.0,10.0,雙芯燈泡                                                        
1090824GF0000002,RSEND1S8000K        ,1.0,1800.0,各   ,450.0,1800.0,100.0,11.0,RSEN D1S 8000K燈泡                                            
1090824GF0000002,SAMGR               ,1.0,100.0,罐   ,45.0,100.0,100.0,4.0,奈米雨刷精                                                       
