setm,setd,setvalue
Message     ,001         ,編號不可空白
Message     ,002         ,編號不可重複
Message     ,003         ,查無編號
Message     ,004         ,日期輸入錯誤
Message     ,005         ,單位輸入錯誤
Message     ,006         ,[bmp\]   搜尋不到圖檔
checkdb     ,checkdb     ,inout
footer      ,rep_t3      ,
footer      ,report3     ,
footer      ,report1     ,
footer      ,rep_t1      ,
footer      ,report5     ,
footer      ,monsale     ,
footer      ,sale        ,
footer      ,purc        ,
footer      ,sback       ,
footer      ,pback       ,
footer      ,custout     ,
footer      ,factin      ,
footer      ,adjust      ,
footer      ,factout     ,
footer      ,custin      ,
footer      ,monpurc     ,
footer      ,mpsfy       ,
empls       ,Y00         ,busno;員工編號
empls       ,Y01         ,busnm;員工姓名
empls       ,Y02         ,sex;性別
empls       ,Y03         ,blood;血型
empls       ,Y04         ,lin_k;部門
empls       ,Y05         ,id;身分證字號
empls       ,Y06         ,adrs1;通訊地址
empls       ,Y07         ,adrs2;戶籍地址
empls       ,Y08         ,tel1;電話
empls       ,Y09         ,mobil;手機
empls       ,Y10         ,memo1;備註
empls       ,Y11         ,outdate;離職日期
empls       ,Y12         ,birthday;生日
empls       ,Y13         ,indate;新進日期
empls       ,Y14         ,tax1;健保費
empls       ,Y15         ,lamoney;勞保費
empls       ,Y16         ,minprice;底薪
empls       ,Y17         ,dmoney;日薪
empls       ,Y18         ,wid;勞保證字號
empls       ,Y19         ,email;email
prods       ,Y00         ,prdno;商品編號
prods       ,Y01         ,prdno2;國際條碼
prods       ,Y02         ,prdnm;商品名稱
prods       ,Y03         ,prdtype;商品型態
prods       ,Y04         ,classno;類別編號
prods       ,Y05         ,bunit;庫存單位
prods       ,Y06         ,price;產品售價
prods       ,Y07         ,price3;牌價
prods       ,Y08         ,price4;門市售價
prods       ,Y09         ,qty;庫存量
prods       ,Y10         ,add1;存放地點
prods       ,Y11         ,lastin;最近進貨日
prods       ,Y12         ,lastout;最近銷貨日
prods       ,Y13         ,pcost;成本
prods       ,Y14         ,safeqty;安全存量
prods       ,Y15         ,pmark;商品描述
prods       ,Y16         ,isstock;是否建立庫存
prods       ,Y18         ,tag;tag
prods       ,Y19         ,pria;等級售價A
prods       ,Y20         ,prib;等級售價B
prods       ,Y21         ,pric;等級售價C
prods       ,Y22         ,prid;等級售價D
prods       ,Y23         ,prie;等級售價E
prods       ,Y24         ,pri3a;銷貨牌價折數% A
prods       ,Y25         ,pri3b;銷貨牌價折數% B
prods       ,Y26         ,pri3c;銷貨牌價折數% C
prods       ,Y27         ,pri3d;銷貨牌價折數% D
prods       ,Y28         ,pri3e;銷貨牌價折數% E
prods       ,Y29         ,priia;等級進價A
prods       ,Y30         ,priib;等級進價B
prods       ,Y31         ,priic;等級進價C
prods       ,Y32         ,priid;等級進價D
prods       ,Y33         ,priie;等級進價E
prods       ,Y34         ,prii3a;進價牌價折數% A
prods       ,Y35         ,prii3b;進價牌價折數% B
prods       ,Y36         ,prii3c;進價牌價折數% C
prods       ,Y37         ,prii3d;進價牌價折數% D
prods       ,Y38         ,prii3e;進價牌價折數% E
facts       ,Y00         ,facno;廠商編號
facts       ,Y01         ,facnm;廠商名稱
facts       ,Y02         ,facab;廠商簡稱
facts       ,Y03         ,unifm;統一編號
facts       ,Y04         ,boss;負責人
facts       ,Y05         ,atent;聯絡人
facts       ,Y06         ,latent;收件人
facts       ,Y07         ,tel1;聯絡電話
facts       ,Y08         ,tel2;公司電話
facts       ,Y09         ,fax;傳真
facts       ,Y10         ,mobil;手機
facts       ,Y11         ,adrs1;公司地址
facts       ,Y12         ,email;E-mail
facts       ,Y13         ,settle;結帳日
facts       ,Y14         ,area;郵遞區號
facts       ,Y15         ,note1;備註
facts       ,Y16         ,web;網址
facts       ,Y17         ,adrs2;發票地址
facts       ,Y18         ,tag;tag
facts       ,Y19         ,s_lab;等級
custs       ,Y00         ,cusno;客戶編號
custs       ,Y01         ,cusnm;客戶名稱
custs       ,Y02         ,cusab;客戶簡稱
custs       ,Y03         ,unifm;統一編號
custs       ,Y04         ,birthday;負責人生日
custs       ,Y05         ,boss;負責人
custs       ,Y06         ,atent;聯絡人
custs       ,Y07         ,clatent;收件人
custs       ,Y08         ,busno;業務員編號
custs       ,Y09         ,dusno;送貨員編號
custs       ,Y10         ,tel1;聯絡電話
custs       ,Y11         ,tel2;公司電話
custs       ,Y12         ,fax;傳真
custs       ,Y13         ,mobil;手機
custs       ,Y14         ,note1;備註
custs       ,Y15         ,area;郵遞區號
custs       ,Y16         ,adrs1;公司地址
custs       ,Y17         ,adrs2;送貨地址
custs       ,Y18         ,settle;結帳日
custs       ,Y19         ,email;E-mail
custs       ,Y20         ,kind;客戶類型
custs       ,Y21         ,odate;會員卡有效日期
custs       ,Y22         ,cusamt;信用額度
custs       ,Y23         ,paynote;付款條件
custs       ,Y24         ,busnm;業務員
custs       ,Y25         ,dusnm;送貨員
custs       ,Y26         ,web;網址
custs       ,Y27         ,adrs3;發票地址
custs       ,Y28         ,title;發票抬頭
custs       ,Y29         ,sday;寄單日
custs       ,Y30         ,pday;請款日
custs       ,Y31         ,tag;tag
custs       ,Y32         ,s_lab;等級
