cusno,prdno,stockno,unit,price,pdate,prqty,indexs
CUS_00074,X2G0N               ,GF ,組   ,750.0,2020-09-07 00:00:00,1.0,183.0
CUS_00587,WDR201VTRXF         ,GF ,組   ,0.0,2020-09-07 00:00:00,1.0,184.0
CUS_00254,13ALTISCVN          ,GF ,各   ,600.0,2020-09-07 00:00:00,4.0,187.0
CUS_00254,SENFINECOCUFFVR     ,GF ,罐   ,1000.0,2020-09-07 00:00:00,1.0,187.0
CUS_00254,RWFVR               ,GF ,罐   ,1000.0,2020-09-07 00:00:00,1.0,187.0
CUS_00678,RSEN02F             ,GF ,各   ,700.0,2020-09-09 00:00:00,1.0,191.0
CUS_00678,RSENHID5RF          ,GF ,各   ,300.0,2020-09-09 00:00:00,1.0,191.0
CUS_00697,KY1055LED5A2        ,GF ,各   ,550.0,2020-09-08 00:00:00,1.0,199.0
CUS_00348,RSENX1              ,GF ,組   ,900.0,2020-09-12 00:00:00,1.0,199.0
CUS_00348,GS2LM8005           ,GF ,組   ,800.0,2020-09-12 00:00:00,1.0,199.0
CUS_00254,SENFINECOFURFFVR    ,GF ,罐   ,1000.0,2020-09-21 00:00:00,1.0,249.0
CUS_00587,V81GUVTRXFF         ,GF ,組   ,0.0,2021-05-10 00:00:00,1.0,1311.0
CUS_00587,KY1055LED5A2        ,GF ,各   ,0.0,2021-06-03 00:00:00,1.0,1422.0
CUS_00587,FITDFV              ,GF ,各   ,0.0,2022-01-22 00:00:00,1.0,2425.0
CUS_00587,FITRUV              ,GF ,各   ,0.0,2022-01-22 00:00:00,1.0,2429.0
CUS_00587,MP35CG              ,GF ,組   ,0.0,2022-09-15 00:00:00,1.0,3262.0
CUS_00694,M00128BL            ,GF ,張   ,150.0,2022-11-29 00:00:00,1.0,3543.0
CUS_00587,RSENH76000K         ,GF ,各   ,0.0,2023-08-31 00:00:00,2.0,4474.0
CUS_00587,2MT                 ,GF ,各   ,0.0,2024-01-27 00:00:00,4.0,4901.0
CUS_00587,82VA5MMG            ,GF ,組   ,0.0,2024-03-11 00:00:00,1.0,5042.0
CUS_00587,SF22R               ,GF ,各   ,0.0,2024-04-03 00:00:00,3.0,5112.0
CUS_00587,RSENT104R           ,GF ,組   ,0.0,2025-05-24 00:00:00,1.0,6239.0
CUS_00587,VBDVATX             ,GF ,罐   ,0.0,2025-05-29 00:00:00,1.0,6262.0
CUS_00587,99R1GX              ,GF ,罐   ,0.0,2025-06-18 00:00:00,1.0,6327.0
CUS_00587,A094                ,GF ,條   ,0.0,2025-10-23 00:00:00,1.0,6600.0
CUS_00587,DAYQQWW             ,GF ,組   ,0.0,2025-10-27 00:00:00,1.0,6618.0
CUS_00587,H722                ,GF ,各   ,0.0,2025-10-31 00:00:00,1.0,6630.0
CUS_00587,H11OSARM2Q          ,GF ,各   ,0.0,2025-10-31 00:00:00,2.0,6633.0
CUS_00587,CARGTUV             ,GF ,罐   ,0.0,2025-12-10 00:00:00,1.0,6743.0
CUS_00587,4RR2F               ,GF ,各   ,0.0,2026-01-03 00:00:00,1.0,6798.0
CUS_00587,UX02XZVQU           ,GF ,罐   ,0.0,2026-01-15 00:00:00,1.0,6828.0
