facno,facnm,facab,unifm,boss,atent,latent,tel1,tel2,fax,mobil,adrs1,adrs2,email,web,note1,settle,area,transsubid,tag,s_lab
FAC_00066,[已隱蔽],[已隱蔽],[已隱蔽],[已隱蔽],        ,,[已隱蔽],,[已隱蔽],[已隱蔽],[已隱蔽],[已隱蔽],,,[已隱蔽],25.0,,,, 
FAC_00036,[已隱蔽],[已隱蔽],,[已隱蔽],,,[已隱蔽],,,[已隱蔽],[已隱蔽],[已隱蔽],,,,16.0,,,, 
FAC_00061,[已隱蔽],[已隱蔽],[已隱蔽],[已隱蔽],,,[已隱蔽],,[已隱蔽],[已隱蔽],[已隱蔽],[已隱蔽],,,,25.0,,,, 
FAC_00018,[已隱蔽],[已隱蔽],,,[已隱蔽],,[已隱蔽],[已隱蔽],,[已隱蔽],[已隱蔽],[已隱蔽],,,,25.0,,,, 
FAC_00026,[已隱蔽],[已隱蔽],,,[已隱蔽],,[已隱蔽],,,,[已隱蔽],[已隱蔽],,,,25.0,,,, 
FAC_00016,[已隱蔽],[已隱蔽],,,,,[已隱蔽],,,,[已隱蔽],[已隱蔽],,,,25.0,,,, 
FAC_00043,[已隱蔽],[已隱蔽],,,,,,[已隱蔽],,,[已隱蔽],[已隱蔽],,,,25.0,,,, 
FAC_00014,[已隱蔽],[已隱蔽],,,,,,[已隱蔽],,,,,,,,25.0,,,, 
FAC_00004,[已隱蔽],[已隱蔽],[已隱蔽],[已隱蔽],,,[已隱蔽],,,[已隱蔽],[已隱蔽],[已隱蔽],,,,25.0,,,, 
FAC_00003,[已隱蔽],[已隱蔽],                    ,[已隱蔽],,,[已隱蔽],,[已隱蔽],[已隱蔽],[已隱蔽],[已隱蔽],,,,25.0,,,, 
FAC_00064,[已隱蔽],[已隱蔽],[已隱蔽],[已隱蔽],,,[已隱蔽],[已隱蔽],[已隱蔽],,[已隱蔽],[已隱蔽],,,[已隱蔽],25.0,,,, 
FAC_00024,[已隱蔽],[已隱蔽],[已隱蔽],[已隱蔽],,,[已隱蔽],,,[已隱蔽],[已隱蔽],[已隱蔽],,,[已隱蔽],25.0,,,, 
FAC_00025,[已隱蔽],[已隱蔽],[已隱蔽],,[已隱蔽],,[已隱蔽],,[已隱蔽],[已隱蔽],[已隱蔽],[已隱蔽],,,,25.0,,,, 
FAC_00040,[已隱蔽],[已隱蔽],,,,,[已隱蔽],,[已隱蔽],,[已隱蔽],[已隱蔽],,,[已隱蔽],25.0,,,, 
FAC_00047,[已隱蔽],[已隱蔽],,[已隱蔽],,,,,,[已隱蔽],[已隱蔽],[已隱蔽],,,,25.0,,,, 
FAC_00039,[已隱蔽],[已隱蔽],,,[已隱蔽],,[已隱蔽],,,,[已隱蔽],[已隱蔽],,,,25.0,,,, 
FAC_00038,[已隱蔽],[已隱蔽],,[已隱蔽],,,[已隱蔽],,,[已隱蔽],[已隱蔽],[已隱蔽],,,[已隱蔽],25.0,,,, 
FAC_00045,[已隱蔽],[已隱蔽],,,,,[已隱蔽],,,,[已隱蔽],[已隱蔽],,,,25.0,,,, 
FAC_00015,[已隱蔽],[已隱蔽],,[已隱蔽],,,[已隱蔽],[已隱蔽],,[已隱蔽],[已隱蔽],[已隱蔽],,,,25.0,,,, 
FAC_00053,[已隱蔽],[已隱蔽],,[已隱蔽],,,[已隱蔽],,,[已隱蔽],[已隱蔽],[已隱蔽],,,,25.0,,,, 
FAC_00010,[已隱蔽],[已隱蔽],,,[已隱蔽],,[已隱蔽],,,[已隱蔽],[已隱蔽],[已隱蔽],,,,25.0,,,, 
FAC_00060,[已隱蔽],[已隱蔽],,,,,[已隱蔽],,,[已隱蔽],[已隱蔽],[已隱蔽],,,,25.0,,,, 
FAC_00023,[已隱蔽],[已隱蔽],,,,,,[已隱蔽],,[已隱蔽],[已隱蔽],[已隱蔽],,,,25.0,,,, 
FAC_00051,[已隱蔽],[已隱蔽],,,,,,,,,,,,,,25.0,,,, 
FAC_00020,[已隱蔽],[已隱蔽],,,,,,,,,,,,,,31.0,,,, 
FAC_00029,[已隱蔽],[已隱蔽],,[已隱蔽],,,[已隱蔽],[已隱蔽],,[已隱蔽],[已隱蔽],[已隱蔽],,,,31.0,,,, 
FAC_00044,[已隱蔽],[已隱蔽],,,[已隱蔽],,,[已隱蔽],,[已隱蔽],[已隱蔽],[已隱蔽],,,,31.0,,,, 
FAC_00035,[已隱蔽],[已隱蔽],,,[已隱蔽],,[已隱蔽],,,,[已隱蔽],[已隱蔽],,,,31.0,,,, 
FAC_00028,[已隱蔽],[已隱蔽],,,,,[已隱蔽],,[已隱蔽],,[已隱蔽],[已隱蔽],,,,31.0,,,, 
FAC_00057,[已隱蔽],[已隱蔽],,,,,[已隱蔽],[已隱蔽],[已隱蔽],,[已隱蔽],[已隱蔽],,,,31.0,,,, 
FAC_00032,[已隱蔽],[已隱蔽],[已隱蔽],,,,[已隱蔽],,,[已隱蔽],[已隱蔽],[已隱蔽],,,,31.0,,,, 
FAC_00048,[已隱蔽],[已隱蔽],[已隱蔽],[已隱蔽],,,                ,[已隱蔽],,,[已隱蔽],[已隱蔽],,,,31.0,,,, 
FAC_00031,[已隱蔽],[已隱蔽],[已隱蔽],,,,[已隱蔽],,[已隱蔽],,[已隱蔽],[已隱蔽],,,,31.0,,,, 
FAC_00027,[已隱蔽],[已隱蔽],,,,,[已隱蔽],,[已隱蔽],,[已隱蔽],[已隱蔽],,,,31.0,,,, 
FAC_00033,[已隱蔽],[已隱蔽],,,[已隱蔽],,[已隱蔽],[已隱蔽],,,[已隱蔽],[已隱蔽],,,,31.0,,,, 
FAC_00054,[已隱蔽],[已隱蔽],,,,,,,,,,,,,,31.0,,,, 
FAC_00006,[已隱蔽],[已隱蔽],,[已隱蔽],,,[已隱蔽],[已隱蔽],[已隱蔽],,[已隱蔽],[已隱蔽],,,,31.0,,,, 
FAC_00062,[已隱蔽],[已隱蔽],,,[已隱蔽],,,,,[已隱蔽],,,,,,31.0,,,, 
FAC_00019,[已隱蔽],[已隱蔽],,,,,[已隱蔽],[已隱蔽],,,[已隱蔽],[已隱蔽],,,,31.0,,,, 
FAC_00049,[已隱蔽],[已隱蔽],,,,,[已隱蔽],,,[已隱蔽],[已隱蔽],[已隱蔽],,,,31.0,,,, 
FAC_00052,[已隱蔽],[已隱蔽],,,,,,[已隱蔽],,[已隱蔽],,,,,,31.0,,,, 
FAC_00037,[已隱蔽],[已隱蔽],,,,,,,,,,,,,,31.0,,,, 
FAC_00063,[已隱蔽],[已隱蔽],,[已隱蔽],,,[已隱蔽],,[已隱蔽],,[已隱蔽],[已隱蔽],,,,31.0,,,, 
FAC_00059,[已隱蔽],[已隱蔽],,,,,,,,[已隱蔽],,,,,,31.0,,,, 
FAC_00009,[已隱蔽],[已隱蔽],,,,,,,,,,,,,,31.0,,,, 
FAC_00065,[已隱蔽],[已隱蔽],,,,,,,,,,,,,,31.0,,,, 
FAC_00008,[已隱蔽],[已隱蔽],,,,,,,,,,,,,,31.0,,,, 
FAC_00011,[已隱蔽],[已隱蔽],,,,,,[已隱蔽],,[已隱蔽],[已隱蔽],[已隱蔽],,,,31.0,,,, 
FAC_00021,[已隱蔽],[已隱蔽],[已隱蔽],,,,[已隱蔽],[已隱蔽],[已隱蔽],,[已隱蔽],[已隱蔽],,,,31.0,,,, 
FAC_00034,[已隱蔽],[已隱蔽],,,,,,,,,,,,,,31.0,,,, 
FAC_00007,[已隱蔽],[已隱蔽],,[已隱蔽],,,,[已隱蔽],,,[已隱蔽],[已隱蔽],,,,31.0,,,, 
