facno,prdno,stockno,unit,price,pdate,prqty,indexs
FAC_00043,PNSS25              ,A  ,組   ,170.0,2020-07-31 00:00:00,3.0,0.0
FAC_00043,PNSHG03             ,A  ,組   ,20.0,2020-07-31 00:00:00,3.0,0.0
FAC_00043,504                 ,A  ,組   ,150.0,2020-07-31 00:00:00,2.0,0.0
FAC_00043,PNSSUN001           ,A  ,組   ,160.0,2020-07-31 00:00:00,1.0,0.0
FAC_00043,PNSSUN007           ,A  ,組   ,90.0,2020-07-31 00:00:00,2.0,0.0
FAC_00043,PNS07HD69           ,A  ,組   ,100.0,2020-07-31 00:00:00,2.0,0.0
FAC_00036,WF602Q              ,A  ,各   ,1500.0,2020-07-31 00:00:00,2.0,0.0
FAC_00061,19RAV4QCE           ,A  ,組   ,2600.0,2020-07-31 00:00:00,1.0,0.0
FAC_00066,YI280ZVR            ,GF ,組   ,160.0,2020-07-31 00:00:00,2.0,0.0
FAC_00026,EXXQUW20            ,GF ,組   ,2600.0,2020-08-04 00:00:00,1.0,0.0
FAC_00003,ERJGNTWISTN         ,GF ,組   ,2375.0,2020-08-05 00:00:00,2.0,0.0
FAC_00061,CLA250FQCE          ,GF ,組   ,3500.0,2020-08-06 00:00:00,1.0,0.0
FAC_00064,FA005               ,GF ,各   ,90.0,2020-08-06 00:00:00,2.0,0.0
FAC_00014,VTRXF2MV            ,GF ,組   ,150.0,2020-06-26 00:00:00,6.0,0.0
FAC_00018,V81VTRXF            ,A  ,組   ,1091.0,2020-07-31 00:00:00,17.0,0.0
FAC_00064,CHY1688             ,GF ,組   ,450.0,2020-03-04 00:00:00,2.0,0.0
FAC_00014,LD7CRW              ,GF ,組   ,1000.0,2021-02-26 00:00:00,1.0,0.0
FAC_00014,LD9VTRXF            ,GF ,組   ,3000.0,2021-12-26 00:00:00,2.0,0.0
FAC_00066,ZV5Q5VTRXF          ,GF ,組   ,1400.0,2021-12-26 00:00:00,2.0,0.0
FAC_00064,ABRO2QR             ,GF ,罐   ,75.0,2022-01-07 00:00:00,3.0,0.0
FAC_00064,HK800JGX1           ,GF ,組   ,190.0,2022-01-18 00:00:00,3.0,0.0
FAC_00066,NOID0118SND         ,GF ,組   ,150.0,2022-06-27 00:00:00,3.0,0.0
FAC_00023,MTVGJ2TXW           ,GF ,組   ,1050.0,2020-07-17 00:00:00,2.0,0.0
FAC_00023,2TXWMTNU            ,GF ,組   ,1050.0,2020-07-17 00:00:00,1.0,0.0
FAC_00066,UX0GVR              ,GF ,罐   ,80.0,2023-03-27 00:00:00,24.0,0.0
FAC_00006,MISSIONYQU          ,GF ,罐   ,95.8,2023-11-03 00:00:00,24.0,0.0
FAC_00066,2TVUSD              ,GF ,組   ,450.0,2024-02-01 00:00:00,2.0,0.0
FAC_00014,LD72UVTRXF          ,GF ,組   ,1500.0,2024-07-31 00:00:00,2.0,0.0
FAC_00066,NOID24GS2           ,GF ,組   ,200.0,2025-05-05 00:00:00,2.0,0.0
FAC_00064,HK906               ,GF ,組   ,280.0,2025-06-19 00:00:00,2.0,0.0
FAC_00064,HK916               ,GF ,組   ,300.0,2025-06-19 00:00:00,2.0,0.0
FAC_00066,UZ2ES5JR            ,GF ,組   ,80.0,2025-07-26 00:00:00,2.0,0.0
FAC_00036,ERQ602Q             ,GF ,各   ,1900.0,2025-08-18 00:00:00,2.0,0.0
FAC_00066,2TVUJE              ,GF ,組   ,450.0,2025-12-03 00:00:00,2.0,0.0
FAC_00016,ZN5RJV              ,GF ,次   ,600.0,2020-08-10 00:00:00,1.0,0.0
FAC_00036,WF602Q              ,GF ,各   ,1600.0,2026-03-10 00:00:00,2.0,0.0
FAC_00024,J00348              ,GF ,支   ,130.0,2020-04-24 00:00:00,1.0,0.0
FAC_00043,PNSS15              ,GF ,組   ,90.0,2020-04-29 00:00:00,1.0,0.0
FAC_00043,PNSMR02             ,GF ,組   ,70.0,2020-04-29 00:00:00,2.0,0.0
FAC_00043,PNSMR01             ,GF ,組   ,60.0,2020-04-29 00:00:00,2.0,0.0
FAC_00043,MR004               ,GF ,組   ,180.0,2020-04-29 00:00:00,2.0,0.0
FAC_00043,PNSHD05             ,GF ,組   ,120.0,2020-05-05 00:00:00,2.0,0.0
FAC_00043,PNSCDZX01           ,GF ,組   ,200.0,2020-05-12 00:00:00,6.0,0.0
FAC_00043,PNSDT001            ,GF ,組   ,160.0,2020-08-19 00:00:00,4.0,0.0
FAC_00023,KMWTV               ,GF ,各   ,40.0,2021-02-02 00:00:00,6.0,0.0
FAC_00015,12VA2-              ,GF ,各   ,150.0,2021-02-09 00:00:00,1.0,0.0
FAC_00043,PNSFB001            ,GF ,組   ,520.0,2021-04-26 00:00:00,2.0,0.0
FAC_00043,PNSSW001            ,GF ,條   ,164.0,2021-04-26 00:00:00,11.0,0.0
FAC_00043,PNSPM001            ,GF ,組   ,65.0,2021-05-26 00:00:00,2.0,0.0
FAC_00025,GARMINDRIVE52       ,GF ,組   ,3450.0,2021-10-22 00:00:00,2.0,0.0
