facno,stockno,ovfprice,odrprice
FAC_00024,GF ,0.0,6400.0
FAC_00060,GF ,32950651.0,5700.0
FAC_00064,GF ,1108491450.0,11830.0
FAC_00066,GF ,1373065275.0,3450.0
FAC_00047,GF ,186300.0,53300.0
FAC_00004,GF ,0.0,12000.0
FAC_00026,GF ,0.0,2600.0
FAC_00018,GF ,0.0,24600.0
FAC_00043,GF ,74117635.0,5705.0
FAC_00029,GF ,37198330.0,3947.0
FAC_00028,GF ,0.0,149710.0
FAC_00010,GF ,38804228.0,9480.0
FAC_00036,GF ,1202447682.0,9898.0
FAC_00057,GF ,0.0,11385.0
FAC_00040,GF ,0.0,0.0
FAC_00054,GF ,0.0,20000.0
FAC_00053,GF ,0.0,1600.0
FAC_00038,GF ,1360.0,0.0
FAC_00006,GF ,2.0,0.0
FAC_00014,GF ,1500.0,0.0
FAC_00065,GF ,0.0,3000.0
FAC_00023,GF ,129545307.0,0.0
FAC_00008,GF ,0.0,26500.0
FAC_00019,GF ,113283294.0,0.0
FAC_00044,GF ,2.0,0.0
FAC_00035,GF ,1200.0,0.0
FAC_00003,GF ,0.0,0.0
FAC_00050,GF ,7200.0,23000.0
FAC_00021,GF ,5.0,0.0
