pbkno,pbdate,stockno,facno,note1,tot,setday,anote,toacc
109[車牌][電話],2020-07-29 00:00:00,GF ,FAC_00066,                                                  ,5980.0,202008,,
109[車牌][電話],2020-08-19 00:00:00,GF ,FAC_00043,                                                  ,250.0,202008,,
109[車牌][電話],2020-08-24 00:00:00,GF ,FAC_00066,                                                  ,610.0,202008,,
109[車牌][電話],2020-08-31 00:00:00,GF ,FAC_00023,                                                  ,450.0,202009,,
109[車牌][電話],2020-09-08 00:00:00,GF ,FAC_00066,                                                  ,695.0,202009,,
109[車牌][電話],2020-09-08 00:00:00,GF ,FAC_00010,                                                  ,0.0,202009,,
109[車牌][電話],2020-10-20 00:00:00,GF ,FAC_00066,                                                  ,430.0,202010,,
109[車牌][電話],2020-10-20 00:00:00,GF ,FAC_00066,                                                  ,3780.0,202010,,
109[車牌][電話],2020-10-27 00:00:00,GF ,FAC_00043,                                                  ,1050.0,202011,,
109[車牌][電話],2020-11-17 00:00:00,GF ,FAC_00043,                                                  ,120.0,202011,,
109[車牌][電話],2020-11-19 00:00:00,GF ,FAC_00066,                                                  ,340.0,202011,,
109[車牌][電話],2020-12-03 00:00:00,GF ,FAC_00060,                                                  ,390.0,202012,,
109[車牌][電話],2020-12-21 00:00:00,GF ,FAC_00066,                                                  ,850.0,202012,,
110[車牌][電話],2021-01-12 00:00:00,GF ,FAC_00043,                                                  ,640.0,202101,,
110[車牌][電話],2021-01-12 00:00:00,GF ,FAC_00043,                                                  ,1850.0,202101,,
110[車牌][電話],2021-01-19 00:00:00,GF ,FAC_00066,                                                  ,4250.0,202101,,
110[車牌][電話],2021-02-22 00:00:00,GF ,FAC_00066,                                                  ,1835.0,202102,,
110[車牌][電話],2021-02-22 00:00:00,GF ,FAC_00064,                                                  ,1544.0,202102,,
110[車牌][電話],2021-03-09 00:00:00,GF ,FAC_00043,                                                  ,120.0,202103,,
110[車牌][電話],2021-03-22 00:00:00,GF ,FAC_00066,                                                  ,335.0,202103,,
110[車牌][電話],2021-05-22 00:00:00,GF ,FAC_00066,                                                  ,2530.0,202105,,
110[車牌][電話],2021-05-25 00:00:00,GF ,FAC_00043,                                                  ,240.0,202105,,
110[車牌][電話],2021-06-16 00:00:00,GF ,FAC_00043,                                                  ,540.0,202106,,
110[車牌][電話],2021-06-26 00:00:00,GF ,FAC_00023,                                                  ,2000.0,202107,,
110[車牌][電話],2021-04-19 00:00:00,GF ,FAC_00043,                                                  ,1090.0,202104,,
110[車牌][電話],2021-06-28 00:00:00,GF ,FAC_00043,                                                  ,260.0,202107,,
110[車牌][電話],2021-07-13 00:00:00,GF ,FAC_00010,                                                  ,5990.0,202107,,
110[車牌][電話],2021-07-19 00:00:00,GF ,FAC_00066,                                                  ,3345.0,202107,,
110[車牌][電話],2021-08-18 00:00:00,GF ,FAC_00060,                                                  ,240.0,202108,,
110[車牌][電話],2021-09-11 00:00:00,GF ,FAC_00029,                                                  ,575.0,202109,,
110[車牌][電話],2021-09-23 00:00:00,GF ,FAC_00024,                                                  ,415.0,202109,,
110[車牌][電話],2021-09-23 00:00:00,GF ,FAC_00066,                                                  ,1270.0,202109,,
110[車牌][電話],2021-09-30 00:00:00,GF ,FAC_00024,                                                  ,1700.0,202110,,
110[車牌][電話],2021-10-20 00:00:00,GF ,FAC_00066,                                                  ,1830.0,202110,,
110[車牌][電話],2021-11-18 00:00:00,GF ,FAC_00010,                                                  ,1350.0,202111,,
110[車牌][電話],2021-11-22 00:00:00,GF ,FAC_00066,                                                  ,1640.0,202111,,
110[車牌][電話],2021-11-25 00:00:00,GF ,FAC_00064,                                                  ,200.0,202111,,
110[車牌][電話],2021-12-03 00:00:00,GF ,FAC_00043,                                                  ,560.0,202112,,
110[車牌][電話],2021-12-22 00:00:00,GF ,FAC_00066,                                                  ,2340.0,202112,,
110[車牌][電話],2021-12-22 00:00:00,GF ,FAC_00060,                                                  ,545.0,202112,,
111[車牌][電話],2022-01-25 00:00:00,GF ,FAC_00066,                                                  ,685.0,202201,,
111[車牌][電話],2022-02-21 00:00:00,GF ,FAC_00066,                                                  ,1070.0,202202,,
111[車牌][電話],2022-03-15 00:00:00,GF ,FAC_00043,                                                  ,520.0,202203,,
111[車牌][電話],2022-03-24 00:00:00,GF ,FAC_00066,                                                  ,1795.0,202203,,
111[車牌][電話],2022-04-18 00:00:00,GF ,FAC_00066,                                                  ,730.0,202204,,
111[車牌][電話],2022-04-25 00:00:00,GF ,FAC_00066,                                                  ,335.0,202204,,
111[車牌][電話],2022-05-25 00:00:00,GF ,FAC_00066,                                                  ,670.0,202205,,
111[車牌][電話],2022-05-25 00:00:00,GF ,FAC_00043,                                                  ,660.0,202205,,
111[車牌][電話],2022-06-21 00:00:00,GF ,FAC_00066,                                                  ,2380.0,202206,,
111[車牌][電話],2022-06-21 00:00:00,GF ,FAC_00060,                                                  ,462.0,202206,,
111[車牌][電話],2022-07-19 00:00:00,GF ,FAC_00066,                                                  ,2400.0,202207,,
111[車牌][電話],2022-08-25 00:00:00,GF ,FAC_00032,                                                  ,1840.0,202208,,
111[車牌][電話],2022-09-01 00:00:00,GF ,FAC_00024,                                                  ,1445.0,202209,,
111[車牌][電話],2022-09-20 00:00:00,GF ,FAC_00066,                                                  ,600.0,202209,,
111[車牌][電話],2022-11-21 00:00:00,GF ,FAC_00066,                                                  ,2460.0,202211,,
111[車牌][電話],2022-11-29 00:00:00,GF ,FAC_00043,                                                  ,1121.8,202212,,
112[車牌][電話],2023-03-07 00:00:00,GF ,FAC_00043,                                                  ,520.0,202303,,
112[車牌][電話],2023-03-09 00:00:00,GF ,FAC_00029,                                                  ,105.0,202303,,
112[車牌][電話],2023-03-25 00:00:00,GF ,FAC_00032,                                                  ,1280.0,202303,,
112[車牌][電話],2023-04-07 00:00:00,GF ,FAC_00043,                                                  ,790.0,202304,,
112[車牌][電話],2023-04-24 00:00:00,GF ,FAC_00066,                                                  ,3500.0,202304,,
112[車牌][電話],2023-05-09 00:00:00,GF ,FAC_00043,                                                  ,1560.0,202305,,
112[車牌][電話],2023-05-18 00:00:00,GF ,FAC_00066,                                                  ,860.0,202305,,
112[車牌][電話],2023-05-30 00:00:00,GF ,FAC_00043,                                                  ,130.0,202306,,
112[車牌][電話],2023-06-08 00:00:00,GF ,FAC_00043,                                                  ,100.0,202306,,
112[車牌][電話],2023-07-26 00:00:00,GF ,FAC_00023,                                                  ,960.0,202308,,
112[車牌][電話],2023-07-28 00:00:00,GF ,FAC_00023,                                                  ,750.0,202308,,
112[車牌][電話],2023-08-22 00:00:00,GF ,FAC_00043,                                                  ,180.0,202308,,
112[車牌][電話],2023-09-20 00:00:00,GF ,FAC_00066,                                                  ,5120.0,202309,,
112[車牌][電話],2023-10-17 00:00:00,GF ,FAC_00023,                                                  ,800.0,202310,,
112[車牌][電話],2023-10-30 00:00:00,GF ,FAC_00010,                                                  ,590.0,202311,,
112[車牌][電話],2023-11-22 00:00:00,GF ,FAC_00066,                                                  ,280.0,202311,,
112[車牌][電話],2023-11-27 00:00:00,GF ,FAC_00043,                                                  ,640.0,202312,,
112[車牌][電話],2023-12-21 00:00:00,GF ,FAC_00066,                                                  ,220.0,202312,,
113[車牌][電話],2024-01-24 00:00:00,GF ,FAC_00010,                                                  ,380.0,202401,,
113[車牌][電話],2024-01-24 00:00:00,GF ,FAC_00066,[已隱蔽],3090.0,202401,,
113[車牌][電話],2024-02-16 00:00:00,GF ,FAC_00010,                                                  ,380.0,202402,,
113[車牌][電話],2024-02-19 00:00:00,GF ,FAC_00066,                                                  ,730.0,202402,,
