purno,pdate,stockno,facno,setday,tot,ttot,wno,smoney,Tprice,price,note1,anote,fnew,toacc
1090409GF0000001,2020-04-09 00:00:00,GF ,FAC_00014,202004,10400.0,10400.0,,0.0,10400.0,10400.0,,,,
1091015GF0000001,2020-10-15 00:00:00,GF ,FAC_00045,202010,250.0,250.0,,0.0,250.0,250.0,,,,
1091015GF0000002,2020-10-15 00:00:00,GF ,FAC_00015,202010,2600.0,2600.0,,0.0,2600.0,2600.0,,,,
1091015GF0000003,2020-10-15 00:00:00,GF ,FAC_00014,202010,4200.0,4200.0,,0.0,4200.0,4200.0,,,,
1091020GF0000001,2020-10-20 00:00:00,GF ,FAC_00057,202010,3050.0,3050.0,,0.0,3050.0,3050.0,,,,
1091019GF0000001,2020-10-19 00:00:00,GF ,FAC_00045,202010,0.0,0.0,,0.0,0.0,0.0,,,,
1091026GF0000001,2020-10-26 00:00:00,GF ,FAC_00064,202011,7402.0,7402.0,,0.0,7402.0,7402.0,,,,
1091021GF0000002,2020-10-21 00:00:00,GF ,FAC_00053,202010,700.0,700.0,,0.0,700.0,700.0,,,,
1091026GF0000002,2020-10-26 00:00:00,GF ,FAC_00066,202011,9860.0,9860.0,,0.0,9860.0,9860.0,,,,
1090626GF0000003,2020-06-26 00:00:00,GF ,FAC_00018,202007,3100.0,3100.0,,0.0,3100.0,3100.0,,,,
1091026GF0000003,2020-10-26 00:00:00,GF ,FAC_00024,202011,1080.0,1080.0,,0.0,1080.0,1080.0,,,,
1091027GF0000001,2020-10-27 00:00:00,GF ,FAC_00032,202010,3888.0,3888.0,,0.0,3888.0,3888.0,,,,
1091027GF0000002,2020-10-27 00:00:00,GF ,FAC_00043,202011,2159.1,2159.0,,0.0,2159.0,2159.0,,,,
1091027GF0000003,2020-10-27 00:00:00,GF ,FAC_00057,202010,1300.0,1300.0,,0.0,1300.0,1300.0,,,,
1091014GF0000001,2020-10-14 00:00:00,GF ,FAC_00066,202010,4900.0,4900.0,,0.0,4900.0,4900.0,,,,
1090731A00000001,2020-07-31 00:00:00,A  ,FAC_00043,202007,1410.0,1410.0,,0.0,1410.0,1410.0,,,,
1090731A00000002,2020-07-31 00:00:00,A  ,FAC_00018,202007,24547.0,24547.0,,0.0,24547.0,24547.0,,,,
1090731A00000003,2020-07-31 00:00:00,A  ,FAC_00036,202008,3000.0,3000.0,,0.0,3000.0,3000.0,,,,
1090731A00000004,2020-07-31 00:00:00,A  ,FAC_00061,202008,2600.0,2600.0,,0.0,2600.0,2600.0,,,,
1090731GF0000001,2020-07-31 00:00:00,GF ,FAC_00066,202008,9390.0,9390.0,,0.0,9390.0,9390.0,,,,
1090726GF0000001,2020-07-26 00:00:00,GF ,FAC_00014,191209,9200.0,9200.0,,0.0,9200.0,9200.0,,,,
1090707GF0000001,2020-07-07 00:00:00,GF ,FAC_00014,202007,1500.0,1500.0,,0.0,1500.0,1500.0,,,,
1090804GF0000001,2020-08-04 00:00:00,GF ,FAC_00053,202008,350.0,350.0,,0.0,350.0,350.0,,,,
1090804GF0000002,2020-08-04 00:00:00,GF ,FAC_00026,202008,2600.0,2600.0,,0.0,2600.0,2600.0,,,,
1090805GF0000001,2020-08-05 00:00:00,GF ,FAC_00036,202008,3250.0,3250.0,,0.0,3250.0,3250.0,,,,
1090805GF0000002,2020-08-05 00:00:00,GF ,FAC_00003,202008,4750.0,4750.0,,0.0,4750.0,4750.0,,,,
1090806GF0000001,2020-08-06 00:00:00,GF ,FAC_00061,202008,3500.0,3500.0,,0.0,3500.0,3500.0,,,,
1090807GF0000001,2020-08-07 00:00:00,GF ,FAC_00015,202008,150.0,150.0,,0.0,150.0,150.0,,,,
1090601GF0000001,2020-06-01 00:00:00,GF ,FAC_00023,202006,3720.0,3720.0,,0.0,3720.0,3720.0,,,,
1110114GF0000002,2022-01-14 00:00:00,GF ,FAC_00023,202201,650.0,650.0,,0.0,650.0,650.0,,,,
1090717GF0000002,2020-07-17 00:00:00,GF ,FAC_00023,202007,3150.0,3150.0,,0.0,3150.0,3150.0,,,,
1090803GF0000001,2020-08-03 00:00:00,GF ,FAC_00066,202008,0.0,0.0,,0.0,0.0,0.0,,,,
1090723GF0000001,2020-07-23 00:00:00,GF ,FAC_00025,202007,6900.0,6900.0,,0.0,6900.0,6900.0,,,,
1090810GF0000001,2020-08-10 00:00:00,GF ,FAC_00016,202008,600.0,600.0,,0.0,600.0,600.0,,,,
1090331GF0000001,2020-03-31 00:00:00,GF ,FAC_00043,202004,1270.0,1270.0,,0.0,1270.0,1270.0,,,,
