purno,prdno,prqty,price,unit,repno,note1,rept4index,indexs,prdnm
1090731A00000001,PNSHG03             ,3.0,20.0,組   ,,,,1.0,萬用掛勾 後頭枕 無私角                                                
1090731A00000001,PNS07HD69           ,2.0,100.0,組   ,,,,2.0,9吋手機平板架                                                     
1090731A00000001,PNSS25              ,3.0,170.0,組   ,,,,3.0,大功率三孔插座四USB4.8A                                             
1090731A00000001,504                 ,2.0,150.0,組   ,,,,4.0,3.5吋風扇手持/車用夾                                                
1090731A00000001,PNSSUN001           ,1.0,160.0,組   ,,,,5.0,DIY汽車兩用防眩遮陽鏡                                                
1090731A00000001,PNSSUN007           ,2.0,90.0,組   ,,,,6.0,車窗遮陽防蚊罩                                                     
1090731A00000002,V81VTRXF            ,17.0,1091.0,組   ,,,,1.0,V81行車記錄器雙眼                                                  
1090731A00000003,WF602Q              ,2.0,1500.0,各   ,,,,1.0,湯淺60電瓶                                                      
1090731A00000004,19RAV4QCE           ,1.0,2600.0,組   ,,,,1.0,19RAV4平衡桿                                                   
1090731GF0000001,2TVUJE              ,2.0,450.0,組   ,,,,1.0,倒車顯影(外掛)                                                    
1090731GF0000001,2TVUSD              ,2.0,450.0,組   ,,,,2.0,倒車顯影(內砍)                                                    
1090731GF0000001,UX0GVR              ,6.0,80.0,罐   ,,,,3.0,亞力安水箱精                                                      
1090731GF0000001,ZV5Q5VTRXF          ,2.0,1400.0,組   ,,,,4.0,發現者Q5行車記錄器                                                  
1090731GF0000001,YI280ZVR            ,2.0,160.0,組   ,,,,5.0,YI-280光學UV防眩鏡                                               
1090731GF0000001,UZ2ES5JR            ,1.0,80.0,組   ,,,,6.0,椅縫多功能飲料置物架                                                  
1090731GF0000001,NOID0118SND         ,1.0,150.0,組   ,,,,7.0,NOID-01 18 SMD室內燈                                           
1090731GF0000001,NOID24GS2           ,2.0,200.0,組   ,,,,8.0,NOID-01 24SMD室內燈                                            
1090731GF0000001,SAXO5W50            ,12.0,280.0,罐   ,,,,9.0,SAXO 5W/50機油                                                
1090726GF0000001,LD72UVTRXF          ,1.0,1500.0,組   ,,,,1.0,LD-7單眼行車記錄器                                                 
1090726GF0000001,LD7GVVTRXF          ,1.0,2100.0,組   ,,,,2.0,LD-7雙眼行車記錄器                                                 
1090726GF0000001,LD9VTRXF            ,2.0,2800.0,組   ,,,,3.0,LD-9電子式行車記錄器                                                
1090807GF0000001,12VA2-              ,1.0,150.0,各   ,,,,1.0,八大喜美吊耳                                                      
1090717GF0000002,MTVGJ2TXW           ,2.0,1050.0,組   ,,,,1.0,原廠型數位倒車雷達16.5MM(四眼)                                         
1090717GF0000002,2TXWMTNU            ,1.0,1050.0,組   ,,,,2.0,原廠型倒車雷達16.5mm(四眼)                                           
1090601GF0000001,WUSWU5TF            ,2.0,900.0,組   ,,,,1.0,太陽能胎壓偵測器                                                    
1090601GF0000001,2TVUSD              ,4.0,380.0,組   ,,,,2.0,倒車顯影(內砍)                                                    
1090601GF0000001,KMWTV               ,10.0,40.0,各   ,,,,3.0,鱷魚頭出線                                                       
1110114GF0000002,09011LEDXR2         ,1.0,650.0,組   ,,,,1.0,0[車牌]兩節燈(紅藍)12/24V                                      
1110115GF0000001,V37TDGUVTRXF        ,1.0,1500.0,組   ,,,,1.0,V37觸控雙眼行車紀錄器                                                
1110117GF0000001,ALTISDFV            ,3.0,75.0,各   ,,,,1.0,ALTIS空氣芯                                                    
1110117GF0000001,08ALTISXFXJ         ,3.0,120.0,各   ,,,,2.0,08ALTIS冷氣濾網                                                 
1090723GF0000001,GARMINDRIVE52       ,2.0,3450.0,組   ,,,,1.0,GARMIN DRIVE 52導航                                           
1090810GF0000001,ZN5RJV              ,1.0,600.0,次   ,,,,1.0,福斯主機維修                                                      
1090331GF0000001,PNSSUN006           ,2.0,270.0,組   ,,,,1.0,6.5CM百摺式前擋風玻璃遮陽簾                                            
1090331GF0000001,PNSCDZX01           ,3.0,200.0,組   ,,,,2.0,倍思後長USB摺疊風扇-黑色                                              
1090331GF0000001,PNSSD1018           ,2.0,65.0,組   ,,,,3.0,多功能杯架(門邊/椅背)                                                
1090331GF0000001,PNSHXT20            ,0.0,0.0,組   ,,,,4.0,雙風扇椅背枕頭用12V                                                 
1090407GF0000001,J00342              ,1.0,130.0,支   ,,,,1.0,J00342後雨刷 LEXUS                                             
1090407GF0000001,J00357              ,2.0,260.0,支   ,,,,2.0,J00357後雨刷LUXGUN-U7                                          
1090407GF0000001,APPOBTI             ,1.0,3600.0,組   ,,,,3.0,APP OBT-II 4代 抬頭顯示器                                         
1090424GF0000001,ZERO14VRMG          ,2.0,290.0,支   ,,,,1.0,ZERO矽膠雨刷14吋                                                 
1090424GF0000001,ZEROVRMG26          ,2.0,415.0,支   ,,,,2.0,ZERO 26吋矽膠雨刷                                                
1090424GF0000001,ZEROVRMG28          ,3.0,450.0,支   ,,,,3.0,ZERO矽膠雨刷28吋                                                 
