relno,stockno,facno,rdate,note1,toacc
109[車牌][電話],GF ,FAC_00060,2020-08-03 00:00:00,,
109[車牌][電話],GF ,FAC_00064,2020-08-03 00:00:00,,
109[車牌][電話],GF ,FAC_00066,2020-08-03 00:00:00,,
109[車牌][電話],GF ,FAC_00047,2020-08-25 00:00:00,,
109[車牌][電話],GF ,FAC_00004,2020-08-25 00:00:00,,
109[車牌][電話],GF ,FAC_00064,2020-08-25 00:00:00,,
109[車牌][電話],GF ,FAC_00036,2020-08-25 00:00:00,,
109[車牌][電話],GF ,FAC_00066,2020-08-25 00:00:00,,
109[車牌][電話],GF ,FAC_00024,2020-08-28 00:00:00,,
109[車牌][電話],GF ,FAC_00044,2020-08-29 00:00:00,,
109[車牌][電話],GF ,FAC_00035,2020-08-29 00:00:00,,
109[車牌][電話],GF ,FAC_00026,2020-08-31 00:00:00,,
109[車牌][電話],GF ,FAC_00018,2020-09-01 00:00:00,,
109[車牌][電話],GF ,FAC_00043,2020-09-01 00:00:00,,
109[車牌][電話],GF ,FAC_00029,2020-09-02 00:00:00,,
109[車牌][電話],GF ,FAC_00045,2020-09-07 00:00:00,,
109[車牌][電話],GF ,FAC_00010,2020-09-08 00:00:00,,
109[車牌][電話],GF ,FAC_00014,2020-09-11 00:00:00,,
109[車牌][電話],GF ,FAC_00014,2020-09-28 00:00:00,,
109[車牌][電話],GF ,FAC_00066,2020-09-28 00:00:00,,
109[車牌][電話],GF ,FAC_00036,2020-09-28 00:00:00,,
109[車牌][電話],GF ,FAC_00064,2020-09-28 00:00:00,,
109[車牌][電話],GF ,FAC_00028,2020-09-03 00:00:00,,
109[車牌][電話],GF ,FAC_00023,2020-09-29 00:00:00,,
109[車牌][電話],GF ,FAC_00061,2020-10-06 00:00:00,,
109[車牌][電話],GF ,FAC_00043,2020-10-06 00:00:00,,
109[車牌][電話],GF ,FAC_00010,2020-10-22 00:00:00,,
109[車牌][電話],GF ,FAC_00024,2020-10-26 00:00:00,,
109[車牌][電話],GF ,FAC_00066,2020-10-26 00:00:00,,
109[車牌][電話],GF ,FAC_00047,2020-10-26 00:00:00,,
109[車牌][電話],GF ,FAC_00038,2020-10-26 00:00:00,,
109[車牌][電話],GF ,FAC_00036,2020-10-29 00:00:00,,
109[車牌][電話],GF ,FAC_00064,2020-11-02 00:00:00,,
109[車牌][電話],GF ,FAC_00028,2020-11-09 00:00:00,,
109[車牌][電話],GF ,FAC_00015,2020-11-11 00:00:00,,
109[車牌][電話],GF ,FAC_00057,2020-11-17 00:00:00,,
109[車牌][電話],GF ,FAC_00053,2020-11-18 00:00:00,,
109[車牌][電話],GF ,FAC_00036,2020-11-25 00:00:00,,
109[車牌][電話],GF ,FAC_00024,2020-11-25 00:00:00,,
109[車牌][電話],GF ,FAC_00038,2020-11-25 00:00:00,,
109[車牌][電話],GF ,FAC_00047,2020-11-25 00:00:00,,
109[車牌][電話],GF ,FAC_00066,2020-11-25 00:00:00,,
109[車牌][電話],GF ,FAC_00066,2020-11-25 00:00:00,,
109[車牌][電話],GF ,FAC_00025,2020-12-03 00:00:00,,
109[車牌][電話],GF ,FAC_00025,2020-12-03 00:00:00,,
109[車牌][電話],GF ,FAC_00035,2020-12-12 00:00:00,,
109[車牌][電話],GF ,FAC_00035,2020-12-12 00:00:00,,
109[車牌][電話],GF ,FAC_00035,2020-12-17 00:00:00,,
109[車牌][電話],GF ,FAC_00028,2020-12-21 00:00:00,,
109[車牌][電話],GF ,FAC_00024,2020-12-23 00:00:00,,
109[車牌][電話],GF ,FAC_00036,2020-12-23 00:00:00,,
109[車牌][電話],GF ,FAC_00064,2020-12-23 00:00:00,,
109[車牌][電話],GF ,FAC_00066,2020-12-23 00:00:00,,
109[車牌][電話],GF ,FAC_00035,2020-12-24 00:00:00,,
109[車牌][電話],GF ,FAC_00045,2020-12-24 00:00:00,,
109[車牌][電話],GF ,FAC_00032,2020-12-29 00:00:00,,
109[車牌][電話],GF ,FAC_00053,2020-12-31 00:00:00,,
110[車牌][電話],GF ,FAC_00033,2021-01-05 00:00:00,,
