relno,rtype,rlamt3,rlamt4,rdisc,order1,yearm,purno,faddover,indexs
109[車牌][電話],支票  ,,5700.0,0.0,訂金  ,,,,1.0
109[車牌][電話],    ,0.0,0.0,0.0,,,,,3.0
109[車牌][電話],支票  ,0.0,8350.0,0.0,訂金  ,,,,1.0
109[車牌][電話],支票  ,0.0,3450.0,0.0,訂金  ,,,,1.0
109[車牌][電話],現金  ,0.0,4000.0,0.0,訂金  ,,,,1.0
109[車牌][電話],支票  ,0.0,12000.0,0.0,訂金  ,,,,1.0
109[車牌][電話],支票  ,4540.0,4540.0,0.0,,202006.0,,,1.0
109[車牌][電話],支票  ,1750.0,1750.0,0.0,,202007.0,,,1.0
109[車牌][電話],支票  ,3250.0,3250.0,0.0,,202008.0,,,2.0
109[車牌][電話],支票  ,15210.0,15500.0,0.0,溢付  ,202007.0,,,1.0
109[車牌][電話],    ,0.0,0.0,0.0,,,,,3.0
109[車牌][電話],    ,0.0,0.0,0.0,,,,,2.0
109[車牌][電話],支票  ,0.0,6400.0,0.0,訂金  ,,,,1.0
109[車牌][電話],    ,0.0,0.0,0.0,,,,,2.0
109[車牌][電話],現金  ,1500.0,1500.0,0.0,,202008.0,,,1.0
109[車牌][電話],現金  ,1600.0,1600.0,0.0,,202008.0,,,1.0
109[車牌][電話],現金  ,0.0,2600.0,0.0,訂金  ,,,,1.0
109[車牌][電話],支票  ,0.0,24600.0,0.0,訂金  ,,,,1.0
109[車牌][電話],    ,0.0,0.0,0.0,,,,,2.0
109[車牌][電話],現金  ,0.0,1770.0,0.0,訂金  ,,,,1.0
109[車牌][電話],現金  ,2195.0,2085.0,0.0,訂金  ,,,,1.0
109[車牌][電話],    ,0.0,0.0,0.0,,,,,3.0
109[車牌][電話],    ,0.0,0.0,0.0,,,,,2.0
109[車牌][電話],現金  ,0.0,3497.0,0.0,訂金  ,,,,1.0
109[車牌][電話],現金  ,1050.0,1050.0,0.0,,202008.0,,,1.0
109[車牌][電話],現金  ,1400.0,1400.0,0.0,,202009.0,,,2.0
109[車牌][電話],支票  ,5000.0,3780.0,1220.0,    ,202007.0,,,1.0
109[車牌][電話],    ,0.0,0.0,0.0,,,,,2.0
109[車牌][電話],現金  ,3600.0,2850.0,750.0,    ,202005.0,,,1.0
109[車牌][電話],支票  ,2000.0,2000.0,0.0,,202008.0,,,1.0
109[車牌][電話],支票  ,9200.0,7700.0,1500.0,    ,191209.0,,,2.0
109[車牌][電話],支票  ,10400.0,10400.0,0.0,,202008.0,,,1.0
109[車牌][電話],支票  ,11300.0,11300.0,0.0,,202009.0,,,1.0
109[車牌][電話],    ,0.0,0.0,0.0,,,,,2.0
109[車牌][電話],支票  ,3480.0,3480.0,0.0,訂金  ,,,,2.0
109[車牌][電話],    ,0.0,0.0,0.0,,,,,4.0
109[車牌][電話],現金  ,1420.0,1420.0,0.0,,202008.0,,,1.0
109[車牌][電話],現金  ,-450.0,-450.0,0.0,,202009.0,,,2.0
109[車牌][電話],現金  ,6100.0,5900.0,200.0,    ,202008.0,,,1.0
109[車牌][電話],現金  ,0.0,2035.0,0.0,訂金  ,,,,1.0
109[車牌][電話],    ,0.0,0.0,0.0,,,,,2.0
109[車牌][電話],現金  ,0.0,2090.0,0.0,訂金  ,,,,1.0
109[車牌][電話],現金  ,3260.0,3090.0,170.0,    ,202009.0,,,1.0
109[車牌][電話],支票  ,23980.0,19700.0,4280.0,    ,202009.0,,,1.0
109[車牌][電話],支票  ,14800.0,14800.0,0.0,,202009.0,,,1.0
109[車牌][電話],支票  ,21350.0,21100.0,250.0,    ,202009.0,,,1.0
109[車牌][電話],支票  ,4502.0,2776.0,1726.0,    ,202009.0,,,1.0
109[車牌][電話],現金  ,0.0,3270.0,0.0,訂金  ,,,,1.0
109[車牌][電話],現金  ,0.0,3430.0,0.0,訂金  ,,,,3.0
109[車牌][電話],現金  ,150.0,150.0,0.0,,202008.0,,,1.0
109[車牌][電話],現金  ,900.0,900.0,0.0,,202009.0,,,2.0
109[車牌][電話],現金  ,2600.0,2600.0,0.0,,202010.0,,,3.0
109[車牌][電話],現金  ,200.0,200.0,0.0,,202011.0,,,4.0
109[車牌][電話],支票  ,1140.0,1140.0,0.0,,202009.0,,,1.0
109[車牌][電話],支票  ,4350.0,3050.0,1300.0,    ,202010.0,,,2.0
109[車牌][電話],現金  ,2550.0,2550.0,0.0,,202008.0,,,1.0
109[車牌][電話],現金  ,1200.0,1200.0,0.0,,202010.0,,,2.0
109[車牌][電話],現金  ,300.0,300.0,0.0,,202011.0,,,3.0
109[車牌][電話],支票  ,5250.0,5250.0,0.0,,202011.0,,,1.0
109[車牌][電話],支票  ,4710.0,4700.0,10.0,    ,202010.0,,,1.0
109[車牌][電話],支票  ,3000.0,3000.0,0.0,,202010.0,,,1.0
109[車牌][電話],支票  ,3600.0,3600.0,0.0,,202010.0,,,1.0
109[車牌][電話],支票  ,0.0,0.0,0.0,,202010.0,,,4.0
109[車牌][電話],支票  ,0.0,0.0,0.0,,202010.0,,,1.0
109[車牌][電話],支票  ,10448.0,14200.0,0.0,溢付  ,202010.0,,,2.0
109[車牌][電話],支票  ,0.0,11385.0,0.0,訂金  ,,,,3.0
109[車牌][電話],    ,0.0,0.0,0.0,,,,,5.0
109[車牌][電話],支票  ,9800.0,9800.0,0.0,,202010.0,,,2.0
109[車牌][電話],現金  ,6900.0,6900.0,0.0,,202007.0,,,1.0
