u_type,u_table,t_list
0,交班明細表                                   ,True
0,結帳明細表                                   ,True
0,結帳差額表                                   ,True
0,門市資料範圍                                  ,True
0,門市客戶明細表                                 ,True
0,門市商品明細表                                 ,True
0,門市銷售員簡表                                 ,True
0,各收款型態明細表                                ,True
0,門市時段明細表                                 ,True
0,門市商品銷售數量/金額總表                           ,True
0,分公司庫存量報表                                ,True
0,商品庫存量明細表                                ,True
0,低於安全存量報表                                ,True
0,調貨單日期區間列印                               ,True
0,調貨單單一商品列印                               ,True
0,被調貨公司商品區間列印                             ,True
0,調貨公司商品區間列印                              ,True
1,廠商報價明細表                                 ,True
1,商品報價明細表                                 ,True
1,廠商採購明細表                                 ,True
1,商品採購明細表                                 ,True
1,預定到貨明細表                                 ,True
1,已採購未到貨明細表                               ,True
1,應到貨未到貨明細表                               ,True
1,商品已到貨明細表                                ,True
1,進退貨資料範圍                                 ,True
1,廠商進退貨明細                                 ,True
1,商品進退貨明細                                 ,True
1,廠商商品進退貨明細                               ,True
1,廠商商品進貨數量金額總表                            ,True
1,廠商最後進價查詢                                ,True
1,商品最後進價查詢                                ,True
1,應付帳款區間明細                                ,True
1,應付帳款簡表列印                                ,True
1,應付帳款區間總表                                ,True
1,票據簽回單列印                                 ,True
1,付款明細列印(付款單號)                            ,True
1,廠商付款明細(付款單號)                            ,True
1,月份沖帳明細(依廠商沖帳月份)                         ,True
1,客戶估價明細表                                 ,True
1,商品估價明細表                                 ,True
1,客戶訂購明細表                                 ,True
1,商品訂購明細表                                 ,True
1,預定交貨明細表                                 ,True
1,已訂未交明細表                                 ,True
1,應交未交明細表                                 ,True
1,商品已交明細表                                 ,True
1,銷退貨資料範圍                                 ,True
1,客戶銷退貨明細                                 ,True
1,商品銷退貨明細                                 ,True
1,客戶商品銷退貨明細                               ,True
1,業務銷退貨明細                                 ,True
1,業務銷退貨總額                                 ,True
1,客戶商品銷貨數量金額總表                            ,True
1,客戶最後售價查詢                                ,True
1,商品最後售價查詢                                ,True
1,銷貨資料區間總表                                ,True
1,客戶銷貨金額總表                                ,True
1,商品銷貨金額總表                                ,True
1,應收帳款區間明細                                ,True
1,列印收款回條                                  ,True
1,應收帳款簡表列印                                ,True
1,應收帳款區間總表                                ,True
1,應收客戶標籤/信封列印                             ,True
1,收款明細列印(收款單號)                            ,True
1,客戶收款明細(收款單號)                            ,True
1,月份沖帳明細(依客戶沖帳月份)                         ,True
1,交班明細表                                   ,True
1,結帳明細表                                   ,True
1,結帳差額表                                   ,True
1,門市資料範圍                                  ,True
1,門市客戶明細表                                 ,True
1,門市商品明細表                                 ,True
1,門市銷售員簡表                                 ,True
1,各收款型態明細表                                ,True
1,門市時段明細表                                 ,True
1,門市商品銷售數量/金額總表                           ,True
1,客戶借出明細表                                 ,True
1,客戶商品借出明細表                               ,True
1,客戶歸還明細表                                 ,True
1,客戶商品歸還明細表                               ,True
1,客戶借出歸還明細表                               ,True
1,廠商借入明細表                                 ,True
1,廠商商品借入明細表                               ,True
1,廠商歸還明細表                                 ,True
1,廠商商品歸還明細表                               ,True
1,廠商借入歸還明細表                               ,True
1,分公司庫存量報表                                ,True
1,商品庫存量明細表                                ,True
1,低於安全存量報表                                ,True
1,調貨單日期區間列印                               ,True
1,調貨單單一商品列印                               ,True
1,被調貨公司商品區間列印                             ,True
1,調貨公司商品區間列印                              ,True
1,進銷項單一商品庫存異動表                            ,True
1,客戶收款明細表                                 ,True
1,廠商付款明細表                                 ,True
1,現金流量表                                   ,True
1,收付款明細表                                  ,True
1,退票明細列印                                  ,True
1,客戶發票報表                                  ,True
1,單一客戶發票查詢                                ,True
1,收款客戶發票查詢                                ,True
1,客戶發票日期區間查詢                              ,True
1,客戶開票日期區間查詢                              ,True
1,客戶發票折讓單報表                               ,True
1,廠商發票報表                                  ,True
1,單一廠商發票查詢                                ,True
1,收款廠商發票查詢                                ,True
1,廠商發票日期區間查詢                              ,True
1,廠商開票日期區間查詢                              ,True
1,廠商發票折讓單報表                               ,True
3,廠商報價明細表                                 ,True
3,商品報價明細表                                 ,True
3,廠商採購明細表                                 ,True
3,商品採購明細表                                 ,True
3,預定到貨明細表                                 ,True
3,已採購未到貨明細表                               ,True
3,應到貨未到貨明細表                               ,True
3,商品已到貨明細表                                ,True
3,進退貨資料範圍                                 ,True
3,廠商進退貨明細                                 ,True
3,商品進退貨明細                                 ,True
3,廠商商品進退貨明細                               ,True
3,廠商商品進貨數量金額總表                            ,True
3,廠商最後進價查詢                                ,True
3,商品最後進價查詢                                ,True
3,應付帳款區間明細                                ,True
3,應付帳款簡表列印                                ,True
3,應付帳款區間總表                                ,True
3,票據簽回單列印                                 ,True
3,廠商借入明細表                                 ,True
3,廠商商品借入明細表                               ,True
3,廠商歸還明細表                                 ,True
3,廠商商品歸還明細表                               ,True
3,廠商借入歸還明細表                               ,True
3,分公司庫存量報表                                ,True
3,商品庫存量明細表                                ,True
3,低於安全存量報表                                ,True
3,調貨單日期區間列印                               ,True
3,調貨單單一商品列印                               ,True
3,被調貨公司商品區間列印                             ,True
3,調貨公司商品區間列印                              ,True
3,廠商發票報表                                  ,True
3,單一廠商發票查詢                                ,True
3,收款廠商發票查詢                                ,True
3,廠商發票日期區間查詢                              ,True
3,廠商開票日期區間查詢                              ,True
3,廠商發票折讓單報表                               ,True
4,客戶估價明細表                                 ,True
4,商品估價明細表                                 ,True
4,客戶訂購明細表                                 ,True
4,商品訂購明細表                                 ,True
4,預定交貨明細表                                 ,True
4,已訂未交明細表                                 ,True
4,應交未交明細表                                 ,True
4,商品已交明細表                                 ,True
4,銷退貨資料範圍                                 ,True
4,客戶銷退貨明細                                 ,True
4,商品銷退貨明細                                 ,True
4,客戶商品銷退貨明細                               ,True
4,業務銷退貨明細                                 ,True
4,業務銷退貨總額                                 ,True
4,客戶商品銷貨數量金額總表                            ,True
4,客戶最後售價查詢                                ,True
4,商品最後售價查詢                                ,True
4,銷貨資料區間總表                                ,True
4,客戶銷貨金額總表                                ,True
4,商品銷貨金額總表                                ,True
4,應收帳款區間明細                                ,True
4,列印收款回條                                  ,True
4,應收帳款簡表列印                                ,True
4,應收帳款區間總表                                ,True
4,應收客戶標籤/信封列印                             ,True
4,交班明細表                                   ,True
4,結帳明細表                                   ,True
4,結帳差額表                                   ,True
4,門市資料範圍                                  ,True
4,門市客戶明細表                                 ,True
4,門市商品明細表                                 ,True
4,門市銷售員簡表                                 ,True
4,各收款型態明細表                                ,True
4,門市時段明細表                                 ,True
4,門市商品銷售數量/金額總表                           ,True
4,客戶借出明細表                                 ,True
4,客戶商品借出明細表                               ,True
4,客戶歸還明細表                                 ,True
4,客戶商品歸還明細表                               ,True
4,客戶借出歸還明細表                               ,True
4,分公司庫存量報表                                ,True
4,商品庫存量明細表                                ,True
4,低於安全存量報表                                ,True
4,調貨單日期區間列印                               ,True
4,調貨單單一商品列印                               ,True
4,被調貨公司商品區間列印                             ,True
4,調貨公司商品區間列印                              ,True
4,客戶發票報表                                  ,True
4,單一客戶發票查詢                                ,True
4,收款客戶發票查詢                                ,True
4,客戶發票日期區間查詢                              ,True
4,客戶開票日期區間查詢                              ,True
4,客戶發票折讓單報表                               ,True
4,各分公司門市年度損益表                             ,True
4,客戶年度門市金額統計表                             ,True
4,客戶年度商品門市金額統計表                           ,True
4,門市損益表                                   ,True
4,商品年度門市金額統計表                             ,True
0,門市損益表                                   ,True
0,各分公司門市年度損益表                             ,True
0,客戶年度門市金額統計表                             ,True
0,客戶年度商品門市金額統計表                           ,True
0,商品年度門市金額統計表                             ,True
0,收款明細列印(收款單號)                            ,True
0,應收帳款區間明細                                ,True
0,銷貨損益報表                                  ,True
0,商品銷貨金額總表                                ,True
0,客戶銷貨金額總表                                ,True
0,銷貨資料區間總表                                ,True
0,商品最後售價查詢                                ,True
0,客戶最後售價查詢                                ,True
3,商品年度門市金額統計表                             ,True
3,客戶年度商品門市金額統計表                           ,True
3,客戶年度門市金額統計表                             ,True
3,各分公司門市年度損益表                             ,True
3,門市損益表                                   ,True
3,門市資料範圍                                  ,True
3,收款明細列印(收款單號)                            ,True
3,銷貨損益報表                                  ,True
3,應收帳款區間明細                                ,True
3,商品銷貨金額總表                                ,True
3,客戶銷貨金額總表                                ,True
3,銷貨資料區間總表                                ,True
3,商品最後售價查詢                                ,True
3,客戶最後售價查詢                                ,True
3,客戶銷退貨明細                                 ,True
3,銷退貨資料範圍                                 ,True
3,付款明細列印(付款單號)                            ,True
4,銷貨損益報表                                  ,True
4,收款明細列印(收款單號)                            ,True
4,付款明細列印(付款單號)                            ,True
4,應付帳款區間明細                                ,True
4,廠商進退貨明細                                 ,True
1,銷貨損益報表                                  ,True
