relno,stockno,cusno,rdate,note1,toacc
109[車牌][電話],GF ,CUS_00076,2020-08-25 00:00:00,,
109[車牌][電話],GF ,CUS_00682,2020-08-25 00:00:00,,
109[車牌][電話],GF ,CUS_00076,2020-09-17 00:00:00,,
109[車牌][電話],GF ,CUS_00630,2020-09-28 00:00:00,,
109[車牌][電話],GF ,CUS_00598,2020-10-03 00:00:00,,
109[車牌][電話],GF ,CUS_00682,2020-10-05 00:00:00,,
109[車牌][電話],GF ,CUS_00588,2020-10-06 00:00:00,,
109[車牌][電話],GF ,CUS_00076,2020-10-27 00:00:00,,
109[車牌][電話],GF ,CUS_00682,2020-11-02 00:00:00,,
109[車牌][電話],GF ,CUS_00630,2020-11-05 00:00:00,,
109[車牌][電話],GF ,CUS_00656,2020-12-05 00:00:00,,
109[車牌][電話],GF ,CUS_00630,2020-12-21 00:00:00,,
109[車牌][電話],GF ,CUS_00076,2020-12-30 00:00:00,,
109[車牌][電話],GF ,CUS_00682,2020-12-30 00:00:00,,
110[車牌][電話],GF ,CUS_00076,2021-01-11 00:00:00,,
110[車牌][電話],GF ,CUS_00555,2021-01-21 00:00:00,,
110[車牌][電話],GF ,CUS_00533,2021-01-22 00:00:00,,
110[車牌][電話],GF ,CUS_00076,2021-01-25 00:00:00,,
110[車牌][電話],GF ,CUS_00682,2021-01-25 00:00:00,,
110[車牌][電話],GF ,CUS_00588,2021-01-25 00:00:00,,
110[車牌][電話],GF ,CUS_00618,2021-02-02 00:00:00,,
110[車牌][電話],GF ,CUS_00682,2021-03-04 00:00:00,,
110[車牌][電話],GF ,CUS_00588,2021-03-18 00:00:00,,
110[車牌][電話],GF ,CUS_00076,2021-03-19 00:00:00,,
110[車牌][電話],GF ,CUS_00682,2021-03-30 00:00:00,,
110[車牌][電話],GF ,CUS_00656,2021-04-01 00:00:00,,
110[車牌][電話],GF ,CUS_00598,2021-04-15 00:00:00,,
110[車牌][電話],GF ,CUS_00598,2021-04-15 00:00:00,,
110[車牌][電話],GF ,CUS_00618,2021-04-19 00:00:00,,
110[車牌][電話],GF ,CUS_00618,2021-04-19 00:00:00,,
110[車牌][電話],GF ,CUS_00618,2021-04-19 00:00:00,,
110[車牌][電話],GF ,CUS_00555,2021-04-29 00:00:00,,
110[車牌][電話],GF ,CUS_00533,2021-05-22 00:00:00,,
110[車牌][電話],GF ,CUS_00076,2021-05-22 00:00:00,,
110[車牌][電話],GF ,CUS_00076,2021-05-22 00:00:00,,
110[車牌][電話],GF ,CUS_00074,2021-06-07 00:00:00,,
110[車牌][電話],GF ,CUS_00705,2021-06-01 00:00:00,,
110[車牌][電話],GF ,CUS_00076,2021-06-25 00:00:00,,
110[車牌][電話],GF ,CUS_00682,2021-06-28 00:00:00,,
110[車牌][電話],GF ,CUS_00076,2021-07-29 00:00:00,,
110[車牌][電話],GF ,CUS_00682,2021-07-29 00:00:00,,
110[車牌][電話],GF ,CUS_00648,2021-08-10 00:00:00,,
110[車牌][電話],GF ,CUS_00648,2021-08-25 00:00:00,,
110[車牌][電話],GF ,CUS_00630,2021-10-06 00:00:00,,
110[車牌][電話],GF ,CUS_00693,2021-10-06 00:00:00,,
110[車牌][電話],GF ,CUS_00630,2021-10-08 00:00:00,,
110[車牌][電話],GF ,CUS_00704,2021-10-14 00:00:00,,
110[車牌][電話],GF ,CUS_00076,2021-10-25 00:00:00,,
110[車牌][電話],GF ,CUS_00572,2021-10-26 00:00:00,,
110[車牌][電話],GF ,CUS_00132,2021-10-27 00:00:00,,
110[車牌][電話],GF ,CUS_00572,2021-10-29 00:00:00,,
110[車牌][電話],GF ,CUS_00555,2021-11-04 00:00:00,,
110[車牌][電話],GF ,CUS_00693,2021-11-25 00:00:00,,
110[車牌][電話],GF ,CUS_00076,2021-11-25 00:00:00,,
110[車牌][電話],GF ,CUS_00682,2021-11-26 00:00:00,,
110[車牌][電話],GF ,CUS_00630,2021-11-29 00:00:00,,
110[車牌][電話],GF ,CUS_00588,2021-12-08 00:00:00,,
110[車牌][電話],GF ,CUS_00656,2021-12-08 00:00:00,,
110[車牌][電話],GF ,CUS_00523,2021-12-22 00:00:00,,
110[車牌][電話],GF ,CUS_00630,2021-12-25 00:00:00,,
