relno,rtype,rlamt3,rlamt4,rdisc,yearm,order1,caddover,indexs,ione
109[車牌][電話],現金  ,0.0,12000.0,0.0,,訂金  ,,1.0,
109[車牌][電話],現金  ,0.0,650.0,0.0,,訂金  ,,1.0,
109[車牌][電話],現金  ,2500.0,2500.0,0.0,202007.0,,,1.0,
109[車牌][電話],現金  ,2750.0,2750.0,0.0,202008.0,,,2.0,
109[車牌][電話],現金  ,2000.0,2000.0,0.0,202009.0,,,1.0,
109[車牌][電話],現金  ,150.0,150.0,0.0,202010.0,,,1.0,
109[車牌][電話],支票  ,1460.0,1260.0,200.0,202008.0,    ,,1.0,
109[車牌][電話],現金  ,0.0,0.0,0.0,,,,1.0,
109[車牌][電話],現金  ,1850.0,1850.0,0.0,202009.0,,,1.0,
109[車牌][電話],現金  ,1050.0,1050.0,0.0,202009.0,,,1.0,
109[車牌][電話],現金  ,250.0,250.0,0.0,202010.0,,,2.0,
109[車牌][電話],現金  ,1000.0,1000.0,0.0,202010.0,,,1.0,
109[車牌][電話],現金  ,2500.0,2500.0,0.0,202011.0,,,2.0,
109[車牌][電話],現金  ,3000.0,3000.0,0.0,202010.0,,,2.0,
109[車牌][電話],現金  ,1850.0,1850.0,0.0,202012.0,,,1.0,
109[車牌][電話],現金  ,2500.0,2500.0,0.0,202012.0,,,1.0,
109[車牌][電話],現金  ,5000.0,5000.0,0.0,202011.0,,,1.0,
109[車牌][電話],支票  ,6600.0,5000.0,1600.0,202011.0,    ,,1.0,
110[車牌][電話],現金  ,400.0,400.0,0.0,202012.0,,,1.0,
110[車牌][電話],現金  ,9200.0,4200.0,5000.0,202101.0,    ,,2.0,
110[車牌][電話],現金  ,1500.0,1500.0,0.0,202101.0,,,1.0,
110[車牌][電話],現金  ,400.0,400.0,0.0,202012.0,,,1.0,
110[車牌][電話],現金  ,3400.0,3400.0,0.0,202101.0,,,2.0,
110[車牌][電話],現金  ,400.0,400.0,0.0,202101.0,,,1.0,
110[車牌][電話],現金  ,0.0,0.0,0.0,202008.0,,,2.0,
110[車牌][電話],現金  ,3000.0,3000.0,0.0,202007.0,,,1.0,
110[車牌][電話],現金  ,1500.0,1500.0,0.0,202011.0,,,1.0,
110[車牌][電話],現金  ,2900.0,3450.0,0.0,202101.0,溢收  ,,1.0,
110[車牌][電話],支票  ,1100.0,1100.0,0.0,202102.0,,,1.0,
110[車牌][電話],現金  ,7100.0,7100.0,0.0,202101.0,,,1.0,
110[車牌][電話],現金  ,4500.0,4500.0,0.0,202102.0,,,1.0,
110[車牌][電話],現金  ,1250.0,1250.0,0.0,202101.0,,,1.0,
110[車牌][電話],現金  ,750.0,750.0,0.0,202102.0,,,2.0,
110[車牌][電話],現金  ,750.0,750.0,0.0,202104.0,,,3.0,
110[車牌][電話],現金  ,140.0,140.0,0.0,202012.0,,,1.0,
110[車牌][電話],現金  ,0.0,0.0,0.0,,,,2.0,
110[車牌][電話],現金  ,2500.0,2500.0,0.0,202104.0,,,1.0,
110[車牌][電話],現金  ,1850.0,1850.0,0.0,202102.0,,,1.0,
110[車牌][電話],現金  ,0.0,0.0,0.0,,,,1.0,
110[車牌][電話],現金  ,5000.0,5000.0,0.0,202103.0,,,1.0,
110[車牌][電話],現金  ,1500.0,1500.0,0.0,202104.0,,,2.0,
110[車牌][電話],現金  ,2500.0,2500.0,0.0,202103.0,,,1.0,
110[車牌][電話],現金  ,1500.0,1500.0,0.0,202104.0,,,2.0,
