salno,sdate,stockno,cusno,busno,tot,ttot,setday,wno,tprice,smoney,price,apcost,adrs2,note1,anote,cnew,toacc,dusno,reno,reindex
1090731GF0000001,2020-07-31 00:00:00,GF ,CUS_00588,01      ,3000.0,3000.0,202007.0,,3000.0,0.0,3000.0,2600.0,[已隱蔽],,,,,01      ,,
1090731GF0000002,2020-07-31 00:00:00,GF ,CUS_00693,01      ,2000.0,2000.0,202007.0,,2000.0,0.0,2000.0,450.0,                                                            ,,,,,01      ,,
1090730GF0000001,2020-07-30 00:00:00,GF ,CUS_00076,01      ,2500.0,2500.0,202007.0,,2500.0,0.0,2500.0,1500.0,[已隱蔽],,,,,        ,,
1090703GF0000001,2020-07-03 00:00:00,GF ,CUS_00682,01      ,300.0,300.0,202007.0,,300.0,0.0,300.0,120.0,[已隱蔽],,,,,01      ,,
1090804GF0000001,2020-08-04 00:00:00,GF ,CUS_00084,        ,199.0,199.0,202008.0,,199.0,0.0,199.0,50.0,[已隱蔽],,,,,        ,,
1090805GF0000001,2020-08-05 00:00:00,GF ,CUS_00260,01      ,1600.0,1600.0,202008.0,,1600.0,0.0,1600.0,250.0,                                                            ,,,,,01      ,,
1090805GF0000002,2020-08-05 00:00:00,GF ,CUS_00076,02      ,2500.0,2500.0,202008.0,,2500.0,0.0,2500.0,1091.0,[已隱蔽],,,,,        ,,
1090806GF0000001,2020-08-06 00:00:00,GF ,CUS_00615,        ,4200.0,4200.0,202008.0,,4200.0,0.0,4200.0,780.0,                                                            ,,,,,        ,,
1090806GF0000002,2020-08-06 00:00:00,GF ,CUS_00260,01      ,8300.0,8300.0,202008.0,,8300.0,0.0,8300.0,3900.0,                                                            ,,,,,        ,,
1090807GF0000001,2020-08-07 00:00:00,GF ,CUS_00674,01      ,600.0,600.0,202008.0,,600.0,0.0,600.0,350.0,                                                            ,,,,,        ,,
1090715GF0000001,2020-07-15 00:00:00,GF ,CUS_00674,        ,31200.0,31200.0,202007.0,,31200.0,0.0,31200.0,3530.0,                                                            ,,,,,        ,,
1090812GF0000001,2020-08-12 00:00:00,GF ,CUS_00704,        ,400.0,400.0,202008.0,,400.0,0.0,400.0,170.0,                                                            ,,,,,        ,,
1090812GF0000002,2020-08-12 00:00:00,GF ,CUS_00722,        ,3000.0,3000.0,202008.0,,3000.0,0.0,3000.0,600.0,                                                            ,,,,,        ,,
1090812GF0000003,2020-08-12 00:00:00,GF ,CUS_00558,        ,3000.0,3000.0,202008.0,,3000.0,0.0,3000.0,2100.0,                                                            ,,,,,        ,,
1090813GF0000001,2020-08-13 00:00:00,GF ,CUS_00674,        ,9450.0,9450.0,202008.0,,9450.0,0.0,9450.0,4120.0,                                                            ,,,,,        ,,
1090817GF0000001,2020-08-17 00:00:00,GF ,CUS_00154,        ,2000.0,2000.0,202008.0,,2000.0,0.0,2000.0,380.0,                                                            ,,,,,        ,,
1090818GF0000001,2020-08-18 00:00:00,GF ,CUS_00074,        ,550.0,550.0,202008.0,,550.0,0.0,550.0,260.0,[已隱蔽],,,,,        ,,
1090818GF0000002,2020-08-18 00:00:00,GF ,CUS_00682,01      ,560.0,560.0,202008.0,,560.0,0.0,560.0,300.0,[已隱蔽],,,,,01      ,,
1090819GF0000001,2020-08-19 00:00:00,GF ,CUS_00437,        ,12300.0,12300.0,202008.0,,12300.0,0.0,12300.0,4050.0,[已隱蔽],,,,,        ,,
1090820GF0000001,2020-08-20 00:00:00,GF ,CUS_00076,        ,250.0,250.0,202008.0,,250.0,0.0,250.0,200.0,[已隱蔽],,,,,        ,,
1090824GF0000001,2020-08-24 00:00:00,GF ,CUS_00682,01      ,400.0,400.0,202008.0,,400.0,0.0,400.0,240.0,[已隱蔽],,,,,01      ,,
1090825GF0000001,2020-08-25 00:00:00,GF ,CUS_00564,        ,1500.0,1500.0,202008.0,,1500.0,0.0,1500.0,1000.0,                                                            ,,,,,        ,,
1090826GF0000001,2020-08-26 00:00:00,GF ,CUS_00733,        ,2700.0,2700.0,202008.0,,2700.0,0.0,2700.0,670.0,                                                            ,,,,,        ,,
1091010GF0000001,2020-10-10 00:00:00,GF ,CUS_00694,        ,2050.0,2050.0,202010.0,,2050.0,0.0,2050.0,335.0,                                                            ,,,,,        ,,
1090826GF0000002,2020-08-26 00:00:00,GF ,CUS_00132,        ,3000.0,3000.0,202008.0,,3000.0,0.0,3000.0,1500.0,                                                            ,,,,,        ,,
1090827GF0000001,2020-08-27 00:00:00,GF ,CUS_00636,        ,5600.0,5600.0,202008.0,,5600.0,0.0,5600.0,1800.0,                                                            ,,,,,        ,,
1090804GF0000002,2020-08-04 00:00:00,GF ,CUS_00636,        ,9000.0,9000.0,202008.0,,9000.0,0.0,9000.0,4430.0,                                                            ,,,,,        ,,
1090818GF0000003,2020-08-18 00:00:00,GF ,CUS_00636,        ,5600.0,5600.0,202008.0,,5600.0,0.0,5600.0,1800.0,                                                            ,,,,,        ,,
1090828GF0000001,2020-08-28 00:00:00,GF ,CUS_00712,        ,9000.0,9000.0,202008.0,,9000.0,0.0,9000.0,4350.0,                                                            ,,,,,        ,,
1090828GF0000002,2020-08-28 00:00:00,GF ,CUS_00211,        ,9500.0,9500.0,202008.0,,9500.0,0.0,9500.0,4271.0,                                                            ,,,,,        ,,
1090831GF0000001,2020-08-31 00:00:00,GF ,CUS_00549,        ,90.0,90.0,202008.0,,90.0,0.0,90.0,75.0,[已隱蔽],,,,,        ,,
1090907GF0000001,2020-09-07 00:00:00,GF ,CUS_00074,        ,750.0,750.0,202009.0,,750.0,0.0,750.0,300.0,[已隱蔽],,,,,        ,,
1090907GF0000002,2020-09-07 00:00:00,GF ,CUS_00254,        ,5200.0,5200.0,202009.0,,5200.0,0.0,5200.0,2150.0,                                                            ,,,,,        ,,
