salno,prdno,prqty,price,unit,pcost,repno,note1,rept2index,indexs,prdnm
1090731GF0000001,19RAV4QCE           ,1.0,3000.0,組   ,2600.0,,,,1.0,19RAV4平衡桿                                                   
1090731GF0000002,2TVUJE              ,1.0,2000.0,組   ,450.0,,,,1.0,倒車顯影(外掛)                                                    
1090730GF0000001,LD72UVTRXF          ,1.0,2500.0,組   ,1500.0,,,,1.0,LD-7單眼行車記錄器                                                 
1090703GF0000001,VTRXFV              ,1.0,300.0,組   ,120.0,,,,1.0,行車記錄器線                                                      
1090804GF0000001,ZXQH12Q             ,1.0,199.0,各   ,50.0,,,,1.0,菲利浦 H1 55W燈泡                                                
1090805GF0000001,TAA089              ,1.0,1000.0,組   ,250.0,,,,1.0,卡夢防碰條                                                       
1090805GF0000001,AMN                 ,1.0,600.0,罐   ,0.0,,,,2.0,鉬元素                                                         
1090805GF0000002,V81VTRXF            ,1.0,2500.0,組   ,1091.0,,,,1.0,V81行車記錄器雙眼                                                  
1090806GF0000001,BGWGE               ,1.0,1500.0,支   ,500.0,,,,1.0,1998瑞獅鐵水管                                                   
1090806GF0000001,12FVRU5XR           ,1.0,550.0,罐   ,0.0,,,,2.0,八大全效機油精                                                     
1090806GF0000001,SAXO5W50            ,1.0,400.0,罐   ,280.0,,,,3.0,SAXO 5W/50機油                                                
1090806GF0000001,GVE1.12             ,1.0,300.0,各   ,0.0,,,,4.0,水箱蓋1.1(大頭)                                                  
1090806GF0000001,GVFV                ,1.0,800.0,次   ,0.0,,,,5.0,水箱清洗                                                        
1090806GF0000001,G204GVR             ,1.0,650.0,罐   ,0.0,,,,6.0,G204水箱精                                                     
1090806GF0000002,CLA250FQCE          ,1.0,6500.0,組   ,3500.0,,,,1.0,CLA-250前平衡桿                                                 
1090806GF0000002,SENFINECOFURFFVR    ,1.0,1800.0,罐   ,400.0,,,,2.0,西德SENFINECO汽油進氣系統清洗劑9921                                    
1090807GF0000001,V2V1JFMT            ,1.0,600.0,組   ,350.0,,,,1.0,現代小霸王晴雨窗                                                    
1090715GF0000001,LD9VTRXF            ,1.0,7000.0,組   ,2800.0,,,,1.0,LD-9電子式行車記錄器                                                
1090715GF0000001,10HJV5R             ,1.0,12500.0,組   ,0.0,,,,2.0,10吋萬象主機                                                     
1090715GF0000001,W15ZX5R             ,1.0,8000.0,組   ,0.0,,,,3.0,W15分離主機                                                     
1090715GF0000001,GS2LM8005           ,2.0,350.0,組   ,140.0,,,,4.0,LM-8005室內燈(水晶)12V                                           
1090715GF0000001,EY                  ,1.0,500.0,次   ,0.0,,,,5.0,工資                                                          
1090715GF0000001,2TVUJE              ,1.0,2500.0,組   ,450.0,,,,6.0,倒車顯影(外掛)                                                    
1090812GF0000001,YARISFMT            ,1.0,400.0,組   ,170.0,,,,1.0,YARIS晴雨窗                                                    
1090812GF0000002,2TX23UDB            ,1.0,3000.0,組   ,600.0,,,,1.0,倒車雷達3演崁入                                                    
1090812GF0000003,ERQ55D23L2Q         ,1.0,3000.0,各   ,2100.0,,,,1.0,國際牌55D23L電瓶                                                 
1090813GF0000001,LD9GPS              ,1.0,1000.0,組   ,1000.0,,,,1.0,LD-9 GPS天線                                                  
1090813GF0000001,LD9VTRXF            ,1.0,7000.0,組   ,2800.0,,,,2.0,LD-9電子式行車記錄器                                                
1090813GF0000001,KMWTV               ,1.0,250.0,各   ,40.0,,,,3.0,鱷魚頭出線                                                       
1090813GF0000001,GS2LM8005           ,2.0,350.0,組   ,140.0,,,,4.0,LM-8005室內燈(水晶)12V                                           
1090813GF0000001,EY                  ,1.0,500.0,次   ,0.0,,,,5.0,工資                                                          
1090818GF0000001,06TIDA5MW2          ,1.0,550.0,組   ,260.0,,,,1.0,06TIDA專用踏墊                                                  
1090818GF0000002,99XGTA1E2           ,1.0,560.0,組   ,300.0,,,,1.0,99菱帥長毛避光墊                                                   
1090819GF0000001,LD9VTRXF            ,1.0,8500.0,組   ,2800.0,,,,1.0,LD-9電子式行車記錄器                                                
1090819GF0000001,WUSWU5TF            ,1.0,2800.0,組   ,900.0,,,,2.0,太陽能胎壓偵測器                                                    
1090819GF0000001,PNSS25              ,1.0,450.0,組   ,170.0,,,,3.0,大功率三孔插座四USB4.8A                                             
1090819GF0000001,RSEN61              ,1.0,550.0,條   ,180.0,,,,4.0,RSEN-61方向盤套                                                 
1090817GF0000001,2TXWSDXU            ,1.0,2000.0,組   ,380.0,,,,1.0,倒車雷達內崁兩眼-禾麟                                                 
1090820GF0000001,PNSCDZX01           ,1.0,250.0,組   ,200.0,,,,1.0,倍思後長USB摺疊風扇-黑色                                              
1091010GF0000001,2XGW                ,2.0,500.0,卷   ,80.0,,,,1.0,鍍洛門邊飾條                                                      
1090824GF0000001,VTRXFV              ,2.0,200.0,組   ,120.0,,,,1.0,行車記錄器線                                                      
1090825GF0000001,N12                 ,1.0,1500.0,組   ,1000.0,,,,1.0,三寶燈                                                         
1090826GF0000001,RV2CRW              ,1.0,2500.0,組   ,600.0,,,,1.0,RV2後鏡頭                                                      
1090826GF0000001,PNSTPC001           ,1.0,200.0,組   ,70.0,,,,2.0,PNS-TPC001夜光停車牌                                             
1090826GF0000002,ZV5G539HNF          ,1.0,3000.0,組   ,1500.0,,,,1.0,發現者F-539測速器                                                 
1090827GF0000001,ID6.5ZUX1           ,1.0,5000.0,組   ,1600.0,,,,1.0,ID 6.5分音喇叭                                                  
1090827GF0000001,6H2EF               ,2.0,300.0,各   ,100.0,,,,2.0,6吋墊高器                                                       
1090804GF0000002,ID12H52U            ,1.0,6500.0,組   ,3800.0,,,,1.0,ID 12吋重低音(藍)                                                
1090804GF0000002,V1                  ,1.0,1000.0,組   ,380.0,,,,2.0,線包                                                          
1090804GF0000002,EY                  ,1.0,1000.0,次   ,0.0,,,,3.0,工資                                                          
1090804GF0000002,AV5VC               ,1.0,500.0,組   ,250.0,,,,4.0,AV轉換器                                                       
1090818GF0000003,ID6HZUX1            ,1.0,5000.0,組   ,1600.0,,,,1.0,ID 6h吋分音啦叭                                                  
1090818GF0000003,6H2EF               ,2.0,300.0,各   ,100.0,,,,2.0,6吋墊高器                                                       
1090828GF0000001,NISSIONYQU          ,5.0,600.0,罐   ,250.0,,,,3.0,NISSION(金色)自排油                                              
1090828GF0000002,V81VTRXF            ,1.0,4000.0,組   ,1091.0,,,,1.0,V81行車記錄器雙眼                                                  
1090828GF0000002,AL5003              ,1.0,350.0,組   ,150.0,,,,2.0,AL-5002車載USB插座                                              
1090828GF0000002,CD-8068USB5R        ,1.0,4300.0,組   ,2800.0,,,,3.0,CD-[車牌]主機                                                
1090828GF0000002,TYPERH4CR           ,1.0,700.0,組   ,170.0,,,,4.0,TYPE-R H4黃金燈泡                                               
1090828GF0000001,XGNRRLC             ,1.0,3000.0,組   ,1600.0,,,,4.0,菱帥三腳架(L後)                                                   
1090828GF0000001,XGZG2Y              ,1.0,3000.0,組   ,1500.0,,,,5.0,菱帥風扇電阻                                                      
1090828GF0000002,4RR2F               ,1.0,150.0,各   ,60.0,,,,5.0,4角繼電器                                                       
1090831GF0000001,GN152EF             ,1.0,90.0,組   ,75.0,,,,1.0,GN-15雨刷頂高器                                                  
1090907GF0000001,X2G0N               ,1.0,750.0,組   ,300.0,,,,1.0,兩點式暗鎖                                                       
1090907GF0000002,13ALTISCVN          ,4.0,600.0,各   ,350.0,,,,1.0,13ALTIS火星塞                                                  
1090907GF0000002,SENFINECOFURFFVR    ,1.0,1800.0,罐   ,400.0,,,,3.0,西德SENFINECO汽油進氣系統清洗劑9921                                    
1090907GF0000002,RWFVR               ,1.0,1000.0,罐   ,350.0,,,,5.0,泡沫事積碳清洗劑                                                    
1090908GF0000001,XFXJALTIS           ,1.0,500.0,各   ,150.0,,,,1.0,冷氣濾網 ALTIS                                                  
