stockno,prdno,qty
A  ,V81GUVTRXFF         ,5.0
A  ,V81GUVTRXFC         ,5.0
GF ,X2G0N               ,-1.0
GF ,VTGDRGE             ,2.0
GF ,1XD2                ,2.0
GF ,CR20162T            ,10.0
GF ,CR20252T            ,8.0
GF ,CR20322T            ,7.0
GF ,1XD2CAG             ,2.0
GF ,23A2T               ,21.0
GF ,27A2T               ,6.0
GF ,1XE251CM            ,2.0
GF ,1MVXTT5             ,1.0
GF ,1MVXTT5XL           ,2.0
GF ,1XE28H              ,2.0
GF ,GN335VXRJY          ,2.0
GF ,WDR201VTRXF         ,-1.0
GF ,13ALTISCVN          ,0.0
GF ,RWFVR               ,-7.0
GF ,TYPERH7CR2Q         ,-3.0
GF ,ABTE027             ,-1.0
GF ,SF22R               ,-5.0
GF ,10AYW3CGR           ,0.0
GF ,RSENHID5RF          ,-2.0
GF ,GNFMT               ,3.0
GF ,GV5XJ               ,3.0
GF ,LEDGS2VWG           ,0.0
GF ,LC3.1USB2U1         ,0.0
GF ,XQRAION             ,1.0
GF ,12CRV5MMG           ,0.0
GF ,RSENH76000K         ,0.0
GF ,KH911A2             ,2.0
GF ,G100A2              ,0.0
GF ,FI345AW             ,1.0
GF ,JK40USBDT           ,0.0
GF ,JK40W2USBDT         ,1.0
GF ,KY323RGEY2          ,1.0
GF ,RSENX1              ,-2.0
GF ,VBDUMN              ,-3.0
GF ,MISSIONCVT          ,-70.0
GF ,99R1GX              ,-2.0
GF ,VBDVTR              ,-5.0
GF ,CW2                 ,0.0
GF ,BW2                 ,-6.0
GF ,S17RXTV1            ,-3.0
GF ,6BCA                ,7.0
GF ,PNSHGK06            ,-2.0
GF ,NOID12R             ,1.0
GF ,ZV5X8D              ,-1.0
GF ,VBDGVR              ,-5.0
GF ,POSEN18H            ,-14.0
GF ,POSEN16H            ,-14.5
GF ,POSEN20H            ,-12.5
GF ,POSEN22H            ,-2.0
GF ,2DR                 ,-4.0
GF ,VINA225XR           ,-3.0
GF ,JX2Y                ,1.0
GF ,V189005             ,0.0
GF ,RSEND28000K         ,2.0
GF ,RSENZVQ             ,-1.0
GF ,CRV+4CVP55R         ,0.0
GF ,08ALTISFMT          ,1.0
GF ,902XDFMT            ,1.0
GF ,180FMT              ,0.0
GF ,01ALTISFMT          ,0.0
GF ,XA                  ,0.0
GF ,YH368FDS2XEN        ,-1.0
GF ,SENFINECOGV5XR      ,5.0
GF ,SENFINCEODFFRR      ,-1.0
GF ,PNSHG03             ,0.0
GF ,PNS07HD69           ,3.0
GF ,PNSSUN007           ,0.0
GF ,PNSSUN001           ,0.0
GF ,PNSS25              ,-5.0
GF ,504                 ,0.0
A  ,PNSHG03             ,3.0
A  ,PNS07HD69           ,2.0
A  ,PNSS25              ,3.0
GF ,V81VTRXF            ,-11.0
A  ,V81VTRXF            ,17.0
GF ,ERQ602Q             ,-1.0
GF ,WF602Q              ,1.0
A  ,WF602Q              ,2.0
GF ,19RAV4QCE           ,-1.0
A  ,19RAV4QCE           ,1.0
GF ,YI280ZVR            ,-1.0
GF ,UZ2ES5JR            ,0.0
GF ,PC6233RVWUR         ,0.0
GF ,NOID0118SND         ,-2.0
GF ,NOID24GS2           ,3.0
GF ,ZV5Q5VTRXF          ,3.0
GF ,UX0GVR              ,3.0
GF ,2TVUJE              ,4.0
GF ,2TVUSD              ,8.0
GF ,SAXO5W50            ,15.0
GF ,17CRV1E2            ,-1.0
GF ,ID12H52U            ,-2.0
GF ,AV5VC               ,12.0
GF ,VTRXFV              ,-49.0
GF ,FY2T2R              ,-4.0
GF ,LD9VTRXF            ,-1.0
GF ,LD7GVVTRXF          ,4.0
GF ,LD72UVTRXF          ,1.0
GF ,LD7CRW              ,0.0
GF ,VTRXF2MV            ,2.0
GF ,V1                  ,4.0
GF ,CK7005R             ,0.0
GF ,ERJGNTWISTN         ,-1.0
GF ,JK60ZQW             ,0.0
GF ,PNSS27              ,0.0
GF ,PNSCS001            ,4.0
GF ,T15MU               ,3.0
GF ,PNSF404             ,3.0
GF ,PNSF405             ,-1.0
GF ,PNSSUN07            ,-1.0
GF ,PNSSUN08            ,2.0
GF ,PNSSUN05            ,16.0
GF ,PNSXP058            ,1.0
GF ,PNSHUDL2            ,1.0
GF ,PNSSB22             ,0.0
GF ,TAA095              ,3.0
GF ,A094                ,-2.0
GF ,SENFINECORU5X       ,-4.0
GF ,SENFINECOFURFFVR    ,-1.0
GF ,2TXWSDXU            ,0.0
GF ,AL5003TY-CU         ,-2.0
GF ,YH6629              ,-1.0
GF ,TURBOH4LED          ,1.0
GF ,H722                ,4.0
GF ,H422                ,1.0
GF ,08A2-MG             ,3.0
GF ,H4ZXQ2Q             ,1.0
GF ,VUGQ2W              ,-4.0
GF ,V18LED9006          ,2.0
GF ,TYPERH4CR           ,-2.5
GF ,D26000K2Q           ,-1.0
GF ,LY328GSR            ,2.0
GF ,A095                ,1.0
GF ,TAA089              ,3.0
GF ,TAA090              ,2.0
GF ,NB1040              ,71.0
GF ,SF1014              ,-1.0
GF ,VBDC1XWU            ,-1.0
GF ,TYPER9005           ,2.0
GF ,PS254               ,6.0
GF ,GXYGUX              ,7.0
GF ,VBDVATX             ,1.0
GF ,VBDAMMGR            ,1.0
GF ,BC608               ,0.0
GF ,BC608200W           ,1.0
GF ,BC608100W           ,0.0
GF ,SF0025              ,0.0
GF ,SF0046              ,-1.0
GF ,SF0041              ,2.0
GF ,SF035               ,4.0
GF ,SF0019              ,2.0
GF ,VBDCCTZ2A           ,3.0
GF ,8YCA                ,-1.0
GF ,VBD2XAF             ,11.0
GF ,20502XR             ,1.0
GF ,D48000K2Q           ,0.0
GF ,UUZV10D             ,1.0
GF ,A5MVEY2             ,1.0
GF ,RSEN56ZVQW          ,1.0
GF ,929TX               ,-5.0
GF ,V37GRR              ,4.0
GF ,HT32VMT             ,0.0
GF ,NOID15GS2           ,1.0
GF ,G2VY                ,0.0
GF ,3MCUFFVR            ,0.0
GF ,N1MUX1              ,-1.0
