u_type,u_table,t_add,t_edit,t_del,t_list
0,商品資料                ,True,True,True,True
0,商品類別                ,True,True,True,True
0,BOM資料               ,True,True,True,True
0,門市銷售                ,True,True,True,True
0,門市交班                ,True,True,True,True
0,門市結帳                ,True,True,True,True
1,客戶資料                ,True,True,True,True
1,廠商資料                ,True,True,True,True
1,商品資料                ,True,True,True,True
1,商品類別                ,True,True,True,True
1,BOM資料               ,True,True,True,True
1,廠商報價                ,True,True,True,True
1,廠商進貨                ,True,True,True,True
1,廠商退貨                ,True,True,True,True
1,付款                  ,True,True,True,True
1,客戶估價                ,True,True,True,True
1,客戶銷貨                ,True,True,True,True
1,客戶退貨                ,True,True,True,True
1,收款                  ,True,True,True,True
1,門市銷售                ,True,True,True,True
1,門市交班                ,True,True,True,True
1,門市結帳                ,True,True,True,True
1,庫存盤點                ,True,True,True,True
1,調貨                  ,True,True,True,True
1,客戶發票                ,True,True,True,True
1,廠商發票                ,True,True,True,True
3,廠商資料                ,True,True,True,True
3,BOM資料               ,True,True,True,True
3,商品資料                ,True,True,True,True
3,商品類別                ,True,True,True,True
3,廠商報價                ,True,True,True,True
3,廠商進貨                ,True,True,True,True
3,廠商退貨                ,True,True,True,True
3,調貨                  ,True,True,True,True
3,廠商發票                ,True,True,True,True
4,客戶資料                ,True,True,True,True
4,商品資料                ,True,True,True,True
4,BOM資料               ,True,True,True,True
4,商品類別                ,True,True,True,True
4,客戶估價                ,True,True,True,True
4,客戶銷貨                ,True,True,True,True
4,客戶退貨                ,True,True,True,True
4,門市銷售                ,True,True,True,True
4,門市交班                ,True,True,True,True
4,門市結帳                ,True,True,True,True
4,調貨                  ,True,True,True,True
4,客戶發票                ,True,True,True,True
3,付款                  ,True,True,True,True
3,客戶資料                ,True,True,True,True
3,進退貨金額檢查             ,True,True,True,True
3,客戶發票                ,True,True,True,True
0,應付帳款查詢              ,True,True,True,True
0,進退貨金額檢查             ,True,True,True,True
0,廠商進貨                ,True,True,True,True
0,廠商報價                ,True,True,True,True
0,客戶資料                ,True,True,True,True
0,付款                  ,True,True,True,True
0,客戶估價                ,True,True,True,True
0,客戶銷貨                ,True,True,True,True
3,應付帳款查詢              ,True,True,True,True
3,溢付資料查詢              ,True,True,True,True
3,客戶估價                ,True,True,True,True
3,客戶銷貨                ,True,True,True,True
3,客戶退貨                ,True,True,True,True
3,收款                  ,True,True,True,True
3,銷退貨金額檢查             ,True,True,True,True
3,應收帳款查詢              ,True,True,True,True
3,溢收資料查詢              ,True,True,True,True
3,門市銷售                ,True,True,True,True
3,門市交班                ,True,True,True,True
3,門市結帳                ,True,True,True,True
3,庫存盤點                ,True,True,True,True
4,庫存盤點                ,True,True,True,True
4,應收帳款查詢              ,True,True,True,True
4,銷退貨金額檢查             ,True,True,True,True
