prdno,unit1,p1,indexs
BC608               ,組   ,1.0,1.0
BC608200W           ,組   ,1.0,1.0
BC608100W           ,組   ,1.0,1.0
SF0025              ,卡   ,1.0,1.0
SF0046              ,卡   ,1.0,1.0
SF0041              ,卡   ,1.0,1.0
SF035               ,卡   ,1.0,1.0
SF0019              ,卡   ,1.0,1.0
VBDCCTZ2A           ,組   ,1.0,1.0
8YCA                ,各   ,1.0,1.0
VBD2XAF             ,組   ,1.0,1.0
20502XR             ,組   ,1.0,1.0
SENFINECORU5X       ,罐   ,1.0,1.0
SENFINECOFURFFVR    ,罐   ,1.0,1.0
2TXWSDXU            ,組   ,1.0,1.0
AL5003TY-CU         ,組   ,1.0,1.0
YH6629              ,組   ,1.0,1.0
TURBOH4LED          ,組   ,1.0,1.0
H722                ,各   ,1.0,1.0
H422                ,各   ,1.0,1.0
08A2-MG             ,組   ,1.0,1.0
H4ZXQ2Q             ,組   ,1.0,1.0
VUGQ2W              ,組   ,1.0,1.0
V18LED9006          ,組   ,1.0,1.0
TYPERH4CR           ,組   ,1.0,1.0
D26000K2Q           ,各   ,1.0,1.0
D48000K2Q           ,各   ,1.0,1.0
UUZV10D             ,組   ,1.0,1.0
A5MVEY2             ,組   ,1.0,1.0
RSEN56ZVQW          ,條   ,1.0,1.0
929TX               ,罐   ,1.0,1.0
V37GRR              ,組   ,1.0,1.0
HT32VMT             ,組   ,1.0,1.0
NOID15GS2           ,卡   ,1.0,1.0
G2VY                ,組   ,1.0,1.0
3MCUFFVR            ,罐   ,1.0,1.0
N1MUX1              ,組   ,1.0,1.0
DAYQQWW             ,組   ,1.0,1.0
KR10ZVQW            ,條   ,1.0,1.0
RSENWXWF            ,組   ,1.0,1.0
TURBOH7LED          ,組   ,1.0,1.0
TURBO900622         ,組   ,1.0,1.0
YH1382A2            ,組   ,1.0,1.0
RSENT105630         ,卡   ,1.0,1.0
RSENT105SMD         ,d83 ,1.0,1.0
RSENT105SMD         ,卡   ,1.0,1.0
RSENT105R22U        ,卡   ,1.0,1.0
RSENVTRXFV          ,組   ,1.0,1.0
TUBRO9005LED        ,組   ,1.0,1.0
WISHXFWZA1          ,各   ,1.0,1.0
ZEROVRMG26          ,支   ,1.0,1.0
5E5R                ,組   ,1.0,1.0
8496ZVQE            ,條   ,1.0,1.0
DNE2R               ,組   ,1.0,1.0
PNSS12              ,組   ,1.0,1.0
GS2T                ,組   ,1.0,1.0
GS2LM8005           ,組   ,1.0,1.0
GS2T8               ,組   ,1.0,1.0
RSENT104R           ,組   ,1.0,1.0
GS2LM800524         ,組   ,1.0,1.0
GS2T24V             ,組   ,1.0,1.0
2TXWMTNU            ,組   ,1.0,1.0
WUSWU5TF            ,組   ,1.0,1.0
ATW                 ,組   ,1.0,1.0
KMWTV               ,各   ,1.0,1.0
PNSS15              ,組   ,1.0,1.0
PNS003              ,條   ,1.0,1.0
PNSSW001            ,條   ,1.0,1.0
PNSMR01             ,組   ,1.0,1.0
PNSMR02             ,組   ,1.0,1.0
PNSSC002            ,組   ,1.0,1.0
G185630             ,卡   ,1.0,1.0
PNSHDF              ,組   ,1.0,1.0
PNSFB001            ,組   ,1.0,1.0
AFL283578           ,組   ,1.0,1.0
PNSPM001            ,組   ,1.0,1.0
MR004               ,組   ,1.0,1.0
PNSDT001            ,組   ,1.0,1.0
PNSS182USB          ,組   ,1.0,1.0
PNSHD05             ,組   ,1.0,1.0
PNSHXT03            ,組   ,1.0,1.0
PNSCDZX01           ,組   ,1.0,1.0
G74435630           ,卡   ,1.0,1.0
PNSHUDAP1           ,組   ,1.0,1.0
PNSSUN006           ,組   ,1.0,1.0
PNSSD1018           ,組   ,1.0,1.0
PNSHXT20            ,組   ,1.0,1.0
GARMINDRIVE52       ,組   ,1.0,1.0
LD7VTRXF            ,組   ,1.0,1.0
ZWUV                ,各   ,1.0,1.0
CRVUV               ,各   ,1.0,1.0
CLK250CR            ,組   ,1.0,1.0
KY010               ,各   ,1.0,1.0
ZXR                 ,罐   ,1.0,1.0
GN5V                ,罐   ,1.0,1.0
LA823               ,組   ,1.0,1.0
ABROGV5X            ,罐   ,1.0,1.0
NHGX                ,罐   ,1.0,1.0
IEB001X1EUH         ,組   ,1.0,1.0
ABROYQUV            ,罐   ,1.0,1.0
CY052               ,組   ,1.0,1.0
KH826UTVGW          ,組   ,1.0,1.0
99AMMG              ,罐   ,1.0,1.0
ARCUY2              ,組   ,1.0,1.0
MCJVY2              ,組   ,1.0,1.0
LWT001              ,各   ,1.0,1.0
1XHWUAZCA           ,組   ,1.0,1.0
FA002               ,組   ,1.0,1.0
BB900               ,張   ,1.0,1.0
BB906               ,張   ,1.0,1.0
BB1361              ,張   ,1.0,1.0
2XAW6HQE            ,各   ,1.0,1.0
2XAW8H              ,各   ,1.0,1.0
HY662               ,組   ,1.0,1.0
05AYW5TA1E2         ,組   ,1.0,1.0
FORTISTA1E2         ,組   ,1.0,1.0
04WISHTA1E2         ,組   ,1.0,1.0
KICKS1.818          ,組   ,1.0,1.0
HY655               ,組   ,1.0,1.0
01ALTISTA1E2        ,組   ,1.0,1.0
AYW2TA1E2           ,組   ,1.0,1.0
TAA091              ,組   ,1.0,1.0
ABTE040             ,組   ,1.0,1.0
GPSMINUJV           ,次   ,1.0,1.0
32G                 ,張   ,1.0,1.0
32G                 ,各   ,1.0,1.0
4RR2F               ,各   ,1.0,1.0
XXFMT               ,各   ,1.0,1.0
J00357              ,支   ,1.0,1.0
J00342              ,支   ,1.0,1.0
ZERO14VRMG          ,支   ,1.0,1.0
ZEROVRMG28          ,支   ,1.0,1.0
J00348              ,支   ,1.0,1.0
ZEROFV1UUR          ,罐   ,1.0,1.0
YH370FES2XEN        ,組   ,1.0,1.0
ZEROVRMG24          ,支   ,1.0,1.0
J00346              ,支   ,1.0,1.0
ERC2XZVQU           ,罐   ,1.0,1.0
YH680               ,組   ,1.0,1.0
ZEROVRMG16          ,支   ,1.0,1.0
ZEROVRMG19          ,支   ,1.0,1.0
ZEROVRMG21H         ,支   ,1.0,1.0
ZEROVRMG22G         ,支   ,1.0,1.0
SENFINECOQUYSU      ,罐   ,1.0,1.0
SENFINECOCUFFVR     ,罐   ,1.0,1.0
GOLF5MMG            ,組   ,1.0,1.0
TIGUA5MMG           ,組   ,1.0,1.0
ZEROAMN+RFC         ,罐   ,1.0,1.0
ZERORFFVR           ,罐   ,1.0,1.0
UX02XZVQU           ,罐   ,1.0,1.0
EY                  ,次   ,1.0,1.0
V2V1JFMT            ,組   ,1.0,1.0
EXXQUW20            ,組   ,1.0,1.0
H1255W              ,各   ,1.0,1.0
ZXQH12Q             ,各   ,1.0,1.0
ZJTUA               ,罐   ,1.0,1.0
AMN                 ,罐   ,1.0,1.0
1VNV                ,各   ,1.0,1.0
BGWGE               ,支   ,1.0,1.0
12FVRU5XR           ,冠   ,1.0,1.0
12FVRU5XR           ,罐   ,1.0,1.0
GVE1.12             ,各   ,1.0,1.0
G204GVR             ,罐   ,1.0,1.0
GVFV                ,次   ,1.0,1.0
CLA250FQCE          ,組   ,1.0,1.0
AL5003              ,組   ,1.0,1.0
H75RY               ,各   ,1.0,1.0
FA005               ,各   ,1.0,1.0
HK906               ,組   ,1.0,1.0
HK916               ,組   ,1.0,1.0
ABRO2QR             ,罐   ,1.0,1.0
CHY1688             ,組   ,1.0,1.0
2QG                 ,罐   ,1.0,1.0
SAXO1040            ,罐   ,1.0,1.0
S5RM7FMT            ,組   ,1.0,1.0
WISH2E              ,組   ,1.0,1.0
12VA2-              ,各   ,1.0,1.0
3D1F1               ,支   ,1.0,1.0
9212Q               ,各   ,1.0,1.0
2TVUGJG             ,組   ,1.0,1.0
MTVGJ2TXW           ,組   ,1.0,1.0
ZN5RJV              ,次   ,1.0,1.0
GN007J2WV           ,隻   ,1.0,1.0
10HJV5R             ,組   ,1.0,1.0
W15ZX5R             ,組   ,1.0,1.0
TURBOH11            ,組   ,1.0,1.0
RSENH72HY           ,組   ,1.0,1.0
SAAXR2              ,組   ,1.0,1.0
YARISFMT            ,組   ,1.0,1.0
GARMIN57JV          ,次   ,1.0,1.0
ERQ55D23L2Q         ,各   ,1.0,1.0
TST120EUX1          ,組   ,1.0,1.0
2TX23UJX            ,組   ,1.0,1.0
2TX23UDB            ,組   ,1.0,1.0
1MT5D               ,組   ,1.0,1.0
LD9GPS              ,組   ,1.0,1.0
PNSBKF40B           ,組   ,1.0,1.0
WF0306TW            ,組   ,1.0,1.0
KNOSR               ,片   ,1.0,1.0
HY898               ,組   ,1.0,1.0
WF0305XD            ,組   ,1.0,1.0
WF0307NDTY          ,組   ,1.0,1.0
3D5U1               ,組   ,1.0,1.0
PNSTPC004           ,組   ,1.0,1.0
PNSTPC001           ,組   ,1.0,1.0
99XGTA1E2           ,組   ,1.0,1.0
SJ911R2W            ,組   ,1.0,1.0
V1051RUQ            ,組   ,1.0,1.0
LY707YQW1           ,組   ,1.0,1.0
PE53GV1W            ,組   ,1.0,1.0
TC6691XDTY          ,組   ,1.0,1.0
TC6683NDTY          ,組   ,1.0,1.0
TC668652XDTY        ,組   ,1.0,1.0
Z2FX1               ,組   ,1.0,1.0
CD5U1               ,組   ,1.0,1.0
KR10ZVQW2L          ,條   ,1.0,1.0
GPS9389HNF          ,組   ,1.0,1.0
TYPERH11CR2Q        ,組   ,1.0,1.0
ABRO5XX             ,冠   ,1.0,1.0
ABRO5XX             ,罐   ,1.0,1.0
CREQX               ,罐   ,1.0,1.0
RSENMGR             ,罐   ,1.0,1.0
RSEND48000K         ,各   ,1.0,1.0
RSEN02F             ,各   ,1.0,1.0
PNST0332G           ,各   ,1.0,1.0
NB5W50TU            ,罐   ,1.0,1.0
06TIDA5MW2          ,組   ,1.0,1.0
ID6HZUX1            ,組   ,1.0,1.0
6H2EF               ,各   ,1.0,1.0
PNSF6037TY          ,組   ,1.0,1.0
ECC9922TBCR         ,罐   ,1.0,1.0
PNSSUN10            ,組   ,1.0,1.0
PNSSCUPUZ1          ,組   ,1.0,1.0
PNSDS001            ,組   ,1.0,1.0
RSEN61              ,條   ,1.0,1.0
04WISHFMT           ,組   ,1.0,1.0
DC021MVWU1          ,各   ,1.0,1.0
BR168FVWU1          ,組   ,1.0,1.0
AGXY2               ,組   ,1.0,1.0
1MT5E               ,組   ,1.0,1.0
