wno,wdate,odate,wcusno,sltax,invnoam,tax_a,slamt2_a,slamt3_a,cusno,setday,mark,stockno,note1,toacc
GD[電話]      ,2020-12-18 00:00:00,2020-12-19 00:00:00,CUS_00659,外加  ,1700.0,0.05,85.0,1785.0,CUS_00659,202012,銷貨開出發票      ,GF ,,
TB[電話]      ,2021-12-14 00:00:00,2021-12-14 00:00:00,CUS_00367,外加  ,4500.0,0.05,225.0,4725.0,CUS_00367,202112,銷貨開出發票      ,GF ,,
[車牌]203       ,2022-11-16 00:00:00,2022-11-16 00:00:00,CUS_00490,外加  ,5400.0,0.05,270.0,5670.0,CUS_00490,202211,銷貨開出發票      ,GF ,,
HY[電話]      ,2023-02-23 00:00:00,2023-02-23 00:00:00,CUS_00701,外加  ,5600.0,0.05,280.0,5880.0,CUS_00701,202302,銷貨開出發票      ,GF ,,
MY[電話]      ,2023-05-29 00:00:00,2023-05-29 00:00:00,CUS_00138,外加  ,3000.0,0.05,150.0,3150.0,CUS_00138,202305,銷貨開出發票      ,GF ,,
PY[電話]      ,2023-08-29 00:00:00,2023-08-29 00:00:00,CUS_00035,外加  ,2000.0,0.05,100.0,2100.0,CUS_00035,202308,銷貨開出發票      ,GF ,,
RY[電話]      ,2023-10-21 00:00:00,2023-10-21 00:00:00,CUS_00680,外加  ,3000.0,0.05,150.0,3150.0,CUS_00680,202310,銷貨開出發票      ,GF ,,
VY[電話]      ,2024-02-01 00:00:00,2024-02-01 00:00:00,CUS_00660,外加  ,2571.0,0.05,129.0,2700.0,CUS_00660,202402,銷貨開出發票      ,GF ,,
XX[電話]      ,2024-03-07 00:00:00,2024-03-07 00:00:00,CUS_00235,外加  ,6667.0,0.05,333.0,7000.0,CUS_00235,202403,銷貨開出發票      ,GF ,,
XZ[電話]      ,2024-03-13 00:00:00,2024-03-13 00:00:00,CUS_00622,外加  ,12700.0,0.05,635.0,13335.0,CUS_00622,202403,銷貨開出發票      ,GF ,,
XX[電話]      ,2024-04-01 00:00:00,2024-04-01 00:00:00,CUS_00112,內含  ,8095.0,0.05,405.0,8500.0,CUS_00112,202404,銷貨開出發票      ,GF ,,
ZW[電話]      ,2024-05-20 00:00:00,2024-05-20 00:00:00,CUS_00112,外加  ,476.0,0.05,24.0,500.0,CUS_00112,202405,銷貨開出發票      ,GF ,,
BY[電話]      ,2024-08-05 00:00:00,2024-08-05 00:00:00,CUS_00283,外加  ,18800.0,0.05,940.0,19740.0,CUS_00283,202408,銷貨開出發票      ,GF ,,
BW[電話]      ,2024-08-15 00:00:00,2024-08-15 00:00:00,CUS_00567,外加  ,650.0,0.05,33.0,683.0,CUS_00567,202408,,GF ,,
FU[電話]      ,2024-12-02 00:00:00,2024-12-03 00:00:00,CUS_00367,外加  ,1500.0,0.05,75.0,1575.0,CUS_00367,202412,銷貨開出發票      ,GF ,,
FU[電話]      ,2024-12-11 00:00:00,2024-12-11 00:00:00,CUS_00571,外加  ,10500.0,0.05,525.0,11025.0,CUS_00571,202412,銷貨開出發票      ,GF ,,
HT[電話]      ,2025-02-24 00:00:00,2025-02-24 00:00:00,CUS_00574,外加  ,350.0,0.05,18.0,368.0,CUS_00574,202502,銷貨開出發票      ,GF ,,
MT[電話]      ,2025-05-22 00:00:00,2025-05-22 00:00:00,CUS_00573,外加  ,150.0,0.05,8.0,158.0,CUS_00573,202505,銷貨開出發票      ,GF ,,
PT[電話]      ,2025-08-19 00:00:00,2025-08-19 00:00:00,CUS_00167,外加  ,6000.0,0.05,300.0,6300.0,CUS_00167,202508,銷貨開出發票      ,GF ,,
TT[電話]      ,2025-11-04 00:00:00,2025-11-05 00:00:00,CUS_00616,外加  ,2200.0,0.05,110.0,2310.0,CUS_00616,202511,銷貨開出發票      ,GF ,,
TT[電話]      ,2025-12-09 00:00:00,2025-12-09 00:00:00,CUS_00696,外加  ,4200.0,0.05,210.0,4410.0,CUS_00696,202512,銷貨開出發票      ,GF ,,
VT[電話]      ,2026-02-06 00:00:00,2026-02-06 00:00:00,CUS_00577,外加  ,650.0,0.05,33.0,683.0,CUS_00577,202602,銷貨開出發票      ,GF ,,
VT[電話]      ,2026-02-24 00:00:00,2026-02-24 00:00:00,CUS_00083,外加  ,4952.0,0.05,248.0,5200.0,CUS_00083,202602,銷貨開出發票      ,GF ,,
XV[電話]      ,2026-03-10 00:00:00,2026-03-10 00:00:00,CUS_00128,外加  ,2900.0,0.05,145.0,3045.0,CUS_00128,202603,銷貨開出發票      ,GF ,,
