wno,wdate,odate,wfacno,sltax,invnoam,tax_a,slamt2_a,slamt3_a,facno,setday,mark,stockno,note1,toacc
[車牌]7334      ,2020-08-03 00:00:00,2020-07-25 00:00:00,MFFT1C    ,外加  ,2385.0,0.05,119.0,2504.0,FAC_00040,202008.0,            ,GF ,,
CP[電話]      ,2020-08-17 00:00:00,2020-08-17 00:00:00,JG        ,外加  ,5952.0,0.05,298.0,6250.0,FAC_00036,202009.0,            ,GF ,,
[車牌]7699      ,2020-08-24 00:00:00,2020-08-24 00:00:00,ZF        ,外加  ,16370.0,0.05,819.0,17189.0,          ,,            ,GF ,,
EJ[電話]      ,2020-09-14 00:00:00,2020-09-14 00:00:00,JG        ,外加  ,10762.0,0.05,538.0,11300.0,FAC_00036,202009.0,            ,GF ,,
[車牌]2310      ,2020-09-17 00:00:00,2020-09-18 00:00:00,ZF        ,外加  ,18565.0,0.05,928.0,19493.0,          ,,            ,GF ,,
[車牌]1860      ,2020-08-22 00:00:00,2020-08-22 00:00:00,XC        ,外加  ,5810.0,0.05,291.0,6101.0,          ,,            ,GF ,,
EJ[電話]      ,2020-10-14 00:00:00,2020-10-14 00:00:00,JG        ,外加  ,3333.0,0.05,167.0,3500.0,          ,,            ,GF ,,
[車牌]2372      ,2020-10-20 00:00:00,2020-10-22 00:00:00,ZF        ,外加  ,13960.0,0.05,698.0,14658.0,FAC_00066,202010.0,            ,GF ,,
[車牌]3912      ,2020-10-29 00:00:00,2020-11-05 00:00:00,MFFT1C    ,外加  ,3660.0,0.05,183.0,3843.0,          ,,            ,GF ,,
GD[電話]      ,2020-11-17 00:00:00,2020-11-17 00:00:00,JG        ,外加  ,5000.0,0.05,250.0,5250.0,FAC_00036,202012.0,            ,GF ,,
[車牌]1411      ,2020-11-20 00:00:00,2020-11-21 00:00:00,ZF        ,外加  ,0.0,0.05,0.0,0.0,FAC_00066,202011.0,            ,GF ,,
